순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","건강/취미","수원삼성 때문에 산다","352674560","9791169780445","03810","K리그 에디터스 지음","브레인스토어","20241213","22,000","19,800","1,100점","8000","에세이"
"2","건강/취미","길 위의 뇌","349434140","9791193712559","03190","정세희 지음","한즈미디어(한스미디어)","20241018","19,500","17,550","970점","11535","에세이"
"3","건강/취미","김대리의 취향 니트","351008825","9788901289632","13590","바늘이야기 김대리 지음","웅진리빙하우스","20241111","21,000","18,900","1,050점","42210","건강/취미"
"4","건강/취미","로스트아크 설정집","352188304","9791172889418","07810","스마일게이트 지음","대원씨아이(단행본)","20241106","54,000","48,600","2,700점","25660","예술/대중문화"
"5","건강/취미","해독 혁명","342067731","9788901285146","03510","닥터 라이블리(최지영) 지음","웅진지식하우스","20240630","18,500","16,650","920점","36600","건강/취미"
"6","건강/취미","저속노화 식사법","343316437","9791141606862","03510","정희원 지음","테이스트북스","20240726","19,000","17,100","950점","61602","건강/취미"
"7","건강/취미","365 느리게 나이 드는 습관 일력 (스프링)","350403280","9791193080412","03510","정희원 지음","한빛라이프","20241028","22,000","19,800","1,100점","18180","건강/취미"
"8","건강/취미","느리게 나이 드는 습관","329417970","9791193080146","03510","정희원 지음","한빛라이프","20231211","18,000","16,200","900점","52984","건강/취미"
"9","건강/취미","내가 알던 사람","345584561","9791169092890","03510","샌디프 자우하르 지음, 서정아 옮김","글항아리","20240821","20,000","18,000","1,000점","11100","과학"
"10","건강/취미","내 몸 혁명","330775750","9791198553317","03510","박용우 지음","루미너스","20240110","19,500","17,550","970점","59545","건강/취미"
"11","건강/취미","질병 해방","338211362","9791193528129","03510","피터 아티아.빌 기퍼드 지음, 이한음 옮김","부키","20240430","28,000","25,200","1,400점","29795","인문학"
"12","건강/취미","3분만 바라보면 뇌가 젊어진다","350861409","9791194246381","03510","히라마쓰 루이 지음, 김윤희 옮김","쌤앤파커스","20241113","13,800","12,420","690점","6280","건강/취미"
"13","건강/취미","브레인 에너지","347119461","9791172540203","03400","크리스토퍼 M. 팔머 지음, 이한나 옮김","심심","20240920","23,000","20,700","1,150점","12620","과학"
"14","건강/취미","첫번째오늘의 즐거운 양말 만들기","352722570","9791193712696","13590","정윤주 지음","한즈미디어(한스미디어)","20241126","20,000","18,000","1,000점","2780","건강/취미"
"15","건강/취미","knits pour moi 나를 위한 뜨개","350858964","9791172100773","13630","knits pour moi 지음","동양북스(동양문고)","20241028","31,500","28,350","1,570점","20460","건강/취미"
"16","건강/취미","스포츠의학이 쉬워지는 해부학 도감","352306472","9791193217733","93510","우에하라 다케시 지음, 이시이 나오카타 감수, 이진원 옮김","현익출판","20241120","25,000","22,500","1,250점","2610","건강/취미"
"17","건강/취미","러닝 위드 리디아드","350841292","9788993784848","13690","아서 리디아드.가스 길모어 지음, 이중현 옮김","인간희극","20241115","19,800","17,820","990점","3560","건강/취미"
"18","건강/취미","NEW 미꽃체 손글씨 노트","319559579","9791161507200","","최현미 지음","시원북스","20230627","16,700","15,030","830점","29365","건강/취미"
"19","건강/취미","백년 목 2 : 치료편","343263391","9791197437380","03510","정선근 지음","언탱글링","20240724","22,000","19,800","1,100점","15017","건강/취미"
"20","건강/취미","현진's 펜 들고, 그림일기","352371131","9791191983036","13650","박현진 지음","북코디","20241115","16,800","15,120","840점","3080","건강/취미"
"21","건강/취미","백년운동","216483172","9791196834005","03470","정선근 지음","아티잔","20191101","19,500","17,550","970점","40814","건강/취미"
"22","건강/취미","유전자를 바꾸는 식단","349827982","9791198096203","03330","캐서린 섀너핸.루크 섀너핸 지음, 박중환 옮김","세이버스","20241021","19,500","17,550","970점","8415","건강/취미"
"23","건강/취미","기적의 항암 식단","347663059","9788969525963","13590","김훈하.김정은 지음","경향BP","20240919","18,000","16,200","900점","7740","요리/살림"
"24","건강/취미","초가공식품, 음식이 아닌 음식에 중독되다","348268902","9788901288475","03300","크리스 반 툴레켄 지음, 김성훈 옮김","웅진지식하우스","20241005","23,800","21,420","1,190점","10320","인문학"
"25","건강/취미","식단 혁명","350499895","9791157063741","03510","조지아 에데 지음, 김성수 외 옮김","메디치미디어","20241022","32,000","28,800","1,600점","3455","건강/취미"
"26","건강/취미","왜 아플까","287255699","9791191509199","03510","벤저민 빅먼 지음, 이영래 옮김, 황성혁 감수","북드림","20220127","17,000","15,300","850점","5179","건강/취미"
"27","건강/취미","대바늘 니트 사이즈 조정 핸드북","350490468","9791193712566","13590","일본보그사 지음, 배혜영 옮김","한즈미디어(한스미디어)","20241023","18,500","16,650","920점","6190","건강/취미"
"28","건강/취미","3분만 바라보면 눈이 젊어진다","342732512","9791165349837","03510","히라마쓰 루이 지음, 김윤희 옮김","쌤앤파커스","20240724","13,800","12,420","690점","21003","건강/취미"
"29","건강/취미","원더 니트","226733418","9791188601332","13630","일본보그사 지음, 김나정 옮김, 조경선 감수","참돌","20200102","4,400","3,960","220점","7483","건강/취미"
"30","건강/취미","여자×단식: Fast like a girl","351178759","9791191509533","03510","민디 펠츠 지음, 이영래 옮김, 이영훈 감수","북드림","20241107","22,000","19,800","1,100점","4080","건강/취미"
"31","건강/취미","생존근육 3가지만 키워라","347948043","9791193226520","13510","이상모 지음","전나무숲","20241008","17,500","15,750","870점","3810","건강/취미"
"32","건강/취미","백년 목 1 : 진단편","341989250","9791197437373","03510","정선근 지음","언탱글링","20240625","22,000","19,800","1,100점","12680","건강/취미"
