순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","경제경영","트럼프 2.0 시대","351631229","9791198987600","03320","박종훈 지음","글로퍼스","20241108","20,000","18,000","1,000점","150170","경제경영"
"2","경제경영","트렌드 코리아 2025","346341455","9788959897223","13320","김난도 외 지음","미래의창","20240925","20,000","18,000","1,000점","223020","경제경영"
"3","경제경영","린치핀","351100170","9791193262290","03190","세스 고딘 지음, 윤영삼 옮김","필름(Feelm)","20241113","23,800","21,420","1,190점","33180","자기계발"
"4","경제경영","박태웅의 AI 강의 2025","346891281","9791157847679","03300","박태웅 지음","한빛비즈","20240930","18,800","16,920","940점","74170","경제경영"
"5","경제경영","가난한 찰리의 연감","350688115","9788934911388","03320","찰리 멍거 지음, 피터 코프먼 엮음, 김태훈 옮김","김영사","20241108","33,000","29,700","1,650점","52280","경제경영"
"6","경제경영","시대예보: 호명사회","346461236","9791170611875","03320","송길영 지음","교보문고(단행본)","20240926","22,000","19,800","1,100점","83400","경제경영"
"7","경제경영","돈의 심리학 (30만 부 기념 스페셜 에디션)","328520781","9791191056372","03320","모건 하우절 지음, 이지연 옮김","인플루엔셜(주)","20210113","19,800","17,820","990점","120067","경제경영"
"8","경제경영","위대한 12주","350481135","9791193941195","03320","브라이언 P. 모런.마이클 레닝턴 지음, 정성재 옮김","클랩북스","20241107","18,800","16,920","940점","23285","경제경영"
"9","경제경영","돈의 속성 (300쇄 리커버 에디션, 양장)","288845971","9791188331796","03320","김승호 지음","스노우폭스북스","20200615","17,800","16,020","890점","115847","경제경영"
"10","경제경영","트럼프 2.0 가상화폐 투자 시그널","352205705","9788969526038","03320","찰리브라웅 지음","경향BP","20241127","16,800","15,120","840점","13550","경제경영"
"11","경제경영","지금 당장 양자컴퓨터에 투자하라","351011228","9791198758316","03320","권중현(가을바람) 지음","애덤스미스","20241106","24,000","21,600","1,200점","18970","경제경영"
"12","경제경영","머니 트렌드 2025","345965820","9791193937211","03320","정태익 외 지음","북모먼트","20241002","25,000","22,500","1,250점","29485","경제경영"
"13","경제경영","트럼프 2.0","351763020","9791194353058","13320","김광석 외 지음","이든하우스","20241120","20,000","18,000","1,000점","13320","경제경영"
"14","경제경영","빅 트레이더의 주도주 매매법","351232372","9791193394540","03320","서희파더(이재상) 지음","이레미디어","20241213","35,000","31,500","1,750점","17320","경제경영"
"15","경제경영","나는 미국 월배당 ETF로 40대에 은퇴한다","347765340","9791193780084","03320","최영민 지음","지음미디어","20240927","18,800","16,920","940점","20060","경제경영"
"16","경제경영","불변의 법칙","334061481","9791198517425","03320","모건 하우절 지음, 이수경 옮김","서삼독","20240228","25,000","22,500","1,250점","114345","경제경영"
"17","경제경영","EBS 다큐프라임 자본주의","31642609","9788957365793","03320","EBS 자본주의 제작팀 지음","가나출판사","20130927","22,000","19,800","1,100점","95132","경제경영"
"18","경제경영","아비투스의 힘","349717822","9791140711277","03300","도리스 메르틴 지음, 이지윤 옮김","더퀘스트","20241025","21,000","18,900","1,050점","18270","자기계발"
"19","경제경영","모든 돈의 미래 비트코인","352255090","9791193869123","03320","홍익희 지음","거인의정원","20241129","28,000","25,200","1,400점","7610","경제경영"
"20","경제경영","돈이 어렵지 않은 어른이 된다는 것","351196246","9788901290003","03320","시골쥐 지음","웅진지식하우스","20241105","18,000","16,200","900점","13950","경제경영"
"21","경제경영","일론 머스크","323119574","9791171170418","03320","월터 아이작슨 지음, 안진환 옮김","21세기북스","20230913","38,000","34,200","1,900점","35868","경제경영"
"22","경제경영","무한의 부","349293269","9791198713636","03320","왕징 지음, 김우성 옮김","필로틱","20241016","18,000","16,200","900점","9370","경제경영"
"23","경제경영","TSMC, 세계 1위의 비밀","351731275","9791193166789","03300","린훙원 지음, 허유영 옮김","생각의힘","20241120","25,800","23,220","1,290점","5880","경제경영"
"24","경제경영","B주류경제학","348762521","9791169084178","03320","이재용.토스 지음","오리지널스","20241016","19,800","17,820","990점","18195","경제경영"
"25","경제경영","2025 트렌드 노트","347059079","9791193063644","03320","신예은 외 지음","북스톤","20241011","18,000","16,200","900점","14695","경제경영"
"26","경제경영","THE MONEY BOOK 더 머니북","340097859","9791198686114","03320","토스 지음","비바리퍼블리카","20240527","22,000","19,800","1,100점","74519","경제경영"
"27","경제경영","딱 1억만 모읍시다","348544540","9791192445892","03320","김경필 지음","경이로움","20241016","18,000","16,200","900점","13080","경제경영"
"28","경제경영","더 그레이트 비트코인","327615313","9791198252449","03320","오태민 지음","(주)거인의정원","20231027","35,000","31,500","1,750점","19869","경제경영"
"29","경제경영","국가는 왜 실패하는가 (리커버)","351774040","9788952766984","03300","대런 애쓰모글루 외 지음, 최완규 옮김, 장경덕 감수","시공사","20120927","28,000","25,200","1,400점","29982","사회과학"
"30","경제경영","수급단타왕 주식투자 실전전략","56820300","9791157612819","03320","고명환 지음","메가스터디북스","20150429","25,000","22,500","1,250점","5503","경제경영"
"31","경제경영","리플 빅뱅","346695486","9791167781284","03320","문창훈 지음","가디언","20240928","20,000","18,000","1,000점","6935","경제경영"
"32","경제경영","세계미래보고서 2025-2035","350619205","9791170612001","03320","박영숙.제롬 글렌 지음","교보문고(단행본)","20241025","20,000","18,000","1,000점","15720","경제경영"
"33","경제경영","비트코인 처음 시작합니다","341586662","9791167781246","03320","돈복남 지음","가디언","20240625","20,000","18,000","1,000점","5283","경제경영"
"34","경제경영","부자의 언어 (2025 부의 시크릿 카드 에디션)","352725795","9791155815915","03320","존 소포릭 지음, 이한이 옮김","윌북","20241121","19,800","17,820","990점","32688","경제경영"
"35","경제경영","달러는 왜 비트코인을 싫어하는가","173525395","9791161340333","03200
","사이페딘 아모스 지음, 위대선 옮김","터닝포인트","20181210","17,000","15,300","850점","10182","경제경영"
"36","경제경영","외워서 바로 써먹는 단타 공식","351444627","9791164847273","03320","이창원 지음","매일경제신문사","20241111","19,000","17,100","950점","6330","경제경영"
"37","경제경영","일론 머스크 플랜3","352320291","9791193638521","03320","이진복 지음","미래의창","20241128","18,000","16,200","900점","4720","경제경영"
"38","경제경영","진짜 하루만에 이해하는 제약·바이오 산업","349420039","9791191590289","03320","강하나 지음","T.W.I.G(티더블유아이지)(주)","20241031","24,800","22,320","1,240점","17080","경제경영"
"39","경제경영","댄 애리얼리 미스빌리프","349679166","9788935214624","03320","댄 애리얼리 지음, 이경식 옮김","청림출판","20241031","22,000","19,800","1,100점","10695","경제경영"
"40","경제경영","비트코인 슈퍼 사이클","332785985","9791198252487","03320","신민철(처리형) 지음","(주)거인의정원","20240125","25,000","22,500","1,250점","19444","경제경영"
"41","경제경영","최소한의 비트코인","350401623","9791169851060","03320","김지훈(제이플레이코) 지음","페이지2(page2)","20241030","21,000","18,900","1,050점","4920","경제경영"
"42","경제경영","돈, 뜨겁게 사랑하고 차갑게 다루어라","324898598","9791192519883","03320","앙드레 코스톨라니 지음, 한윤진 옮김","미래의창","20230912","12,000","10,800","600점","47393","경제경영"
"43","경제경영","플랫폼을 지배하는 조회수의 법칙","348122585","9788925574493","03320","게리 바이너척 지음, 이지민 옮김","알에이치코리아(RHK)","20241002","25,000","22,500","1,250점","16650","경제경영"
"44","경제경영","비트코인이 곧 신분이다","339485779","9791197953965","13320","도리도리 지음","샤샤","20240530","21,000","18,900","1,050점","5644","경제경영"
"45","경제경영","경제금융용어 700선","249222069","9791155383933","03320","한국은행 편집부 엮음","한국은행","20200818","8,000","8,000","0점","30578","경제경영"
"46","경제경영","터틀 트레이딩","190026110","9791188279500","03320","마이클 코벨 지음, 오인석 옮김","이레미디어","20190510","19,500","17,550","970점","5710","경제경영"
"47","경제경영","인사관리와 고용관계","352204612","9791161373768","93320","최중락 지음","상경사","20241118","51,000","49,470","510점","4070","대학교재/전문서적"
"48","경제경영","거래의 기술","84543973","9788952234087","03320","도널드 트럼프 지음, 이재호 옮김","살림","20160525","22,000","19,800","1,100점","10533","경제경영"
"49","경제경영","좋은 리더를 넘어 위대한 리더로","345619360","9788965966463","03320","짐 콜린스.빌 레지어 지음, 이경식 옮김","흐름출판","20240905","26,000","23,400","1,300점","18235","경제경영"
"50","경제경영","당신이 모르는 진짜 농업 경제 이야기","350073044","9791189797225","03320","이주량 지음","세이지(世利知)","20241025","21,000","18,900","1,050점","7640","경제경영"
"51","경제경영","돈 공부를 시작하고 인생의 불안이 사라졌다","346106879","9791193262238","03320","할미언니 지음","필름(Feelm)","20240904","18,500","16,650","920점","23655","경제경영"
"52","경제경영","배당투자, 나는 50에 은퇴했다","343299102","9791191378573","13320","쭈압(정영주) 지음","체인지업","20240724","19,800","17,820","990점","17180","경제경영"
"53","경제경영","제로 투 원 (리커버)","280602221","9788947547567","03320","피터 틸.블레이크 매스터스 지음, 이지연 옮김","한국경제신문","20211004","18,000","16,200","900점","18028","경제경영"
"54","경제경영","2025 결국은 부동산","352206419","9791170435921","03320","올라잇 칼럼니스트 20인 지음","원앤원북스","20241202","32,000","28,800","1,600점","3890","경제경영"
"55","경제경영","부자 아빠 가난한 아빠 1 (20주년 특별 기념판)","134925661","9791158883591","03320","로버트 기요사키 지음, 안진환 옮김","민음인","20180222","17,000","15,300","850점","72794","경제경영"
"56","경제경영","시대예보: 핵개인의 시대","324625656","9791170610359","03320","송길영 지음","교보문고(단행본)","20230925","21,000","18,900","1,050점","60320","경제경영"
"57","경제경영","수급단타왕 수급매매 절대비기","77369522","9788962805581","03320","고명환 지음","메가스터디북스","20160222","25,000","22,500","1,250점","12107","경제경영"
"58","경제경영","빌드(BUILD) 창조의 과정","351096536","9791162543955","03320","토니 퍼델 지음, 엄성수 옮김","비즈니스북스","20241112","25,000","22,500","1,250점","5280","경제경영"
"59","경제경영","라이프 트렌드 2025 : 조용한 사람들","346724862","9791193528365","13320","김용섭 지음","부키","20241002","19,800","17,820","990점","8255","경제경영"
"60","경제경영","권력과 진보","319539452","9791193166147","03300","대런 애쓰모글루.사이먼 존슨 지음, 김승진 옮김","생각의힘","20230630","32,000","28,800","1,600점","16762","사회과학"
"61","경제경영","달러 전쟁","348011092","9791171712724","03320","살레하 모신 지음, 서정아 옮김","위즈덤하우스","20240925","21,000","18,900","1,050점","11905","경제경영"
"62","경제경영","처음부터 시작하는 주식투자 단타전략","330342383","9791140707492","03320","홍인기 지음","길벗","20231222","21,000","18,900","1,050점","49171","경제경영"
"63","경제경영","전설로 떠나는 월가의 영웅","276636094","9788957825945","13320","피터 린치.존 로스차일드 지음, 이건 옮김, 홍진채 감수","국일증권경제연구소","20210730","26,000","23,400","1,300점","37591","경제경영"
"64","경제경영","모두의 금리","346699323","9791194322009","03320","조원경 지음","에프엔미디어","20240925","22,000","19,800","1,100점","14025","경제경영"
"65","경제경영","주식투자 무작정 따라하기","309337377","9791140702343","13320","윤재수 지음","길벗","20230130","23,000","20,700","1,150점","18262","경제경영"
"66","경제경영","THE FLOW(더 플로)","318457203","9791192445403","03320","안유화 지음","경이로움","20230802","21,000","18,900","1,050점","14534","경제경영"
"67","경제경영","나는 1년간 129번 배당을 받습니다","350402596","9791170435815","03320","주식쇼퍼(김태환) 지음","원앤원북스","20241025","20,000","18,000","1,000점","3970","경제경영"
"68","경제경영","부의 추월차선 (10주년 스페셜 에디션)","287238196","9791187444725","13320","엠제이 드마코 지음, 신소영 옮김","토트","20220204","17,500","15,750","870점","47065","경제경영"
"69","경제경영","사업의 철학","65795020","9788998075200","03320","마이클 E. 거버 지음, 이제용 옮김","라이팅하우스","20150901","16,000","14,400","800점","18699","경제경영"
"70","경제경영","더 피아트 스탠다드","339736293","9791130652733","03320","사이페딘 아모스 지음, 임경은 옮김","다산북스","20240524","38,000","34,200","1,900점","4370","경제경영"
"71","경제경영","하루 30분! 돈이 되는 네이버 블로그 with 챗GPT","350065024","9791169213004","13000","조병옥(호모앤) 지음","한빛미디어","20241028","18,000","16,200","900점","3425","컴퓨터/모바일"
"72","경제경영","제네시스박의 부동산 세금 트렌드","352596337","9791192445939","13320","박민수(제네시스박) 지음","경이로움","20241127","25,000","22,500","1,250점","2130","경제경영"
"73","경제경영","이게 되네? 챗GPT 미친 활용법 51제","342135067","9791191905908","93000","오힘찬 지음","골든래빗(주)","20240715","24,000","21,600","1,200점","11122","컴퓨터/모바일"
"74","경제경영","이동 평균선 투자법","337399487","9791193394342","03320","고지로 강사 지음, 김정환 옮김","이레미디어","20240503","17,000","15,300","850점","20115","경제경영"
"75","경제경영","스토리 설계자","344448509","9791155817629","03320","짐 에드워즈 지음, 신솔잎 옮김","윌북","20240830","22,800","20,520","1,140점","14330","경제경영"
"76","경제경영","주식 투자 책: 비기너편","351474741","9791192445922","03320","최광자 지음","경이로움","20241115","22,000","19,800","1,100점","2610","경제경영"
"77","경제경영","처음부터 배우는 부동산 경매투자","352544619","9791140714285","03320","엠제이(장재호) 지음","길벗","20241122","23,000","20,700","1,150점","1760","경제경영"
"78","경제경영","생각에 관한 생각","140135544","9788934981213","03320","대니얼 카너먼 지음, 이창신 옮김","김영사","20180330","29,800","26,820","1,490점","31835","경제경영"
