순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","과학","도피 예찬","350840410","9791186821961","03860","앙리 라보리 지음, 서희정 옮김","황소걸음","20241122","18,000","16,200","900점","6880","인문학"
"2","과학","독서의 뇌과학","351023231","9791139718560","03400","가와시마 류타 지음, 황미숙 옮김","현대지성","20241106","16,900","15,210","840점","23570","과학"
"3","과학","정신병을 팝니다","350956714","9791192092423","03330","제임스 데이비스 지음, 이승연 옮김","사월의책","20241115","23,000","20,700","1,150점","11700","사회과학"
"4","과학","코스모스","870950","9788983711892","03400","칼 세이건 지음, 홍승수 옮김","사이언스북스","20061220","19,900","17,910","990점","136955","과학"
"5","과학","찬란한 멸종","344338610","9791130655017","03400","이정모 지음","다산북스","20240807","21,000","18,900","1,050점","59485","과학"
"6","과학","이기적 유전자","170482558","9788932473901","03470","리처드 도킨스 지음, 홍영남.이상임 옮김","을유문화사","20181020","20,000","18,000","1,000점","102117","과학"
"7","과학","무의식은 어떻게 나를 설계하는가","352306164","9788925574394","03400","데이비드 이글먼 지음, 김승욱 옮김","알에이치코리아(RHK)","20241122","25,000","22,500","1,250점","7480","과학"
"8","과학","세상 속에 있지만 세상에 속하지 않는","352233028","9791170525325","03840","데이비드 호킨스 지음, 박찬준 옮김","판미동","20241113","13,000","11,700","650점","5450","인문학"
"9","과학","물고기는 존재하지 않는다","284657330","9791189327156","03400","룰루 밀러 지음, 정지인 옮김","곰출판","20211217","17,000","15,300","850점","114923","과학"
"10","과학","엉뚱한 과학책","351456280","9791194033400","03470","김진우(은잡지) 지음, 이선호(엑소쌤) 감수","빅피시","20241120","18,800","16,920","940점","8210","과학"
"11","과학","내가 알던 사람","345584561","9791169092890","03510","샌디프 자우하르 지음, 서정아 옮김","글항아리","20240821","20,000","18,000","1,000점","11100","과학"
"12","과학","진짜 하루만에 이해하는 제약·바이오 산업","349420039","9791191590289","03320","강하나 지음","T.W.I.G(티더블유아이지)(주)","20241031","24,800","22,320","1,240점","17080","경제경영"
"13","과학","브레인 에너지","347119461","9791172540203","03400","크리스토퍼 M. 팔머 지음, 이한나 옮김","심심","20240920","23,000","20,700","1,150점","12620","과학"
"14","과학","가장 높은 깨달음을 향하여","352232030","9791170525349","03840","데이비드 호킨스 지음, 박찬준 옮김","판미동","20241113","15,000","13,500","750점","3980","인문학"
"15","과학","수학 머리는 어떻게 만들어지는가","350404647","9788901289564","03370","조 볼러 지음, 고현석 옮김","웅진지식하우스","20241021","19,800","17,820","990점","13815","좋은부모"
"16","과학","다시 쓰는 수학의 역사","349992342","9791192988917","03410","케이트 기타가와.티모시 레벨 지음, 이충호 옮김","서해문집","20241022","22,000","19,800","1,100점","9840","과학"
"17","과학","비전공자도 이해할 수 있는 AI 지식 (10만부 기념 개정판)","349374326","9791162543931","03000","박상길 지음, 정진호 그림","비즈니스북스","20241022","19,800","17,820","990점","10230","과학"
"18","과학","스포츠의학이 쉬워지는 해부학 도감","352306472","9791193217733","93510","우에하라 다케시 지음, 이시이 나오카타 감수, 이진원 옮김","현익출판","20241120","25,000","22,500","1,250점","2610","건강/취미"
"19","과학","부의 역설","343239522","9788974259198","03320","강범구 지음","국일미디어(국일출판사)","20240725","18,000","16,200","900점","23529","자기계발"
"20","과학","THE FOOD LAB 더 푸드 랩 : 더 나은 요리를 위한 주방 과학의 모든것!","112018875","9788931455625","13590","J. 켄지 로페즈 알트 지음, 임현수 옮김, 송윤형(챨리) 감수","영진.com(영진닷컴)","20170628","55,000","49,500","2,750점","20781","요리/살림"
"21","과학","침팬지 폴리틱스","135368637","9788955617085","03400","프란스 드 발 지음, 장대익.황상익 옮김","바다출판사","20180309","18,000","16,200","900점","23239","과학"
"22","과학","수학이 생명의 언어라면","345548333","9788962624953","03410","김재경 지음","동아시아","20240905","18,000","16,200","900점","13725","과학"
"23","과학","정신병의 신화","351195022","9791193154342","93510","토머스 사스 지음, 윤삼호 옮김","교양인","20241101","25,000","22,500","1,250점","4480","사회과학"
"24","과학","코스모스","540789","9788983711540","03440","칼 세이건 지음, 홍승수 옮김","사이언스북스","20041220","50,000","45,000","2,500점","26883","과학"
