순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","소년이 온다","40869703","9788936434120","03810","한강 지음","창비","20140519","15,000","13,500","750점","1487333","소설/시/희곡"
"2","국내도서","우리는 사랑 안에 살고 있다","352705010","9791171179077","03810","유혜주.조정연 지음","21세기북스","20241127","19,800","17,820","990점","110740","에세이"
"3","국내도서","작별하지 않는다","278770576","9788954682152","03810","한강 지음","문학동네","20210909","16,800","15,120","840점","1124726","소설/시/희곡"
"4","국내도서","채식주의자 (리마스터판)","291370219","9788936434595","03810","한강 지음","창비","20220328","15,000","13,500","750점","1058744","소설/시/희곡"
"5","국내도서","지박소년 하나코 군 22 (트리플 특장판)","352602755","9791136794468","47830","아이다이로 지음, 장혜영 옮김","서울미디어코믹스(서울문화사)","20241120","6,000","5,400","300점","72110","만화"
"6","국내도서","트럼프 2.0 시대","351631229","9791198987600","03320","박종훈 지음","글로퍼스","20241108","20,000","18,000","1,000점","150170","경제경영"
"7","국내도서","일의 감각","352251276","9791193383193","03040","조수용 지음","B Media Company","20241110","22,000","19,800","1,100점","54790","자기계발"
"8","국내도서","2025 임용 면접레시피 평가원 지역 - 전2권","350648405","9791167734976","14370","류은진 외 지음","미래가치","20241028","35,000","33,250","0점","48355","수험서/자격증"
"9","국내도서","흰","143220344","9788954651134","03810","한강 지음, 최진혁 사진","문학동네","20180425","14,500","13,050","720점","365901","소설/시/희곡"
"10","국내도서","김미경의 딥마인드","351442126","9791198013088","03320","김미경 지음","어웨이크북스","20241114","18,000","16,200","900점","53460","자기계발"
"11","국내도서","트렌드 코리아 2025","346341455","9788959897223","13320","김난도 외 지음","미래의창","20240925","20,000","18,000","1,000점","223020","경제경영"
"12","국내도서","2025 사이다 면접","351015770","9791172622749","14370","이지수.구영모 지음","박문각","20241120","45,000","40,500","0점","41120","수험서/자격증"
"13","국내도서","서랍에 저녁을 넣어 두었다","33355947","9788932024639","03810","한강 지음","문학과지성사","20131115","12,000","10,800","600점","321210","소설/시/희곡"
"14","국내도서","최애의 아이 15","352659046","9791172888930","07830","아카사카 아카 지음, 요코야리 멘고 그림","대원씨아이(만화)","20241129","6,000","5,400","300점","27710","만화"
"15","국내도서","어떤 어른","351012112","9791169813419","03810","김소영 지음","사계절","20241113","18,000","16,200","900점","67670","에세이"
"16","국내도서","희랍어 시간","13849130","9788954616515","03810","한강 지음","문학동네","20111110","13,000","11,700","650점","215305","소설/시/희곡"
"17","국내도서","흔한남매 과학 탐험대 12 : 공룡과 화석","352591872","9791194330592","74400","임혜영 그림, 김언정 외 글, 흔한컴퍼니 감수, 정현철 외 기획, 흔한남매 원작","주니어김영사","20241122","14,800","13,320","740점","25430","어린이"
"18","국내도서","원펀맨 One Punch Man 31","352754315","9791172882709","07830","ONE 지음, 무라타 유스케 그림","대원씨아이(만화)","20241125","6,000","5,400","300점","23150","만화"
"19","국내도서","린치핀","351100170","9791193262290","03190","세스 고딘 지음, 윤영삼 옮김","필름(Feelm)","20241113","23,800","21,420","1,190점","33180","자기계발"
"20","국내도서","넥서스","349172323","9791194330424","03900","유발 하라리 지음, 김명주 옮김","김영사","20241011","27,800","25,020","1,390점","119410","인문학"
"21","국내도서","어른의 행복은 조용하다","350636272","9791169851053","03810","태수 지음","페이지2(page2)","20241104","17,800","16,020","890점","51220","에세이"
"22","국내도서","나는 왜 남들보다 쉽게 지칠까","342146026","9791193388075","03180","최재훈 지음","서스테인","20240710","17,800","16,020","890점","59721","인문학"
"23","국내도서","하루 한 장 나의 어휘력을 위한 필사 노트 (컴포지션 에디션)","350505984","9791171711673","03800","유선경 지음","위즈덤하우스","20241023","23,800","21,420","1,190점","159362","인문학"
"24","국내도서","최애의 아이 15 + 일러스트 캘린더 2025 합본판","352658938","9791172888947","07830","아카사카 아카 지음, 요코야리 멘고 그림","대원씨아이(만화)","20241129","26,000","23,400","1,300점","16530","만화"
"25","국내도서","당신을 알기 전에는 시 없이도 잘 지냈습니다","352543771","9791193238493","03810","류시화 지음","수오서재","20241125","16,000","14,400","800점","33170","소설/시/희곡"
"26","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩)","330109498","9788917239508","14740","ETS 엮음","(주)YBM(와이비엠)","20231218","19,800","17,820","990점","185402","외국어"
"27","국내도서","나의 인생만사 답사기","350405095","9788936480608","03810","유홍준 지음","창비","20241101","22,000","19,800","1,100점","68090","에세이"
"28","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝)","330109271","9788917239492","14740","ETS 엮음","(주)YBM(와이비엠)","20231218","19,800","17,820","990점","171202","외국어"
"29","국내도서","어두울 때에야 보이는 것들이 있습니다","349171202","9791130657462","03850","슈테판 츠바이크 지음, 배명자 옮김","다산초당","20241108","16,800","15,120","840점","46490","인문학"
"30","국내도서","퓨처 셀프 30만 부 기념 스페셜 에디션","347950596","9791198854315","03190","벤저민 하디 지음, 최은아 옮김","상상스퀘어","20240925","22,000","19,800","1,100점","45385","자기계발"
"31","국내도서","인생의 의미","346112792","9791140710690","03190","토마스 힐란드 에릭센 지음, 이영래 옮김","더퀘스트","20240904","18,800","16,920","940점","59530","인문학"
"32","국내도서","도피 예찬","350840410","9791186821961","03860","앙리 라보리 지음, 서희정 옮김","황소걸음","20241122","18,000","16,200","900점","6880","인문학"
"33","국내도서","설민석의 한국사 대모험 31","352614660","9791193031742","74910","설민석.남이담 지음, 정현희 그림, 강석화 감수","단꿈아이","20241125","14,000","12,600","700점","15340","어린이"
"34","국내도서","세일러와 페카 삼부작","350624942","9788949119168","74800","요쿰 노르드스트 지음, 이유진 옮김","비룡소","20241127","28,000","25,200","1,400점","5455","유아"
"35","국내도서","부모의 어휘력","341121261","9791168271999","03590","김종원 지음","카시오페아","20240617","19,000","17,100","950점","64585","좋은부모"
"36","국내도서","모순","25843736","9788998441012","03810","양귀자 지음","쓰다","20130401","13,000","11,700","650점","158749","소설/시/희곡"
"37","국내도서","박태웅의 AI 강의 2025","346891281","9791157847679","03300","박태웅 지음","한빛비즈","20240930","18,800","16,920","940점","74170","경제경영"
"38","국내도서","동사 X 전치사 도감","343124315","9791140709960","03740","권은희 지음","길벗이지톡","20240811","19,800","17,820","990점","42121","외국어"
"39","국내도서","초등 영어 식스","351943388","9791197748554","13590","권태형 지음","북북북","20241130","23,000","20,700","1,150점","24190","좋은부모"
"40","국내도서","작은 땅의 야수들","317934373","9791130642574","03840","김주혜 지음, 박소현 옮김","다산책방","20230619","18,000","16,200","900점","86138","소설/시/희곡"
"41","국내도서","디 에센셜 한강 (무선 보급판)","317840073","9788954693462","03810","한강 지음","문학동네","20230601","17,000","15,300","850점","137893","소설/시/희곡"
"42","국내도서","2025 사이다 수업","351034639","9791172622954","13370","송수연.구영모 지음","박문각","20241120","27,000","24,300","1,350점","17020","수험서/자격증"
"43","국내도서","가난한 찰리의 연감","350688115","9788934911388","03320","찰리 멍거 지음, 피터 코프먼 엮음, 김태훈 옮김","김영사","20241108","33,000","29,700","1,650점","52280","경제경영"
"44","국내도서","해커스 토익 기출 VOCA (보카)","176021392","9788965422785","13740","David Cho 지음","해커스어학연구소(Hackers)","20240819","12,900","11,610","640점","219835","외국어"
"45","국내도서","루리 드래곤 2","352723944","9791136795441","47830","신도 마사오키 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20241122","6,000","5,400","300점","12420","만화"
"46","국내도서","팔레스타인 종족 청소","350625927","9791193710746","03910","일란 파페 지음, 유강은 옮김","교유서가","20241119","33,000","29,700","1,650점","5490","역사"
"47","국내도서","유희왕 애장판 12","352758751","9791172888879","07830","다카하시 카즈키 지음","대원씨아이(만화)","20241129","12,000","10,800","600점","11630","만화"
"48","국내도서","마음의 기술","352388892","9791192389233","03180","안-엘렌 클레르.뱅상 트리부 지음, 구영옥 옮김","상상스퀘어","20241118","21,000","18,900","1,050점","15070","인문학"
"49","국내도서","모우어","350996819","9791141601447","03810","천선란 지음","문학동네","20241115","17,000","15,300","850점","50590","소설/시/희곡"
"50","국내도서","종이배에서 잠들다 상.하 세트 - 전2권 (특장판)","352654727","9791172888480","04830","야츠다 테키 지음","대원씨아이(만화)","20241129","36,000","32,400","1,800점","10150","만화"
"51","국내도서","시대예보: 호명사회","346461236","9791170611875","03320","송길영 지음","교보문고(단행본)","20240926","22,000","19,800","1,100점","83400","경제경영"
"52","국내도서","스킵과 로퍼 9","352777880","9791170598107","07830","타카마츠 미사키 지음, 신혜선 옮김","YNK MEDIA(만화)","20241206","6,000","5,400","300점","15820","만화"
"53","국내도서","유치원WARS 10","352662476","9791136795403","47830","You Chiba 지음, 김수연 옮김","서울미디어코믹스(서울문화사)","20241121","6,000","5,400","300점","10590","만화"
"54","국내도서","철학의 쓸모","344694725","9791193866146","03100","로랑스 드빌레르 지음, 박효은 옮김","FIKA(피카)","20240820","18,800","16,920","940점","42850","인문학"
"55","국내도서","원피스 109","350054747","9791172884925","07830","오다 에이치로 지음","대원씨아이(만화)","20241030","6,000","5,400","300점","55365","만화"
"56","국내도서","2025 임용 면접레시피 [서울 지역] - 전2권","350993290","9791167735003","14370","류은진 외 지음","미래가치","20241031","43,000","40,850","0점","13370","수험서/자격증"
"57","국내도서","주아쌤의 툭 치면 탁 나오는 영어회화 (특별 부록 한정판)","347973971","9791191401981","03740","주아쌤(이정은) 지음","몽스북","20241011","18,800","16,920","940점","56180","외국어"
"58","국내도서","이중 하나는 거짓말","344747677","9791141601300","03810","김애란 지음","문학동네","20240827","16,000","14,400","800점","135990","소설/시/희곡"
"59","국내도서","나의 히어로 아카데미아 41 (트리플 특장판)","350911825","9791136793959","47830","호리코시 코헤이 지음","서울미디어코믹스(서울문화사)","20241104","6,000","5,400","300점","68890","만화"
"60","국내도서","압수수색","347090395","9791198933201","03330","김용진.한상진.봉지욱 지음","뉴스타파","20241011","18,000","16,200","900점","77785","사회과학"
"61","국내도서","who? special 아이브","350425056","9791130657875","14990","조약돌 지음, 백재이 그림","다산어린이","20241023","15,000","13,500","750점","22245","어린이"
"62","국내도서","언젠가 우리가 같은 별을 바라본다면","285132160","9791191061048","43810","차인표 지음, 제딧 그림","해결책","20211215","12,000","10,800","600점","136181","청소년"
"63","국내도서","급류","307692409","9788937473401","04810","정대건 지음","민음사","20221222","14,000","12,600","700점","48644","소설/시/희곡"
"64","국내도서","2025 국어 2차 수업실연 순식간에 정복하기","352340175","9791167734945","13710","김미정 외 지음","미래가치","20241118","48,000","43,200","2,400점","11330","수험서/자격증"
"65","국내도서","이처럼 사소한 것들","329386807","9791130646381","03840","클레어 키건 지음, 홍한별 옮김","다산책방","20231127","13,800","12,420","690점","138159","소설/시/희곡"
"66","국내도서","슈뻘맨의 숨은 국어 찾기 1","352277794","9791173114168","77700","류수형 그림, 권나혜 글, 샌드박스 네트워크 외 감수, 슈뻘맨 원작","미래엔아이세움","20241120","15,000","13,500","750점","11740","어린이"
"67","국내도서","너에게 들려주는 단단한 말","342334735","9791198682550","43190","김종원 지음","퍼스트펭귄","20240710","18,000","16,200","900점","99264","청소년"
"68","국내도서","데미안 (오리지널 초판본 표지디자인)","98710881","9791187011590","04850","헤르만 헤세 지음, 이미영 옮김, 김선형","코너스톤","20170101","3,300","2,970","160점","87748","소설/시/희곡"
"69","국내도서","더 인간적인 건축","351450445","9788925574868","03540","토마스 헤더윅 지음, 한진이 옮김","알에이치코리아(RHK)","20241120","30,000","27,000","1,500점","10950","인문학"
"70","국내도서","미로장의 참극","351483814","9791171257522","04830","요코미조 세이시 지음, 정명원 옮김","시공사","20241101","18,500","16,650","920점","21330","소설/시/희곡"
"71","국내도서","더 나은 어휘를 쓰고 싶은 당신을 위한 필사책","352556329","9791194033455","03800","이주윤 지음","빅피시","20241120","22,000","19,800","1,100점","11020","인문학"
"72","국내도서","여수의 사랑","173930433","9788932034812","03810","한강 지음","문학과지성사","20181109","16,000","14,400","800점","90660","소설/시/희곡"
"73","국내도서","사이언스 2025","350555753","9788949132440","73400","내셔널지오그래픽 키즈 지음, 이한음.김아림 옮김","비룡소","20241030","28,000","25,200","1,400점","29340","어린이"
"74","국내도서","바람이 분다, 가라","6467598","9788932020006","03810","한강 지음","문학과지성사","20100226","14,000","12,600","700점","102815","소설/시/희곡"
"75","국내도서","리버 1","351101106","9791167374820","04830","오쿠다 히데오 지음, 송태욱 옮김","은행나무","20241101","18,000","16,200","900점","22340","소설/시/희곡"
"76","국내도서","불안 세대","343729075","9788901285894","03180","조너선 하이트 지음, 이충호 옮김","웅진지식하우스","20240731","24,800","22,320","1,240점","74140","인문학"
"77","국내도서","2025 수학 수업실연 A to Z","352303365","9791167734877","13410","정태진 지음","미래가치","20241118","30,000","27,000","1,500점","11160","수험서/자격증"
"78","국내도서","수원삼성 때문에 산다","352674560","9791169780445","03810","K리그 에디터스 지음","브레인스토어","20241213","22,000","19,800","1,100점","8000","에세이"
"79","국내도서","돈의 심리학 (30만 부 기념 스페셜 에디션)","328520781","9791191056372","03320","모건 하우절 지음, 이지연 옮김","인플루엔셜(주)","20210113","19,800","17,820","990점","120067","경제경영"
"80","국내도서","사카모토 데이즈 18 (더블특전판)","351828376","9791172888855","04830","스즈키 유우토 지음","대원씨아이(만화)","20241129","6,000","5,400","300점","33080","만화"
"81","국내도서","만해 한용운, 도올이 부른다 1","350631905","9788982641602","04810","김용옥 지음","통나무","20241028","18,000","16,200","900점","25955","인문학"
"82","국내도서","상처받지 않을 권리 다시 쓰기","335851946","9791168730984","03100","강신주 지음","오월의봄","20240314","25,000","22,500","1,250점","15348","인문학"
"83","국내도서","다이아몬드의 공죄 1 (더블특전판)","352659213","9791172885052","07830","히라이 오하시 지음","대원씨아이(만화)","20241129","6,500","5,850","320점","8930","만화"
"84","국내도서","성적을 부탁해 티처스","349420954","9791130658452","03370","정승제.조정식.채널A &lt성적을 부탁해 티처스&gt 제작팀 지음","다산에듀","20241029","22,000","19,800","1,100점","33855","좋은부모"
