순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","만화","지박소년 하나코 군 22 (트리플 특장판)","352602755","9791136794468","47830","아이다이로 지음, 장혜영 옮김","서울미디어코믹스(서울문화사)","20241120","6,000","5,400","300점","72110","만화"
"2","만화","최애의 아이 15","352659046","9791172888930","07830","아카사카 아카 지음, 요코야리 멘고 그림","대원씨아이(만화)","20241129","6,000","5,400","300점","27710","만화"
"3","만화","원펀맨 One Punch Man 31","352754315","9791172882709","07830","ONE 지음, 무라타 유스케 그림","대원씨아이(만화)","20241125","6,000","5,400","300점","23150","만화"
"4","만화","최애의 아이 15 + 일러스트 캘린더 2025 합본판","352658938","9791172888947","07830","아카사카 아카 지음, 요코야리 멘고 그림","대원씨아이(만화)","20241129","26,000","23,400","1,300점","16530","만화"
"5","만화","루리 드래곤 2","352723944","9791136795441","47830","신도 마사오키 지음, 유유리 옮김","서울미디어코믹스(서울문화사)","20241122","6,000","5,400","300점","12420","만화"
"6","만화","유희왕 애장판 12","352758751","9791172888879","07830","다카하시 카즈키 지음","대원씨아이(만화)","20241129","12,000","10,800","600점","11630","만화"
"7","만화","종이배에서 잠들다 상.하 세트 - 전2권 (특장판)","352654727","9791172888480","04830","야츠다 테키 지음","대원씨아이(만화)","20241129","36,000","32,400","1,800점","10150","만화"
"8","만화","스킵과 로퍼 9","352777880","9791170598107","07830","타카마츠 미사키 지음, 신혜선 옮김","YNK MEDIA(만화)","20241206","6,000","5,400","300점","15820","만화"
"9","만화","유치원WARS 10","352662476","9791136795403","47830","You Chiba 지음, 김수연 옮김","서울미디어코믹스(서울문화사)","20241121","6,000","5,400","300점","10590","만화"
"10","만화","원피스 109","350054747","9791172884925","07830","오다 에이치로 지음","대원씨아이(만화)","20241030","6,000","5,400","300점","55365","만화"
"11","만화","나의 히어로 아카데미아 41 (트리플 특장판)","350911825","9791136793959","47830","호리코시 코헤이 지음","서울미디어코믹스(서울문화사)","20241104","6,000","5,400","300점","68890","만화"
"12","만화","사카모토 데이즈 18 (더블특전판)","351828376","9791172888855","04830","스즈키 유우토 지음","대원씨아이(만화)","20241129","6,000","5,400","300점","33080","만화"
"13","만화","다이아몬드의 공죄 1 (더블특전판)","352659213","9791172885052","07830","히라이 오하시 지음","대원씨아이(만화)","20241129","6,500","5,850","320점","8930","만화"
"14","만화","원펀맨 One Punch Man 31 (특장판)","352754279","9791172885601","04830","ONE 지음, 무라타 유스케 그림","대원씨아이(만화)","20241125","34,000","30,600","1,700점","6760","만화"
"15","만화","고양이와 할아버지 10 + 2025 캘린더 합본판","352759085","9791172889333","04830","네코마키 지음, 오경화 옮김","미우(대원씨아이)","20241129","26,000","23,400","1,300점","6870","만화"
"16","만화","도쿄 에일리언즈 9 (트리플 특장판)","351748125","9791136794437","47830","NAOE 지음, 박소현 옮김","서울미디어코믹스(서울문화사)","20241107","6,000","5,400","300점","36130","만화"
"17","만화","이세계 삼촌 11","352562446","9791138055000","07830","호톤도신데이루 지음, 김민준 옮김","데이즈엔터(주)","20241205","8,000","7,200","400점","7260","만화"
"18","만화","언니의 미도리 군 6","352658071","9791172888718","07830","메구로 아무 지음","대원씨아이(만화)","20241121","5,500","4,950","270점","5770","만화"
"19","만화","종이배에서 잠들다 : 상","352654775","9791172888466","07830","야츠다 테키 지음","대원씨아이(만화)","20241129","8,000","7,200","400점","5520","만화"
"20","만화","슈퍼 뒤에서 담배 피우는 두 사람 4","352187592","9791127877637","07830","지누시 지음, 김성래 옮김","디앤씨미디어(주)(D&C미디어)","20241120","6,000","5,400","300점","10090","만화"
"21","만화","칼바니아 이야기 21","352663030","9791136795045","47830","토노 지음, 박소현 옮김","서울미디어코믹스(서울문화사)","20241121","6,000","5,400","300점","5390","만화"
"22","만화","종이배에서 잠들다 : 하","352654813","9791172888473","07830","야츠다 테키 지음","대원씨아이(만화)","20241129","8,000","7,200","400점","5270","만화"
