순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","사회과학","넥서스","349172323","9791194330424","03900","유발 하라리 지음, 김명주 옮김","김영사","20241011","27,800","25,020","1,390점","119410","인문학"
"2","사회과학","압수수색","347090395","9791198933201","03330","김용진.한상진.봉지욱 지음","뉴스타파","20241011","18,000","16,200","900점","77785","사회과학"
"3","사회과학","불안 세대","343729075","9788901285894","03180","조너선 하이트 지음, 이충호 옮김","웅진지식하우스","20240731","24,800","22,320","1,240점","74140","인문학"
"4","사회과학","정신병을 팝니다","350956714","9791192092423","03330","제임스 데이비스 지음, 이승연 옮김","사월의책","20241115","23,000","20,700","1,150점","11700","사회과학"
"5","사회과학","사피엔스","314240466","9788934972464","03900","유발 하라리 지음, 조현욱 옮김, 이태수 감수","김영사","20230401","26,800","24,120","1,340점","140232","인문학"
"6","사회과학","관조하는 삶","350682751","9788934918639","03100","한병철 지음, 전대호 옮김","김영사","20241018","16,800","15,120","840점","14495","인문학"
"7","사회과학","총 균 쇠","316294397","9788934942467","03900","제레드 다이아몬드 지음, 강주헌 옮김","김영사","20230510","29,800","26,820","1,490점","61071","인문학"
"8","사회과학","일생에 한번은 헌법을 읽어라","343611289","9791139717013","03360","이효원 지음","현대지성","20240805","18,500","16,650","920점","28702","인문학"
"9","사회과학","무지의 즐거움","350502148","9791167701046","03800","우치다 타츠루 지음, 박동섭 옮김","유유","20241104","18,000","16,200","900점","14340","인문학"
"10","사회과학","노르트스트림의 덫","352327037","9791191311549","03340","마리옹 반 렌테르겜 지음, 권지현 옮김","롤러코스터","20241125","18,700","16,830","930점","4440","사회과학"
"11","사회과학","도둑맞은 집중력","315599742","9791167740984","03180","요한 하리 지음, 김하현 옮김","어크로스","20230428","18,800","16,920","940점","168619","인문학"
"12","사회과학","페미사냥","351822268","9788937492235","04300","이민주 지음","민음사","20241101","17,000","15,300","850점","7520","사회과학"
"13","사회과학","국가는 왜 실패하는가 (리커버)","351774040","9788952766984","03300","대런 애쓰모글루 외 지음, 최완규 옮김, 장경덕 감수","시공사","20120927","28,000","25,200","1,400점","29982","사회과학"
"14","사회과학","보이지 않는 노동자들","350624511","9791141607944","03300","이승윤 지음","문학동네","20241030","17,000","15,300","850점","8165","사회과학"
"15","사회과학","현명한 존재는 무리에 섞이지 않는다","348505533","9791169851039","03100","귀스타브 르 봉 지음, 김진주 옮김","페이지2(page2)","20241021","17,500","15,750","870점","16960","인문학"
"16","사회과학","대한민국 교육트렌드 2025","348209248","9791164251674","03370","교육트렌드2025 집필팀 지음","에듀니티","20241010","30,000","27,000","1,500점","11455","사회과학"
"17","사회과학","상속자들","352330597","9788964374702","93300","피에르 부르디외.장클로드 파스롱 지음, 이상길 옮김","후마니타스","20241118","18,000","16,200","900점","4480","사회과학"
"18","사회과학","아무도 우리를 구해주지 않는다","352545106","9791141607883","03300","록산 게이 지음, 최리외 옮김","문학동네","20241115","22,000","19,800","1,100점","4020","사회과학"
"19","사회과학","2025 대한민국 미래 교육 트렌드","351121434","9788958070481","03370","미래 교육 집필팀 지음","뜨인돌","20241115","27,000","24,300","1,350점","5440","사회과학"
"20","사회과학","정의란 무엇인가","48988418","9788937834790","03300","마이클 샌델 지음, 김명철 옮김, 김선욱 감수","와이즈베리","20141120","18,000","16,200","900점","59247","인문학"
"21","사회과학","지도로 보아야 보인다","343364894","9788993178302","03300","에밀리 오브리 외 지음, 이수진 옮김","사이","20240730","29,800","26,820","1,490점","25192","사회과학"
"22","사회과학","거래의 기술","84543973","9788952234087","03320","도널드 트럼프 지음, 이재호 옮김","살림","20160525","22,000","19,800","1,100점","10533","경제경영"
"23","사회과학","가장 느린 정의","352369631","9791168731325","03300","리아 락슈미 피엡즈나-사마라신하 지음, 전혜은.제이 옮김","오월의봄","20241118","28,000","25,200","1,400점","3070","사회과학"
"24","사회과학","그의 운명에 대한 아주 개인적인 생각","341211658","9788965138068","03300","유시민 지음","생각의길","20240619","16,800","15,120","840점","133211","사회과학"
"25","사회과학","미국 공산주의라는 로맨스","351642781","9791168731318","03300","비비언 고닉 지음, 성원 옮김","오월의봄","20241111","27,000","24,300","1,350점","5420","사회과학"
"26","사회과학","권력과 진보","319539452","9791193166147","03300","대런 애쓰모글루.사이먼 존슨 지음, 김승진 옮김","생각의힘","20230630","32,000","28,800","1,600점","16762","사회과학"
"27","사회과학","젠더 트러블","352367155","9791141608026","03330","주디스 버틀러 지음, 조현준 옮김","문학동네","20241122","25,000","22,500","1,250점","3450","인문학"
"28","사회과학","친밀한 착취 : 돌봄노동","352430084","9791198887818","03300","알바 갓비 지음, 전경훈 옮김","니케북스","20241120","20,000","18,000","1,000점","2620","사회과학"
"29","사회과학","정신병의 신화","351195022","9791193154342","93510","토머스 사스 지음, 윤삼호 옮김","교양인","20241101","25,000","22,500","1,250점","4480","사회과학"
"30","사회과학","가난한 아이들은 어떻게 어른이 되는가","328071557","9791192836355","03300","강지나 지음","돌베개","20231106","17,500","15,750","870점","31116","사회과학"
"31","사회과학","숙론","339154720","9788934950196","03330","최재천 지음","김영사","20240510","18,000","16,200","900점","26204","인문학"
