순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","소설/시/희곡","소년이 온다","40869703","9788936434120","03810","한강 지음","창비","20140519","15,000","13,500","750점","1487333","소설/시/희곡"
"2","소설/시/희곡","작별하지 않는다","278770576","9788954682152","03810","한강 지음","문학동네","20210909","16,800","15,120","840점","1124726","소설/시/희곡"
"3","소설/시/희곡","채식주의자 (리마스터판)","291370219","9788936434595","03810","한강 지음","창비","20220328","15,000","13,500","750점","1058744","소설/시/희곡"
"4","소설/시/희곡","흰","143220344","9788954651134","03810","한강 지음, 최진혁 사진","문학동네","20180425","14,500","13,050","720점","365901","소설/시/희곡"
"5","소설/시/희곡","서랍에 저녁을 넣어 두었다","33355947","9788932024639","03810","한강 지음","문학과지성사","20131115","12,000","10,800","600점","321210","소설/시/희곡"
"6","소설/시/희곡","희랍어 시간","13849130","9788954616515","03810","한강 지음","문학동네","20111110","13,000","11,700","650점","215305","소설/시/희곡"
"7","소설/시/희곡","당신을 알기 전에는 시 없이도 잘 지냈습니다","352543771","9791193238493","03810","류시화 지음","수오서재","20241125","16,000","14,400","800점","33170","소설/시/희곡"
"8","소설/시/희곡","모순","25843736","9788998441012","03810","양귀자 지음","쓰다","20130401","13,000","11,700","650점","158749","소설/시/희곡"
"9","소설/시/희곡","작은 땅의 야수들","317934373","9791130642574","03840","김주혜 지음, 박소현 옮김","다산책방","20230619","18,000","16,200","900점","86138","소설/시/희곡"
"10","소설/시/희곡","디 에센셜 한강 (무선 보급판)","317840073","9788954693462","03810","한강 지음","문학동네","20230601","17,000","15,300","850점","137893","소설/시/희곡"
"11","소설/시/희곡","모우어","350996819","9791141601447","03810","천선란 지음","문학동네","20241115","17,000","15,300","850점","50590","소설/시/희곡"
"12","소설/시/희곡","이중 하나는 거짓말","344747677","9791141601300","03810","김애란 지음","문학동네","20240827","16,000","14,400","800점","135990","소설/시/희곡"
"13","소설/시/희곡","언젠가 우리가 같은 별을 바라본다면","285132160","9791191061048","43810","차인표 지음, 제딧 그림","해결책","20211215","12,000","10,800","600점","136181","청소년"
"14","소설/시/희곡","급류","307692409","9788937473401","04810","정대건 지음","민음사","20221222","14,000","12,600","700점","48644","소설/시/희곡"
"15","소설/시/희곡","이처럼 사소한 것들","329386807","9791130646381","03840","클레어 키건 지음, 홍한별 옮김","다산책방","20231127","13,800","12,420","690점","138159","소설/시/희곡"
"16","소설/시/희곡","데미안 (오리지널 초판본 표지디자인)","98710881","9791187011590","04850","헤르만 헤세 지음, 이미영 옮김, 김선형","코너스톤","20170101","3,300","2,970","160점","87748","소설/시/희곡"
"17","소설/시/희곡","미로장의 참극","351483814","9791171257522","04830","요코미조 세이시 지음, 정명원 옮김","시공사","20241101","18,500","16,650","920점","21330","소설/시/희곡"
"18","소설/시/희곡","여수의 사랑","173930433","9788932034812","03810","한강 지음","문학과지성사","20181109","16,000","14,400","800점","90660","소설/시/희곡"
