순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","수험서/자격증","2025 임용 면접레시피 평가원 지역 - 전2권","350648405","9791167734976","14370","류은진 외 지음","미래가치","20241028","35,000","33,250","0점","48355","수험서/자격증"
"2","수험서/자격증","2025 사이다 면접","351015770","9791172622749","14370","이지수.구영모 지음","박문각","20241120","45,000","40,500","0점","41120","수험서/자격증"
"3","수험서/자격증","2025 사이다 수업","351034639","9791172622954","13370","송수연.구영모 지음","박문각","20241120","27,000","24,300","1,350점","17020","수험서/자격증"
"4","수험서/자격증","2025 임용 면접레시피 [서울 지역] - 전2권","350993290","9791167735003","14370","류은진 외 지음","미래가치","20241031","43,000","40,850","0점","13370","수험서/자격증"
"5","수험서/자격증","2025 국어 2차 수업실연 순식간에 정복하기","352340175","9791167734945","13710","김미정 외 지음","미래가치","20241118","48,000","43,200","2,400점","11330","수험서/자격증"
"6","수험서/자격증","2025 수학 수업실연 A to Z","352303365","9791167734877","13410","정태진 지음","미래가치","20241118","30,000","27,000","1,500점","11160","수험서/자격증"
"7","수험서/자격증","2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상","329745037","9791138919999","13910","최태성 지음","이투스북","20231201","16,000","14,400","800점","109545","수험서/자격증"
"8","수험서/자격증","2025 임용 면접레시피 [경기 지역] - 전2권","350993173","9791167735034","14370","류은진 외 지음","미래가치","20241031","43,000","40,850","0점","8000","수험서/자격증"
"9","수험서/자격증","2024 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하","329745341","9791138920001","13910","최태성 지음","이투스북","20231201","15,500","13,950","770점","98316","수험서/자격증"
"10","수험서/자격증","2025 선생님을 위한 수업실연","351211581","9791172623197","13370","김태규 외 지음","박문각","20241122","40,000","36,000","2,000점","6510","수험서/자격증"
"11","수험서/자격증","2025 임용 면접 레시피 기출문제집 - 전2권","351992343","9791167735072","14370","류은진 외 지음","미래가치","20241114","35,000","31,500","1,750점","6950","수험서/자격증"
"12","수험서/자격증","2025 선재국어 신유형 매일 국어 시즌 2","352561109","9791190302302","13700","이선재 지음","수비니겨","20241125","17,000","15,300","170점","4930","수험서/자격증"
"13","수험서/자격증","한자급수자격시험 대한검정회 5급","277669479","9788988976661","","한출판 편집부 지음","한출판","20210712","12,000","10,800","600점","14512","수험서/자격증"
"14","수험서/자격증","2025 간호사 국가고시 초단기완성 파이널 핵심요약집","350998879","9791163612490","13510","주선희.간호수험연구소 지음","홍지문","20241023","27,000","24,300","1,350점","9840","수험서/자격증"
"15","수험서/자격증","2025 김민철 경찰학 핵심요약집","352730152","9791167734860","13350","김민철 지음","미래가치","20241128","23,000","20,700","1,150점","3920","수험서/자격증"
"16","수험서/자격증","2025 최신판 에듀윌 운전면허 필기 문제집 (1종·2종 공통)","343312539","9791136033666","","도로교통공단 지음","에듀윌","20240724","12,000","10,800","600점","8530","수험서/자격증"
"17","수험서/자격증","2025 써니 행정법총론 기출문제집 - 전2권","352212618","9791169663250","14360","박준철 지음","에스티유니타스","20241110","44,000","39,600","440점","4110","수험서/자격증"
"18","수험서/자격증","2025 유휘운 행정법총론 요약노트 + 기출문제 (요플)","345957776","9791167227379","13360","유휘운 지음","메가스터디교육(공무원)","20240910","21,000","18,900","210점","17475","수험서/자격증"
"19","수험서/자격증","2025 에듀윌 KBS한국어능력시험 한권끝장","342125616","9791136032942","13710","송주연.김지학.황혜림 지음","에듀윌","20240627","35,000","31,500","1,750점","12787","수험서/자격증"
"20","수험서/자격증","2025 심승아 Simple, Detail 소방학개론 심기일전 단원별 예상문제집","352230588","9791192207445","13350","심승아 지음","메가스터디교육(공무원)","20241120","27,000","24,300","270점","5680","수험서/자격증"
"21","수험서/자격증","2025 권규호 신유형 공무원 모의고사 1","351207719","9791194399018","13700","권규호 지음","권규호언어연구실","20241107","19,000","17,100","950점","7630","수험서/자격증"
"22","수험서/자격증","2025 Hi-Pass 하이패스 수업실연","350681815","9788962512397","13370","조학규 지음","G스쿨(지스쿨)","20241021","48,000","45,600","2,400점","5290","수험서/자격증"
"23","수험서/자격증","루이스 영어교원임용 심층면접 & 수업실연 완벽분석","351766223","9791194247043","13370","루이스 지음","캠버스","20241120","35,000","33,250","1,750점","4430","수험서/자격증"
"24","수험서/자격증","2025 전한길 한국사 3.0 기출문제집 - 전2권","345346435","9791167227492","14910","전한길 지음","메가스터디교육(공무원)","20240830","30,000","27,000","300점","13500","수험서/자격증"
"25","수험서/자격증","2025 Hi-Pass 하이패스 심층면접 - 전2권","350681885","9788962512380","13370","조학규 지음","G스쿨(지스쿨)","20241011","48,000","45,600","2,400점","4680","수험서/자격증"
"26","수험서/자격증","2025 이동기 영어 실전 문법 300제 + 요약 노트 세트 - 전2권","346113622","9791169662673","13740","이동기 지음","에스티유니타스","20240911","22,000","19,800","220점","15410","수험서/자격증"
