순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","에세이","우리는 사랑 안에 살고 있다","352705010","9791171179077","03810","유혜주.조정연 지음","21세기북스","20241127","19,800","17,820","990점","110740","에세이"
"2","에세이","어떤 어른","351012112","9791169813419","03810","김소영 지음","사계절","20241113","18,000","16,200","900점","67670","에세이"
"3","에세이","어른의 행복은 조용하다","350636272","9791169851053","03810","태수 지음","페이지2(page2)","20241104","17,800","16,020","890점","51220","에세이"
"4","에세이","나의 인생만사 답사기","350405095","9788936480608","03810","유홍준 지음","창비","20241101","22,000","19,800","1,100점","68090","에세이"
"5","에세이","도피 예찬","350840410","9791186821961","03860","앙리 라보리 지음, 서희정 옮김","황소걸음","20241122","18,000","16,200","900점","6880","인문학"
"6","에세이","디 에센셜 한강 (무선 보급판)","317840073","9788954693462","03810","한강 지음","문학동네","20230601","17,000","15,300","850점","137893","소설/시/희곡"
"7","에세이","너에게 들려주는 단단한 말","342334735","9791198682550","43190","김종원 지음","퍼스트펭귄","20240710","18,000","16,200","900점","99264","청소년"
"8","에세이","더 나은 어휘를 쓰고 싶은 당신을 위한 필사책","352556329","9791194033455","03800","이주윤 지음","빅피시","20241120","22,000","19,800","1,100점","11020","인문학"
"9","에세이","수원삼성 때문에 산다","352674560","9791169780445","03810","K리그 에디터스 지음","브레인스토어","20241213","22,000","19,800","1,100점","8000","에세이"
"10","에세이","더 좋은 문장을 쓰고 싶은 당신을 위한 필사책","343903162","9791194033127","03800","이주윤 지음","빅피시","20240807","22,000","19,800","1,100점","88765","인문학"
"11","에세이","길 위의 뇌","349434140","9791193712559","03190","정세희 지음","한즈미디어(한스미디어)","20241018","19,500","17,550","970점","11535","에세이"
"12","에세이","나는 메트로폴리탄 미술관의 경비원입니다 (20만 부 에디션, 양장)","352359000","9788901276533","03840","패트릭 브링리 지음, 김희정.조현주 옮김","웅진지식하우스","20241125","17,500","15,750","870점","147519","에세이"
"13","에세이","슬픔의 모양","352900171","9791194330813","03810","이석원 지음","김영사","20241130","18,000","16,200","900점","8240","에세이"
