순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","역사","넥서스","349172323","9791194330424","03900","유발 하라리 지음, 김명주 옮김","김영사","20241011","27,800","25,020","1,390점","119410","인문학"
"2","역사","팔레스타인 종족 청소","350625927","9791193710746","03910","일란 파페 지음, 유강은 옮김","교유서가","20241119","33,000","29,700","1,650점","5490","역사"
"3","역사","사피엔스","314240466","9788934972464","03900","유발 하라리 지음, 조현욱 옮김, 이태수 감수","김영사","20230401","26,800","24,120","1,340점","140232","인문학"
"4","역사","총 균 쇠","316294397","9788934942467","03900","제레드 다이아몬드 지음, 강주헌 옮김","김영사","20230510","29,800","26,820","1,490점","61071","인문학"
"5","역사","우리 중 그 누구도 돌아오지 못할 것이다","348129888","9791197971990","03860","샤를로트 델보 지음, 류재화 옮김","가망서사","20241115","25,000","22,500","1,250점","8135","역사"
"6","역사","사피엔스 : 그래픽 히스토리 Vol.1","256860565","9788934991328","07900","다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색","김영사","20201123","17,800","16,020","890점","55610","인문학"
"7","역사","여신의 언어","349457596","9791172131364","03900","마리야 김부타스 지음, 고혜경 옮김","한겨레출판","20241118","75,000","67,500","3,750점","9305","인문학"
"8","역사","이집트 상형문자 필사 노트","350051323","9791170872566","03930","유성환 지음","휴머니스트","20241111","15,000","13,500","750점","16525","인문학"
"9","역사","다시 쓰는 수학의 역사","349992342","9791192988917","03410","케이트 기타가와.티모시 레벨 지음, 이충호 옮김","서해문집","20241022","22,000","19,800","1,100점","9840","과학"
"10","역사","다시 조선으로","350913829","9788976965899","93910","이연식 지음","역사비평사","20241029","19,800","17,820","990점","5400","역사"
"11","역사","최소한의 한국사","318885306","9791198243430","03910","최태성 지음","프런트페이지","20230621","18,000","16,200","900점","79269","역사"
"12","역사","설탕으로 보는 세계사","318437441","9791127462727","04900","가와키타 미노루 지음, 김정희 옮김","AK(에이케이)커뮤니케이션즈","20230610","17,800","16,020","890점","4321","역사"
"13","역사","다시, 역사의 쓸모","343238031","9791193401217","03900","최태성 지음","프런트페이지","20240729","18,000","16,200","900점","30783","역사"
