순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","예술/대중문화","더 인간적인 건축","351450445","9788925574868","03540","토마스 헤더윅 지음, 한진이 옮김","알에이치코리아(RHK)","20241120","30,000","27,000","1,500점","10950","인문학"
"2","예술/대중문화","로스트아크 설정집","352188304","9791172889418","07810","스마일게이트 지음","대원씨아이(단행본)","20241106","54,000","48,600","2,700점","25660","예술/대중문화"
"3","예술/대중문화","창작자를 위한 지브리 스토리텔링","351450871","9788972971474","04680","이누해 지음","동녘","20241115","18,000","16,200","900점","13240","예술/대중문화"
"4","예술/대중문화","서울의 봄 각본집","352729427","9791194293330","03680","김성수 지음","스튜디오오드리","20241122","43,000","38,700","2,150점","7820","예술/대중문화"
"5","예술/대중문화","아이유 가사 필사집","352386634","9788967215491","93670","삼호ETM 편집부 엮음","삼호ETM","20241125","25,000","22,500","1,250점","18030","예술/대중문화"
"6","예술/대중문화","우리 중 그 누구도 돌아오지 못할 것이다","348129888","9791197971990","03860","샤를로트 델보 지음, 류재화 옮김","가망서사","20241115","25,000","22,500","1,250점","8135","역사"
"7","예술/대중문화","정년이 대본집 세트 (대본집 1~2권 + 코멘터리 북) - 전3권","350843238","9791130658704","04680","최효비 지음","다산책방","20241120","52,000","46,800","2,600점","16290","예술/대중문화"
"8","예술/대중문화","COLOR & LIGHT","349202721","9788931477429","14600","3D토털 퍼블리싱 지음, 이수영 옮김","영진.com(영진닷컴)","20241002","32,000","28,800","1,600점","15985","예술/대중문화"
"9","예술/대중문화","김필선 미공개 가사집","352916709","9788967215514","93670","김필선 지음","삼호ETM","20241125","15,000","13,500","750점","5510","예술/대중문화"
"10","예술/대중문화","에일리언 스테이지 아트북 (특별판)","347729960","9791130648668","04650","팀 포맷나인 지음","다산코믹스","20240920","54,000","48,600","2,700점","59340","예술/대중문화"
"11","예술/대중문화","명화의 발견, 그때 그 사람","350916962","9788947549813","03600","성수영 지음","한경arte","20241107","21,000","18,900","1,050점","5820","예술/대중문화"
"12","예술/대중문화","보스토크 VOSTOK 매거진 48호","352544632","9791170370673","03660","보스토크 프레스 편집부 지음","보스토크프레스","20241114","17,000","15,300","850점","3660","예술/대중문화"
"13","예술/대중문화","디자인 구구단","343608885","9791140714063","03000","에이핫 지음","길벗","20240805","20,000","18,000","1,000점","21034","컴퓨터/모바일"
"14","예술/대중문화","그리다가, 뭉클","347633289","9791193650110","03810","이기주 지음","터닝페이지","20241002","18,500","16,650","920점","12075","에세이"
"15","예술/대중문화","현진's 펜 들고, 그림일기","352371131","9791191983036","13650","박현진 지음","북코디","20241115","16,800","15,120","840점","3080","건강/취미"
"16","예술/대중문화","사랑을 그린 화가들","351945971","9791193031759","03600","이창용 지음","단꿈아이","20241118","20,000","18,000","1,000점","2550","예술/대중문화"
"17","예술/대중문화","아케인 아트북","352906502","9791167184405","13000","엘리자베스 빈센텔리.라이엇 게임즈 지음, 정호운 옮김","제우미디어","20241213","50,000","45,000","500점","2140","소설/시/희곡"
