순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","외국어","ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩)","330109498","9788917239508","14740","ETS 엮음","(주)YBM(와이비엠)","20231218","19,800","17,820","990점","185402","외국어"
"2","외국어","ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝)","330109271","9788917239492","14740","ETS 엮음","(주)YBM(와이비엠)","20231218","19,800","17,820","990점","171202","외국어"
"3","외국어","동사 X 전치사 도감","343124315","9791140709960","03740","권은희 지음","길벗이지톡","20240811","19,800","17,820","990점","42121","외국어"
"4","외국어","해커스 토익 기출 VOCA (보카)","176021392","9788965422785","13740","David Cho 지음","해커스어학연구소(Hackers)","20240819","12,900","11,610","640점","219835","외국어"
"5","외국어","주아쌤의 툭 치면 탁 나오는 영어회화 (특별 부록 한정판)","347973971","9791191401981","03740","주아쌤(이정은) 지음","몽스북","20241011","18,800","16,920","940점","56180","외국어"
"6","외국어","일본어 무작정 따라하기 완전판","298773222","9791165219956","03730","후지이 아사리 지음","길벗이지톡","20220805","26,000","23,400","1,300점","74870","외국어"
"7","외국어","해커스 토익 RC Reading(리딩) 기본서","306403048","9788965424765","13740","David Cho 지음","해커스어학연구소(Hackers)","20230724","18,800","16,920","940점","65740","외국어"
"8","외국어","ETS 토익기출 파트별 VOCA 보카","307463655","9788917237481","13740","ETS 지음","(주)YBM(와이비엠)","20221223","13,000","11,700","650점","62762","외국어"
"9","외국어","김재우의 구동사 100","345262281","9791192389998","03740","김재우 지음","상상스퀘어","20240826","25,000","22,500","1,250점","24880","외국어"
"10","외국어","한자급수자격시험 대한검정회 5급","277669479","9788988976661","","한출판 편집부 지음","한출판","20210712","12,000","10,800","600점","14512","수험서/자격증"
"11","외국어","디즈니, 픽사 베스트 컬렉션 : 인사이드 아웃 Inside Out 2","345732111","9791140709700","03740","라이언 박 해설","길벗이지톡","20240930","26,000","23,400","1,300점","9905","외국어"
"12","외국어","해커스 보카 (Hackers Vocabulary)","61117382","9788965421030","18740","David Cho 지음","해커스어학연구소(Hackers)","20230710","16,900","15,210","840점","97406","외국어"
"13","외국어","해커스 토익 LC Listening(리스닝) 기본서","306405534","9788965424772","13740","David Cho 지음","해커스어학연구소(Hackers)","20230724","18,800","16,920","940점","51270","외국어"
"14","외국어","ETS 토익 단기 공략 750+ (LC + RC)","249196467","9788917235944","13740","ETS 지음","(주)YBM(와이비엠)","20200820","18,000","16,200","900점","66144","외국어"
"15","외국어","빨모쌤의 라이브 영어회화 (특별 부록 한정판)","337994954","9788901281797","13740","빨간모자쌤 신용하 지음","웅진지식하우스","20240415","22,000","19,800","1,100점","86726","외국어"
"16","외국어","김재우의 영어회화 100","319980215","9791192389172","13740","김재우 지음","상상스퀘어","20230705","22,000","19,800","1,100점","51518","외국어"
"17","외국어","해커스 일본어 첫걸음 : 기초 20일 독학 완성!","274708878","9788965424215","13730","해커스JLPT연구소 지음","해커스어학연구소(Hackers)","20240507","13,900","12,510","690점","47411","외국어"
"18","외국어","2024 켈리 지텔프 G-point 33 : 문법편","334958295","9791160493078","13740","켈리 지음","멘토링","20240304","30,000","27,000","1,500점","13926","외국어"
"19","외국어","28시간에 끝내는 토익스피킹 스타트","295304241","9791186858387","","황인기.시원스쿨 어학연구소 지음","시원스쿨LAB","20220602","17,900","16,110","890점","35743","외국어"
"20","외국어","실생활 90%를 감당하는 영어 단어들","349682692","9791171011094","13740","황용운 지음","사람in","20241014","19,000","17,100","950점","7740","외국어"
"21","외국어","한 권으로 끝내는 일본어 초급 문법노트","352323457","9791172108922","13730","와카메 센세 지음","동양북스(동양문고)","20241113","16,800","15,120","840점","3640","외국어"
"22","외국어","한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA)","285716191","9788965424628","13740","해커스어학연구소 지음","해커스어학연구소(Hackers)","20230807","19,800","17,820","990점","40088","외국어"
"23","외국어","네이티브처럼 듣고 말하는 영어 구동사 수업","344689610","9791172100636","13740","조찬.Kayla Mundstock 지음","동양북스(동양문고)","20240823","19,800","17,820","990점","11065","외국어"
"24","외국어","일본어 문법 무작정 따라하기","309638760","9791140702978","03730","후지이 아사리 지음","길벗이지톡","20230214","26,000","23,400","1,300점","35621","외국어"
"25","외국어","뉴스 영어 네이티브 영어표현력 사전","352590933","9788927701835","13740","이창수 지음","다락원","20241118","22,000","19,800","1,100점","2350","외국어"
"26","외국어","ETS 토익 단기 공략 850+ (LC + RC)","297119304","9788917237955","13740","ETS 지음","(주)YBM(와이비엠)","20220630","19,500","17,550","970점","29935","외국어"
"27","외국어","ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩)","284153629","9788917238549","13740","ETS 엮음","(주)YBM(와이비엠)","20211213","17,800","16,020","890점","85062","외국어"
"28","외국어","JLPT 일본어능력시험 한권으로 끝내기 N3","280870672","9788927712435","14730","이치우. 기타지마 치즈코 지음","다락원","20211011","27,000","24,300","1,350점","43323","외국어"
"29","외국어","일본어 단어 무작정 따라하기","339775722","9791140709267","03730","후지이 아사리 지음","길벗이지톡","20240520","26,000","23,400","1,300점","19682","외국어"
"30","외국어","한자급수자격시험 대한검정회 4급","277669535","9788988976814","13710","한출판 편집부 지음","한출판","20210812","13,000","11,700","650점","6779","수험서/자격증"
"31","외국어","ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝)","284153150","9788917238532","13740","ETS 엮음","(주)YBM(와이비엠)","20211213","17,800","16,020","890점","77494","외국어"
"32","외국어","일본어 상용한자 무작정 따라하기 1","309637967","9791140703050","03730","권경배 지음","길벗이지톡","20230130","26,000","23,400","1,300점","31929","외국어"
"33","외국어","10일 만에 끝내는 해커스 OPIc 오픽 (Advanced 공략)","317484824","9791137910539","13740","해커스 오픽연구소 지음","(주)해커스","20230605","25,000","22,500","1,250점","27615","외국어"
"34","외국어","해커스 토익 실전 LC + RC 2 (모의고사 + 해설집)","343695327","9788965427186","13740","해커스어학연구소 지음","해커스어학연구소(Hackers)","20240731","18,900","17,010","940점","10730","외국어"
"35","외국어","시계토끼 기본 토익스피킹","349197607","9791198843807","13740","Jenny Cha 지음","시계토끼","20240908","26,000","23,400","1,300점","4985","외국어"
"36","외국어","해커스 토익 스타트 RC Reading (리딩) 입문서","222363085","9788965423379","13740","David Cho 지음","해커스어학연구소(Hackers)","20230612","14,900","13,410","740점","42667","외국어"
"37","외국어","해커스 토익 스타트 LC Listening (리스닝) 입문서","222371972","9788965423386","13740","David Cho 지음","해커스어학연구소(Hackers)","20230612","14,900","13,410","740점","34536","외국어"
"38","외국어","영어로 문장 만들기 훈련 1차 임계점","342920949","9791171010875","14740","유은하 지음","사람in","20240715","22,000","19,800","1,100점","29837","외국어"
"39","외국어","해커스톡 여행영어 10분의 기적","176569924","9788965422778","13740","해커스어학연구소 지음","해커스어학연구소(Hackers)","20230313","9,800","8,820","490점","25302","외국어"
"40","외국어","JLPT 일본어능력시험 한권으로 끝내기 N5","300705317","9788927712459","14730","이치우.이한나 지음","다락원","20220901","27,000","24,300","1,350점","20412","외국어"
