순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","요리/살림","김대리의 취향 니트","351008825","9788901289632","13590","바늘이야기 김대리 지음","웅진리빙하우스","20241111","21,000","18,900","1,050점","42210","건강/취미"
"2","요리/살림","채소는 따뜻하게 먹습니다","284467891","9791187033738","13590","쓰쓰미 히토미 지음, 이은정 옮김","좋은생각","20211213","7,500","6,750","370점","6966","요리/살림"
"3","요리/살림","최강록의 요리 노트","322206178","9791192512419","03810","최강록 지음","클","20230814","16,800","15,120","840점","38375","요리/살림"
"4","요리/살림","에꼴듀빵 마스터클래스","352339692","9791186519912","13590","제레미 볼레스터 지음","비앤씨월드","20241202","44,000","39,600","2,200점","5580","요리/살림"
"5","요리/살림","첫번째오늘의 즐거운 양말 만들기","352722570","9791193712696","13590","정윤주 지음","한즈미디어(한스미디어)","20241126","20,000","18,000","1,000점","2780","건강/취미"
"6","요리/살림","knits pour moi 나를 위한 뜨개","350858964","9791172100773","13630","knits pour moi 지음","동양북스(동양문고)","20241028","31,500","28,350","1,570점","20460","건강/취미"
"7","요리/살림","풍미 마스터 클래스","352187153","9791194087588","13590","백지혜 지음, 정멜멜 사진","세미콜론","20241111","25,000","22,500","1,250점","5030","요리/살림"
"8","요리/살림","시골집의 기적","352247855","9791159001505","13540","오미숙 지음","포북(for book)","20241110","22,000","19,800","1,100점","3440","요리/살림"
"9","요리/살림","THE FOOD LAB 더 푸드 랩 : 더 나은 요리를 위한 주방 과학의 모든것!","112018875","9788931455625","13590","J. 켄지 로페즈 알트 지음, 임현수 옮김, 송윤형(챨리) 감수","영진.com(영진닷컴)","20170628","55,000","49,500","2,750점","20781","요리/살림"
"10","요리/살림","뿐이 토핑 이유식","335110473","9791168222724","13590","정주희 지음, 이수진 감수","서사원","20240307","29,800","26,820","1,490점","16424","요리/살림"
"11","요리/살림","아이주도 이유식 유아식 매뉴얼 세트","277560597","9791195616169","14590","BLW 연구소.안소정 지음","아퍼블리싱","20210831","23,500","21,150","1,170점","17292","요리/살림"
"12","요리/살림","오늘 정리","218415947","9791186745335","13590","김현주 지음","솜씨컴퍼니","20191202","4,400","3,960","220점","7823","요리/살림"
"13","요리/살림","기적의 항암 식단","347663059","9788969525963","13590","김훈하.김정은 지음","경향BP","20240919","18,000","16,200","900점","7740","요리/살림"
"14","요리/살림","우주맘의 사계절 튼튼 면역력 유아식","350411473","9791194246251","13590","김슬기 지음, 조한경 감수","쌤앤파커스","20241101","18,500","16,650","920점","8695","요리/살림"
"15","요리/살림","당뇨 잡는 사계절 저당 식단 & 도시락","349721550","9791192366449","13590","임재영 지음","레시피팩토리","20241015","25,000","22,500","1,250점","5325","요리/살림"
"16","요리/살림","브루잉 레시피 도감","352304307","9788993461718","03810","김승백 지음","아이비라인","20241106","19,000","17,100","950점","3690","요리/살림"
"17","요리/살림","대바늘 니트 사이즈 조정 핸드북","350490468","9791193712566","13590","일본보그사 지음, 배혜영 옮김","한즈미디어(한스미디어)","20241023","18,500","16,650","920점","6190","건강/취미"
"18","요리/살림","오늘의 일인분 일식","195151878","9791188601233","13590","베터홈 협회 지음, 이진숙 옮김","참돌","20190617","4,400","3,960","220점","27060","요리/살림"
"19","요리/살림","원더 니트","226733418","9791188601332","13630","일본보그사 지음, 김나정 옮김, 조경선 감수","참돌","20200102","4,400","3,960","220점","7483","건강/취미"
"20","요리/살림","따뜻한 여사의 5분 컷 전자레인지 레시피 100","343663316","9791160322293","13590","김수림 지음","싸이프레스","20240810","17,800","16,020","890점","10476","요리/살림"
"21","요리/살림","푸드&와인 페어링 쿡북","351733492","9791193712627","13590","정리나.백은주 지음","한즈미디어(한스미디어)","20241111","25,000","22,500","1,250점","2320","요리/살림"
"22","요리/살림","오늘은 아무래도 덮밥","242903052","9791188601387","13590","이마이 료 지음, 이진숙 옮김","참돌","20200612","4,400","3,960","220점","18723","요리/살림"
"23","요리/살림","일본 가정식 한상 차림","350070277","9791168622876","13590","노자키 히로미쓰 지음, 김소영 옮김","시그마북스","20241108","22,000","19,800","1,100점","2240","요리/살림"
"24","요리/살림","니팅 포 올리브","349822938","9791187512981","13590","니팅 포 올리브 지음, 이성아 옮김, 강혜빈 감수","앵글북스","20241111","30,000","27,000","1,500점","4420","건강/취미"
"25","요리/살림","생선 바이블","329299446","9791190118613","13590","김지민 지음","BOOKERS(북커스)","20231215","35,000","31,500","1,750점","11249","요리/살림"
"26","요리/살림","위스키디아","349974186","9791158464264","03590","김지호 지음","비타북스","20241030","22,000","19,800","1,100점","3380","요리/살림"
"27","요리/살림","도쿄 스페셜티 커피 트립","352304779","9788993461701","03810","이한오 지음","아이비라인","20241106","18,000","16,200","900점","1500","여행"
"28","요리/살림","5만원 5일 집밥","350405887","9791140711215","13590","지미테이블(송리나) 지음","길벗","20241025","19,800","17,820","990점","2895","요리/살림"
