순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","인문학","넥서스","349172323","9791194330424","03900","유발 하라리 지음, 김명주 옮김","김영사","20241011","27,800","25,020","1,390점","119410","인문학"
"2","인문학","나는 왜 남들보다 쉽게 지칠까","342146026","9791193388075","03180","최재훈 지음","서스테인","20240710","17,800","16,020","890점","59721","인문학"
"3","인문학","하루 한 장 나의 어휘력을 위한 필사 노트 (컴포지션 에디션)","350505984","9791171711673","03800","유선경 지음","위즈덤하우스","20241023","23,800","21,420","1,190점","159362","인문학"
"4","인문학","어두울 때에야 보이는 것들이 있습니다","349171202","9791130657462","03850","슈테판 츠바이크 지음, 배명자 옮김","다산초당","20241108","16,800","15,120","840점","46490","인문학"
"5","인문학","인생의 의미","346112792","9791140710690","03190","토마스 힐란드 에릭센 지음, 이영래 옮김","더퀘스트","20240904","18,800","16,920","940점","59530","인문학"
"6","인문학","도피 예찬","350840410","9791186821961","03860","앙리 라보리 지음, 서희정 옮김","황소걸음","20241122","18,000","16,200","900점","6880","인문학"
"7","인문학","마음의 기술","352388892","9791192389233","03180","안-엘렌 클레르.뱅상 트리부 지음, 구영옥 옮김","상상스퀘어","20241118","21,000","18,900","1,050점","15070","인문학"
"8","인문학","철학의 쓸모","344694725","9791193866146","03100","로랑스 드빌레르 지음, 박효은 옮김","FIKA(피카)","20240820","18,800","16,920","940점","42850","인문학"
"9","인문학","더 인간적인 건축","351450445","9788925574868","03540","토마스 헤더윅 지음, 한진이 옮김","알에이치코리아(RHK)","20241120","30,000","27,000","1,500점","10950","인문학"
"10","인문학","더 나은 어휘를 쓰고 싶은 당신을 위한 필사책","352556329","9791194033455","03800","이주윤 지음","빅피시","20241120","22,000","19,800","1,100점","11020","인문학"
"11","인문학","불안 세대","343729075","9788901285894","03180","조너선 하이트 지음, 이충호 옮김","웅진지식하우스","20240731","24,800","22,320","1,240점","74140","인문학"
"12","인문학","만해 한용운, 도올이 부른다 1","350631905","9788982641602","04810","김용옥 지음","통나무","20241028","18,000","16,200","900점","25955","인문학"
"13","인문학","상처받지 않을 권리 다시 쓰기","335851946","9791168730984","03100","강신주 지음","오월의봄","20240314","25,000","22,500","1,250점","15348","인문학"
"14","인문학","더 좋은 문장을 쓰고 싶은 당신을 위한 필사책","343903162","9791194033127","03800","이주윤 지음","빅피시","20240807","22,000","19,800","1,100점","88765","인문학"
"15","인문학","정신병을 팝니다","350956714","9791192092423","03330","제임스 데이비스 지음, 이승연 옮김","사월의책","20241115","23,000","20,700","1,150점","11700","사회과학"
"16","인문학","어른의 어휘 일력 365 (스프링)","348007520","9791198889508","10710","서선행.이은정 지음","윌마","20240930","22,000","19,800","1,100점","39530","인문학"
"17","인문학","사피엔스","314240466","9788934972464","03900","유발 하라리 지음, 조현욱 옮김, 이태수 감수","김영사","20230401","26,800","24,120","1,340점","140232","인문학"
"18","인문학","혐오의 즐거움에 관하여","344069973","9791186643204","03800","윌리엄 해즐릿 지음, 공진호 옮김","아티초크","20240830","16,700","15,030","830점","16065","인문학"
"19","인문학","내면소통","311899364","9791168340855","","김주환 지음","인플루엔셜(주)","20230227","33,000","29,700","1,650점","74850","인문학"
"20","인문학","만해 한용운, 도올이 부른다 2","350635897","9788982641619","04810","김용옥 지음","통나무","20241028","18,000","16,200","900점","21435","인문학"
