순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","자기계발","일의 감각","352251276","9791193383193","03040","조수용 지음","B Media Company","20241110","22,000","19,800","1,100점","54790","자기계발"
"2","자기계발","김미경의 딥마인드","351442126","9791198013088","03320","김미경 지음","어웨이크북스","20241114","18,000","16,200","900점","53460","자기계발"
"3","자기계발","린치핀","351100170","9791193262290","03190","세스 고딘 지음, 윤영삼 옮김","필름(Feelm)","20241113","23,800","21,420","1,190점","33180","자기계발"
"4","자기계발","퓨처 셀프 30만 부 기념 스페셜 에디션","347950596","9791198854315","03190","벤저민 하디 지음, 최은아 옮김","상상스퀘어","20240925","22,000","19,800","1,100점","45385","자기계발"
"5","자기계발","가난한 찰리의 연감","350688115","9788934911388","03320","찰리 멍거 지음, 피터 코프먼 엮음, 김태훈 옮김","김영사","20241108","33,000","29,700","1,650점","52280","경제경영"
"6","자기계발","진짜 쓰는 실무 엑셀","288198356","9791191600704","13000","오빠두(전진권) 지음","제이펍","20220215","21,000","18,900","1,050점","76463","컴퓨터/모바일"
"7","자기계발","위대한 12주","350481135","9791193941195","03320","브라이언 P. 모런.마이클 레닝턴 지음, 정성재 옮김","클랩북스","20241107","18,800","16,920","940점","23285","경제경영"
"8","자기계발","모든 시험에 적용되는 33가지 진짜 공부법","352910039","9791130660820","03190","연수남 지음","다산북스","20241126","19,800","17,820","990점","10840","자기계발"
"9","자기계발","세이노의 가르침 (화이트 에디션)","309295168","9791168473690","03190","세이노(SayNo) 지음","데이원","20230302","7,200","6,480","360점","323809","자기계발"
"10","자기계발","지금 사랑한다고 말하세요","344834679","9791193238363","03320","김창옥 지음","수오서재","20240902","18,000","16,200","900점","28480","자기계발"
"11","자기계발","생각의 연금술","346929620","9791193506844","03320","제임스 알렌 지음, 하와이 대저택 엮음, 송은선.함희영 옮김","포레스트북스","20240925","19,800","17,820","990점","48035","자기계발"
"12","자기계발","아비투스의 힘","349717822","9791140711277","03300","도리스 메르틴 지음, 이지윤 옮김","더퀘스트","20241025","21,000","18,900","1,050점","18270","자기계발"
"13","자기계발","데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본)","209457983","9791187142560","03320","데일 카네기 지음, 임상훈 옮김","현대지성","20191007","11,500","10,350","570점","79584","자기계발"
"14","자기계발","싸우지 않고 이기는 기술","349864663","9791158513009","03190","제이 하인리히 지음, 조용빈 옮김","토네이도","20241028","19,800","17,820","990점","21555","자기계발"
"15","자기계발","고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션)","352543350","9791193939130","03320","고명환 지음","라곰","20240826","16,800","15,120","840점","86210","자기계발"
"16","자기계발","한석준의 대화의 기술","350905572","9791168342354","03190","한석준 지음","인플루엔셜(주)","20241028","18,000","16,200","900점","8520","자기계발"
"17","자기계발","생각하라 그리고 부자가 되어라","351458612","9791155817179","04190","나폴레온 힐 지음, 김미란 옮김","윌북","20241030","18,800","16,920","940점","7840","자기계발"
"18","자기계발","고수의 어휘 사용법","350847019","9788968334818","03800","김선영 지음","블랙피쉬","20241029","16,800","15,120","840점","8595","인문학"
"19","자기계발","매일 조금씩 쓰고 버린다","255198138","9791187033462","03190","후데코 지음, 홍성민 옮김","좋은생각","20201123","5,500","4,950","270점","5740","자기계발"
"20","자기계발","회복탄력성 (15만부 기념 리커버)","187544571","9791189938772","13320","김주환 지음","위즈덤하우스","20190329","14,800","13,320","740점","46795","자기계발"
"21","자기계발","말을 잘하는 사람보다 대화를 잘하는 사람이 좋다","352202885","9791193506905","03190","윤수빈 지음","포레스트북스","20241125","16,800","15,120","840점","5260","자기계발"
"22","자기계발","자기결단력","289316741","9791187033806","03320","피터 홀린스 지음, 한원희 옮김","좋은생각","20220224","8,000","7,200","400점","5166","자기계발"
"23","자기계발","부자의 언어 (2025 부의 시크릿 카드 에디션)","352725795","9791155815915","03320","존 소포릭 지음, 이한이 옮김","윌북","20241121","19,800","17,820","990점","32688","경제경영"
