순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","잡지","DICON VOLUME N°23 BYEON WOO SEOK : B-TYPE","352917384","","","디스패치 지음","dicon","20250106","38,700","38,700","0점","13650","잡지"
"2","잡지","더스타 The Star 2024.12 (표지 : 이승윤)","352607487","9772288095009","","더스타 미디어 편집부 지음","더스타미디어(잡지)","20241119","12,000","11,400","360점","19410","잡지"
"3","잡지","주부생활 D형 2024.12","352380449","9771227000012","","주부생활 편집부 지음","더북컴퍼니","20241114","10,500","9,970","310점","12490","잡지"
"4","잡지","우먼센스 B형 2024.12","352656377","9771228337001","","우먼센스 편집부 지음","서울문화사(잡지)","20241120","11,000","10,450","330점","11290","잡지"
"5","잡지","EBS FM Radio 입이 트이는 영어 2024.12","352338777","9771976770006","","이현석 외 지음","동아출판(방송교재)","20241115","11,000","10,450","330점","9500","잡지"
"6","잡지","EBS FM Radio Easy English 초급 영어 회화 2024.12","352339151","9771228594008","","이보영 외 지음","동아출판(방송교재)","20241115","8,000","7,600","240점","9010","잡지"
"7","잡지","DICON VOLUME N°23 BYEON WOO SEOK : E-TYPE","352916834","","","디스패치 지음","dicon","20250106","38,700","38,700","0점","8470","잡지"
"8","잡지","생명의 삶 2024.12 (개역개정판.새찬송가)","352202469","9771975740017","","생명의삶 편집부 지음","두란노(잡지)","20241201","5,000","4,750","150점","28970","잡지"
"9","잡지","EBS FM Radio Power English 중급 영어회화 2024.12","352338830","9771228593001","","크리스틴 조 외 지음","동아출판(방송교재)","20241115","8,000","7,600","240점","8190","잡지"
"10","잡지","에스콰이어 Esquire D형 2024.12 (표지 : 세븐틴 민규 3종 중 랜덤)","352408785","9771228008000","","에스콰이어 편집부 지음","허스트중앙(Hearst-Joongang)","20241115","12,900","12,250","380점","12090","잡지"
"11","잡지","우먼센스 A형 2024.12","352655873","","","우먼센스 편집부 지음","서울문화사(잡지)","20241120","12,000","11,400","360점","11790","잡지"
"12","잡지","맥심 Maxim A형 2024.12","352713997","9772233427008","","맥심코리아 편집부 지음","와이미디어(잡지)","20241101","8,900","8,450","260점","8100","잡지"
"13","잡지","바자 Bazaar Korea 2024.12 (김혜수, 노윤서, 모델 3종 중 랜덤)","352542818","2515023429007","","Bazaar 편집부 지음","허스트중앙(Hearst-Joongang)","20241118","12,900","12,250","380점","7170","잡지"
"14","잡지","맥심 Maxim B형 2024.12","352714285","9772233427039","","맥심코리아 편집부 지음","와이미디어(잡지)","20241121","8,900","8,450","260점","5600","잡지"
"15","잡지","싱글즈 Singles C형 2024.12 (표지 : 박재범)","352311817","9771739316007","","싱글즈 편집부 지음","더북컴퍼니","20241113","8,000","7,600","240점","8790","잡지"
"16","잡지","엘르 Elle B형 2024.12 (표지 : 지수)","352409346","2553588275004","","허스트중앙 편집부 지음","허스트중앙(Hearst-Joongang)","20241115","12,900","12,250","380점","8930","잡지"
