순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","장르소설","미로장의 참극","351483814","9791171257522","04830","요코미조 세이시 지음, 정명원 옮김","시공사","20241101","18,500","16,650","920점","21330","소설/시/희곡"
"2","장르소설","리버 1","351101106","9791167374820","04830","오쿠다 히데오 지음, 송태욱 옮김","은행나무","20241101","18,000","16,200","900점","22340","소설/시/희곡"
"3","장르소설","리버 2","351101378","9791167374837","04830","오쿠다 히데오 지음, 송태욱 옮김","은행나무","20241101","18,000","16,200","900점","17640","소설/시/희곡"
"4","장르소설","위키드 1","351454336","9788937428210","04840","그레고리 머과이어 지음, 송은주 옮김","민음사","20241106","18,000","16,200","900점","6720","소설/시/희곡"
"5","장르소설","스파이 코스트","352560565","9791185851310","03840","테스 게리첸 지음, 박지민 옮김","미래지향","20241127","18,000","16,200","900점","6120","소설/시/희곡"
"6","장르소설","어서 오세요 실력지상주의 교실에 2학년 편 12","352318342","9791138484978","04830","키누가사 쇼고 지음, 토모세 슌사쿠 그림, 조민정 옮김","㈜소미미디어","20241121","8,500","7,650","420점","12130","소설/시/희곡"
"7","장르소설","홍학의 자리","275879438","9788954681155","03810","정해연 지음","엘릭시르","20210726","14,000","12,600","700점","45623","소설/시/희곡"
"8","장르소설","마녀의 여행 20","352672794","9791138431507","04830","시라이시 죠우기 지음, 아즈루 그림, 이신 옮김","㈜소미미디어","20241128","9,800","8,820","490점","5830","소설/시/희곡"
"9","장르소설","패배 히로인이 너무 많아! 6","352564982","9791138055055","04830","아마모리 타키비 지음, 이미기무루 그림, 김민준 옮김","데이즈엔터(주)","20241205","8,000","7,200","400점","8820","소설/시/희곡"
"10","장르소설","당신이 누군가를 죽였다","342922559","9791170611561","03830","히가시노 게이고 지음, 최고은 옮김","북다","20240723","19,800","17,820","990점","72603","소설/시/희곡"
"11","장르소설","내가 키운 S급들 1~5 + 굿즈 패키지 세트 - 전5권","351975355","9791139640533","04810","근서 지음","JAYPLEMEDIA","20241226","100,000","90,000","5,000점","39890","소설/시/희곡"
"12","장르소설","아이언 플레임 1","351581530","9791173111525","04840","레베카 야로스 지음, 이수현 옮김","북폴리오","20241106","18,000","16,200","900점","11850","소설/시/희곡"
"13","장르소설","세상의 마지막 기차역 (리커버 에디션)","311966272","9791191043754","","무라세 다케시 지음, 김지연 옮김","모모","20220511","14,000","12,600","700점","56509","소설/시/희곡"
