순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","종교/역학","세상 속에 있지만 세상에 속하지 않는","352233028","9791170525325","03840","데이비드 호킨스 지음, 박찬준 옮김","판미동","20241113","13,000","11,700","650점","5450","인문학"
"2","종교/역학","팀 켈러, 사랑으로 나아가는 오늘","350404334","9788953149557","03230","팀 켈러 지음","두란노","20241023","25,000","22,500","1,250점","11280","종교/역학"
"3","종교/역학","예배와 설교 핸드북","352193184","9791193719022","93230","김수중 외 지음, 정장복 감수","예배와설교아카데미","20241106","55,000","49,500","550점","6600","종교/역학"
"4","종교/역학","2024 대림절 묵상집 : 별처럼 빛나는 사람들","351491594","9788951121654","03230","한국YWCA연합회 외 엮음","대한기독교서회","20241105","2,500","2,250","120점","54870","종교/역학"
"5","종교/역학","가장 높은 깨달음을 향하여","352232030","9791170525349","03840","데이비드 호킨스 지음, 박찬준 옮김","판미동","20241113","15,000","13,500","750점","3980","인문학"
"6","종교/역학","삶으로 다시 떠오르기","30315179","9791195026128","03840","에크하르트 톨레 지음, 류시화 옮김","연금술사","20130815","24,000","21,600","1,200점","25840","종교/역학"
"7","종교/역학","스크루테이프의 편지","175603868","9788936513191","03230","C.S.루이스 지음, 김선형 옮김","홍성사","20181115","13,000","11,700","650점","37977","종교/역학"
"8","종교/역학","2024 대림절의 깊은 묵상","352387704","9788939846111","03230","한국장로교출판사 편집부 지음","한국장로교출판사(한장사)","20241111","3,000","2,700","150점","18690","종교/역학"
"9","종교/역학","디바인 매트릭스, 느낌이 현실이 된다","275940050","9788934906957","03180","그렉 브레이든 지음, 김시현 옮김","김영사","20210630","15,800","14,220","790점","12544","자기계발"
"10","종교/역학","고난극복 : 변나명용","351186705","9791165045739","03230","한창수 지음","규장(규장문화사)","20241105","17,000","15,300","850점","4260","종교/역학"
"11","종교/역학","신약 단어 수업","348212701","9788932822907","03230","니제이 굽타 지음, 박장훈 옮김","IVP","20240927","22,000","19,800","1,100점","10750","종교/역학"
"12","종교/역학","G. K. 체스터턴 탄생 150주년 기념 대표작 세트 - 전3권","352413324","9791170831747","04230","G. K. 체스터턴 지음, 전경훈 옮김","복있는사람","20241115","60,000","54,000","3,000점","2490","종교/역학"
"13","종교/역학","한국 교회 트렌드 2025","347086982","9791165045609","03230","지용근 외 지음","규장(규장문화사)","20240925","22,000","19,800","1,100점","20915","종교/역학"
"14","종교/역학","주님으로부터","350439854","9791165045678","03230","임은미 지음","규장(규장문화사)","20241029","17,000","15,300","850점","7455","종교/역학"
"15","종교/역학","초역 부처의 말","339737027","9791193506516","03100","코이케 류노스케 지음, 박재현 옮김","포레스트북스","20240530","17,800","16,020","890점","52918","인문학"
"16","종교/역학","303 비전 성경암송노트 유니게 과정 제1·2단계","274127184","9791165042264","03230","여운학 지음","규장(규장문화사)","20210621","5,000","4,500","250점","6967","종교/역학"
"17","종교/역학","하나님의 침묵","352655599","9788953149434","03230","헬무트 틸리케 지음, 윤종석 옮김","두란노","20241120","12,000","10,800","600점","1770","종교/역학"
"18","종교/역학","학습.세례 문답서","173001787","9788984908543","12230","대한예수교장로회총회 지음","대한예수교장로회총회","20180928","1,500","1,500","0점","16606","종교/역학"
"19","종교/역학","예수를 기다리며","352304511","9788953149649","03230","J. D. 그리어 지음, 정성묵 옮김","두란노","20241113","10,000","9,000","500점","2470","종교/역학"
"20","종교/역학","2024 대림절 묵상집 : 주님을 기다리며","352413437","9788984309326","02230","주학선 지음, 기독교대한감리회 교육국 엮음","KMC","20241111","2,500","2,380","70점","6200","종교/역학"
"21","종교/역학","지금 이대로 좋다 (20만 부 기념 리커버 에디션)","347121963","9791187297239","03810","법륜 지음, 박정은 그림","정토출판","20191030","14,800","13,320","740점","22007","에세이"
"22","종교/역학","성찬 전 묵상","352606601","9791193996256","03230","이태복 지음","세움북스","20241125","17,000","15,300","850점","1690","종교/역학"
"23","종교/역학","5가지 사랑의 언어 (200쇄 기념 리커버 에디션)","343681055","9788904141555","03230","게리 채프먼 지음, 장동숙.황을호 옮김","생명의말씀사","20240730","14,000","12,600","700점","34111","종교/역학"
