순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","청소년","언젠가 우리가 같은 별을 바라본다면","285132160","9791191061048","43810","차인표 지음, 제딧 그림","해결책","20211215","12,000","10,800","600점","136181","청소년"
"2","청소년","너에게 들려주는 단단한 말","342334735","9791198682550","43190","김종원 지음","퍼스트펭귄","20240710","18,000","16,200","900점","99264","청소년"
"3","청소년","문학 속의 풍경들","350904589","9791198949615","03800","누리아 솔소나 지음, 리카르도 렌돈 글","로즈윙클프레스","20241119","28,000","25,200","1,400점","3270","소설/시/희곡"
"4","청소년","국어 한 권 : 중1 문학","352306614","9791165702847","44810","김미성 외 엮음","창비교육","20241115","15,000","13,500","750점","12550","청소년"
"5","청소년","시한부","332493692","9791193647646","03810","백은별 지음","바른북스","20240123","16,800","15,120","840점","42620","청소년"
"6","청소년","코스모스","870950","9788983711892","03400","칼 세이건 지음, 홍승수 옮김","사이언스북스","20061220","19,900","17,910","990점","136955","과학"
"7","청소년","만화로 보는 3분 철학 1 : 서양 고대 철학편","274349624","9791190776752","03160","김재훈.서정욱 지음","카시오페아","20210702","16,000","14,400","800점","73119","인문학"
"8","청소년","국어 한 권 : 중1 비문학","352307790","9791165702854","44810","김미성 외 엮음","창비교육","20241115","15,000","13,500","750점","10990","청소년"
"9","청소년","죽이고 싶은 아이 2","341793447","9791167552723","44810","이꽃님 지음","우리학교","20240701","14,000","12,600","700점","66421","청소년"
"10","청소년","엉뚱한 과학책","351456280","9791194033400","03470","김진우(은잡지) 지음, 이선호(엑소쌤) 감수","빅피시","20241120","18,800","16,920","940점","8210","과학"
"11","청소년","더 퍼지, AI 시대 누가 미래를 이끄는가","351183624","9791158742362","43320","한지우 지음","미디어숲","20241120","17,800","16,020","890점","14580","청소년"
"12","청소년","죽이고 싶은 아이","272118388","9791190337755","43810","이꽃님 지음","우리학교","20210607","12,500","11,250","620점","58453","청소년"
"13","청소년","만화로 보는 3분 철학 3 : 서양 현대 철학편","293984716","9791168270343","03160","김재훈.서정욱 지음","카시오페아","20220509","16,800","15,120","840점","30942","인문학"
"14","청소년","만화로 보는 3분 철학 2 : 서양 중세·근대 철학편","282099174","9791168270015","03160","김재훈.서정욱 지음","카시오페아","20211027","16,800","15,120","840점","32621","인문학"
"15","청소년","순례 주택","266745690","9788949123493","44800","유은실 지음","비룡소","20210311","15,000","13,500","750점","47729","청소년"
"16","청소년","다시 쓰는 수학의 역사","349992342","9791192988917","03410","케이트 기타가와.티모시 레벨 지음, 이충호 옮김","서해문집","20241022","22,000","19,800","1,100점","9840","과학"
"17","청소년","세계를 건너 너에게 갈게","133668671","9788954650212","03810","이꽃님 지음","문학동네","20180209","12,500","11,250","620점","61414","청소년"
"18","청소년","훌훌","288521251","9788954685030","03810","문경민 지음","문학동네","20220207","12,500","11,250","620점","23837","청소년"
"19","청소년","최초의 아이","348492375","9788949123561","44800","로이스 로리 지음, 강나은 옮김","비룡소","20240930","15,000","13,500","750점","16980","청소년"
"20","청소년","기억 전달자","337103419","9788949123554","44800","로이스 로리 지음, 장은수 옮김","비룡소","20240325","16,000","14,400","800점","56478","청소년"
"21","청소년","여름을 한 입 베어 물었더니","322940527","9788954694575","03810","이꽃님 지음","문학동네","20230818","12,500","11,250","620점","46458","청소년"
"22","청소년","중등 필독 신문","334443618","9791191378498","43370","이현옥.이현주 지음","체인지업","20240227","17,800","16,020","890점","15293","청소년"
"23","청소년","중학수학 총정리 한권으로 끝내기","351865067","9791192967189","53410","이규영.고희권 지음","쏠티북스","20241125","20,000","18,000","1,000점","3200","중학교참고서"
"24","청소년","율의 시선 (반양장)","338588321","9788936457259","43810","김민서 지음","창비","20240426","13,000","11,700","650점","30725","청소년"
"25","청소년","곰브리치 세계사","344034315","9788949187389","44900","에른스트 H. 곰브리치 지음, 클리퍼드 하퍼 그림, 박민수 옮김","비룡소","20240531","17,000","15,300","850점","4185","청소년"
"26","청소년","가난한 아이들은 어떻게 어른이 되는가","328071557","9791192836355","03300","강지나 지음","돌베개","20231106","17,500","15,750","870점","31116","사회과학"
"27","청소년","코스모스","540789","9788983711540","03440","칼 세이건 지음, 홍승수 옮김","사이언스북스","20041220","50,000","45,000","2,500점","26883","과학"
"28","청소년","중등 필독 신문 2","347654980","9791191378610","43370","이현옥.이현주 지음","체인지업","20240927","19,000","17,100","950점","6645","청소년"
"29","청소년","식탁 위의 세계사","17262917","9788936452056","43900","이영숙 지음","창비","20120529","14,000","12,600","700점","30011","청소년"
"30","청소년","열다섯에 곰이라니","307233928","9791130695723","43810","추정경 지음","다산책방","20221220","13,000","11,700","650점","29061","청소년"
"31","청소년","아몬드 (청소년판)","318933302","9791198363503","","손원평 지음","다즐링","20230714","16,800","15,120","840점","21850","청소년"
