순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","컴퓨터/모바일","박태웅의 AI 강의 2025","346891281","9791157847679","03300","박태웅 지음","한빛비즈","20240930","18,800","16,920","940점","74170","경제경영"
"2","컴퓨터/모바일","진짜 쓰는 실무 엑셀","288198356","9791191600704","13000","오빠두(전진권) 지음","제이펍","20220215","21,000","18,900","1,050점","76463","컴퓨터/모바일"
"3","컴퓨터/모바일","비전공자도 이해할 수 있는 AI 지식 (10만부 기념 개정판)","349374326","9791162543931","03000","박상길 지음, 정진호 그림","비즈니스북스","20241022","19,800","17,820","990점","10230","과학"
"4","컴퓨터/모바일","디자인 구구단","343608885","9791140714063","03000","에이핫 지음","길벗","20240805","20,000","18,000","1,000점","21034","컴퓨터/모바일"
"5","컴퓨터/모바일","회사는 엑셀을 가르쳐주지 않아요","301543912","9791129708328","13000","쏘피(박성희) 지음","메가스터디북스","20220920","18,000","16,200","900점","21364","컴퓨터/모바일"
"6","컴퓨터/모바일","소프트웨어 엔지니어 가이드북","350106414","9791169213073","93000","게르겔리 오로스 지음, 이민석 옮김","한빛미디어","20241030","37,000","33,300","1,850점","6020","컴퓨터/모바일"
"7","컴퓨터/모바일","하루 30분! 돈이 되는 네이버 블로그 with 챗GPT","350065024","9791169213004","13000","조병옥(호모앤) 지음","한빛미디어","20241028","18,000","16,200","900점","3425","컴퓨터/모바일"
"8","컴퓨터/모바일","이게 되네? 챗GPT 미친 활용법 51제","342135067","9791191905908","93000","오힘찬 지음","골든래빗(주)","20240715","24,000","21,600","1,200점","11122","컴퓨터/모바일"
"9","컴퓨터/모바일","아케인 아트북","352906502","9791167184405","13000","엘리자베스 빈센텔리.라이엇 게임즈 지음, 정호운 옮김","제우미디어","20241213","50,000","45,000","500점","2140","소설/시/희곡"
"10","컴퓨터/모바일","된다! 하루 만에 끝내는 챗GPT 활용법","343615102","9791163036234","13000","프롬프트 크리에이터 지음","이지스퍼블리싱","20240729","17,200","15,480","860점","7089","컴퓨터/모바일"
"11","컴퓨터/모바일","Do it! 점프 투 파이썬","317941024","9791163034735","13000","박응용 지음","이지스퍼블리싱","20230615","22,000","19,800","1,100점","25971","컴퓨터/모바일"
"12","컴퓨터/모바일","2022 개정 교육과정 평가, AI로 날개를 달다 : 개념기반 교육과정","344416155","9791193059364","13000","지미정 외 지음","앤써북","20240920","21,000","18,900","1,050점","9925","컴퓨터/모바일"
"13","컴퓨터/모바일","정말 쉽네? 챗GPT 입문","348125229","9791191905977","93000","오힘찬 지음","골든래빗(주)","20241015","22,000","19,800","1,100점","4325","컴퓨터/모바일"
"14","컴퓨터/모바일","인공지능이 다 해주는 브루 Vrew 영상 편집","348024816","9791198673015","13000","지현이(디지털거북이) 지음, 브루 개발팀 감수","시프트","20241010","20,000","18,000","1,000점","4390","컴퓨터/모바일"
"15","컴퓨터/모바일","혼자 공부하는 컴퓨터 구조 + 운영체제","299014282","9791162243091","94000","강민철 지음","한빛미디어","20220816","28,000","25,200","1,400점","16371","컴퓨터/모바일"
"16","컴퓨터/모바일","색 잘 쓰는 디자이너","342547393","9791163036197","03600","고바야시 레나 지음, 강아윤 감수","이지스퍼블리싱","20240805","18,000","16,200","900점","6482","컴퓨터/모바일"
"17","컴퓨터/모바일","진짜 쓰는 프리미어 프로 영상 편집","318774738","9791192987170","13000","조블리(조애리) 지음","제이펍","20230703","24,000","21,600","1,200점","13788","컴퓨터/모바일"
"18","컴퓨터/모바일","잘 읽히는 보고서 문장의 비밀","345005936","9791169212823","13320","임영균 지음","한빛미디어","20240822","18,000","16,200","900점","3275","컴퓨터/모바일"
"19","컴퓨터/모바일","그로킹 동시성","352231435","9791140711741","93000","키릴 보브로프 지음, 심효섭 옮김","길벗","20241113","33,000","29,700","1,650점","1930","컴퓨터/모바일"
