구분,ISBN13,review_content,rating
경제경영,9772635705001,리뷰없음,0.0
경제경영,9781183383148,리뷰없음,0.0
경제경영,9788901062792,단번에 읽고 문화적 자부심으로 충일했던 역작! 저자와 맞대면 하고싶다!,4.0
경제경영,9788901062792,우리 나라 사람의 행동양식도 미국인과 별 차이가 없다는 걸 알려준 책.,4.0
경제경영,9788901062792,한번쯤 읽어보라고 추천해주고 싶은 책...,5.0
경제경영,9788901062792,코드를 알면 성공한다. 우리사회의 컬처코드는 무엇일까?,5.0
경제경영,9788901062792,문화차이에 대한 이해에 상당한 도움이 된 책이다.,5.0
경제경영,9788901062792,책을 너무 급하게 만들어낸 듯. 다듬어야 할 부분이 많다.,3.0
경제경영,9788901062792,각종현상에 대한 이유를 명쾌하게 풀어쓴 책. good~!!,4.0
경제경영,9788901088464,글좀 쉽게 쓰세요 제발..깊이없는 내용을 장황하게 길게 현학적으로 만연체로 그것도 1권 2권으로..글쓰는 패러다임좀(저자가 좋아하는단어) 바꿔보시는것이 좀어떠신지..알맹이가 책두깨에 비해 너무 작습니다..다음번에는 알맹이좀 키우고 분량좀 덜어주세요..여타다른책들도 같은 의견입니다,1.0
경제경영,9788901088464,부자경제학까지 쓰시고 그만 쓰셨으면 좋았을걸 너무 현학적이고 독선적임,1.0
경제경영,9788901088464,"솔직히 재미없었다.. 주식시장이 비이성적이고 비합리적인 것은 애초에 알고 있었으며 
내가 생각한것과 별반 다를게 없었다.. 당연한 것을 길게 풀어 쓴 느낌???",2.0
경제경영,9788901088464,결국 개인은 주식투자를 하지 말란 얘기군요. 이해하면서도 하게 되니 이것 참...,3.0
경제경영,9788901088464,"조금은 원론적인 얘기가 있어서 지루한면도 있지만
그래도! 주식투자의 기본이되는책",4.0
경제경영,9788901088464,기본을 알수 있는 책이다. 주식이란 참 정도가 없는 것 같다.,4.0
경제경영,9788901088464,주식투자에 관심이 많아서 구매해서 읽었습니다. 좋습니다.,5.0
경제경영,9788901088464,명확하고 객관적인 주식시장에 대한 담론이 담겨있는 책입니다.,5.0
경제경영,9788901088464,주식 어렵지만은 않은 것 같습니다.,5.0
경제경영,9788901088464,훌륭한 선생님을 만나 경제를 새로 공부하는데 올바른 방향을 제시해주고 있다,5.0
경제경영,9788901088464,주식하면서 읽어봐야 할 책,3.0
경제경영,9788901088464,아직도 읽고있지만 한번 더 생각을 하게 하네요,4.0
경제경영,9788901088464,주식투자에 대해 막연한 환상을 주기보다는 실질적인 도움을 주는 책! 꼭 읽어보시길,4.0
경제경영,9788901088464,"정말 이 책은 제목 그대로 주식투자 잘 하는 법이 아닌 주식투자가 무엇인지, 시장이 무엇인지를 알려준다. 그 뒤, 주식투자를 할 것인가, 말 것인가는 개인의 몫으로 남긴다.",5.0
경제경영,9788901088464,시골의사 필명이 아깝지 않다.,5.0
경제경영,9788901088464,요약하자면 시장을 이기려 하지 마라. 글빨 있는 사람의 글답게 간결하고 재미있게 써져있다.,5.0
경제경영,9788901088464,"주식투자의 바이블...이 될 것 같은 느낌. 
부자경제학에 이어 괜찮은 책..",5.0
경제경영,9788901088464,"너무 유명해서 읽기 싫었는데, 읽어보니 괜찮더라.",4.0
경제경영,9788901088464,부자경제학 읽고 느낌이 좋아서 샀습니다. 박경철의 주식투자책 기대가 큽니다.,4.0
경제경영,9788901088464,남편이 주식 시작하기 전에 읽어본다고 해서 주문해준 책~,4.0
경제경영,9788901088464,시골 의사의 실전 투자서.. 부자 경제학 읽고 나서 읽으면 좋을거 같네요^^,4.0
경제경영,9788901088464,주식 투잘 하고있는 남친에게 선물했습니다.의미있는 선물이 되었으면 합니다.,3.0
경제경영,9788901088464,볼만 하네요,3.0
경제경영,9788901088464,많은 생각을 하게 하고 역시 호락호락 하지 않다는 것을 알려주나 결론은 개인의 한계,4.0
경제경영,9788901088464,좀 어렵고 만연체로 쓴 측면도 있지만 일독이 아니라 두번이상 읽어볼만한 책,4.0
