구분,ISBN13,review_content,rating
인문학,9771228026004.0,리뷰없음,0.0
인문학,9772586476005.0,머릿속 복잡한 요즘 좋은 내용을 만났습니다,5.0
인문학,9772636030003.0,리뷰없음,0.0
인문학,9788901092942.0,인문학 서적을 탐독하는 형부는 생일 선물로 주저없이 이 책을 골랐다.,4.0
인문학,9788901092942.0,권력 앞에서 인간은 왜 초라해 질까??,5.0
인문학,9788901092942.0,마키아벨리적인 로버트 그린의 책은 언제나 흥미진진하다,5.0
인문학,9788901092942.0,조직 생활에 몰라도 될 수도 있지만 안다면 더욱 활기찬 조직생활이,4.0
인문학,9788901092942.0,현대의 팽팽한 경쟁사회 속에서 내가 서야 할 자리를 안내하는 지침서이다.,5.0
인문학,9788901092942.0,"결국 물은 낮은 쪽으로 모이고
사람과 이익은 강한 힘 쪽으로 모인다",4.0
인문학,9788901092942.0,무릎을 탁 치게 하는 책. 문제는 여기 나온데로 내가 할 수 있느냐ㅋㅋ,5.0
인문학,9788901092942.0,직장인이라면 한 번쯤은 꼭 읽어봐야 할 필독서.,4.0
인문학,9788901092942.0,전쟁의 기술 못지 않게 재미있습니다. 필독!,5.0
인문학,9788901092942.0,마키아밸리는 이제 잊어라!,5.0
인문학,9788901092942.0,이런 책은 어떤 분야에서든 출세를 하려는 사람들은 꼭 읽어야 할 듯..,5.0
인문학,9788901092942.0,권력의 희생자나 패배자가 되었던 인물들의 사례를 통해 '권력의 본질'을 분석,4.0
인문학,9788901092942.0,"로버트 그린의 해박한 지식은 어디까지인가, 전쟁의 기술에서도 놀랐지만 이책에서도 놀라움을  감출수없다",3.0
인문학,9788901092942.0,나만 읽었으면 하는 책.,5.0
인문학,9788901092942.0,"진정한 권력은 비정하기도 하다.아랫사람한테 잘해라.
물은 배를 띠우기도 가라앉게도한다.착한리더 착한권력자가되길 바란다.",5.0
인문학,9788901092942.0,너무나 많은 사례로 복잡했던 책이다. 권력에 집착하는 인간. 그 인간들이 사는 사회를 다시 생각해 본 계기가 되었다,4.0
인문학,9788901092942.0,전쟁의 기술 이후에 최고의 책이다..,5.0
인문학,9788901092942.0,착하다는 것이 사실은 강한자들의 먹이라는 것... 사실이고 현실 입니다. 강추합,5.0
인문학,9788901092942.0,"권력을 원하는가, 그렇다면 이 책을 절대 경쟁자가 볼 수 없게하라.",5.0
인문학,9788901092942.0,책의 두께만큼이나 상세한 권력에 관한 모든것의 집대성,5.0
인문학,9788901092942.0,공감을 많이 하면서 읽은 책입니다~~추천합니다~,5.0
인문학,9788901092942.0,권력의 법칙 ㅋ 각오해라 너에게 내가 원하는 것이 많노라 ^^,5.0
인문학,9788901092942.0,"권력의, 권력에 의한, 권력을 위한 책! 당장 집어들라! 아니면 뒤쳐질 자신을 보던가",5.0
인문학,9788901092942.0,"이렇게 권력의 기원과 속성, 사용 범례를 .. 잘 알려주는 책이 있을까.",5.0
인문학,9788901092942.0,"2년전에 읽은 책이지만 아직도 주요 내용은 내 머릿속에서 남아있고, 실생활의 처세에 많은 도움을 주고있다.",4.0
인문학,9788901092942.0,착하게 사는게 좋다는 내 사고를 완전히 바꿔버린책! 누구에게도 권하고싶지 않은책!,5.0
인문학,9788901092942.0,"트럼프의 책이나 협상 분야 또는, 동양 고전을 읽은 분에게는 추천 못하겠어요..어디에서 읽었던 것 같은 기시감이 너무 커요.(다른 책이 다뤄서 진부해진 얘기들..그러나 자기 언어로 풀어낸 것은 인정..)그렇다고 책이 익숙하지 않은 사람이 읽자니 분량이 많고.쫌.. 많이 애매한 책이에요.",1.0
인문학,9788901092942.0,"명확한 주제, 삼단논법의 결론, 좌우의 주석같은 예시. 주제를 뒷받쳐주는 수많은 인용들을 보고나면 마치 여러권의 책을 읽은 것 같다.",5.0
인문학,9788901092942.0,"반값 할인해서 권력의 법칙이랑 2권 샀는데, 통렬한 서체가 독자로 하여금 자극을 받게 해주네요. 지인에게 소개해 주고 싶지 않은 책 중에 하나입니다.",4.0
인문학,9788901092942.0,우연한기회에 접하게 되어 읽게 되었는데 친한분이 선거에 나가셔서 선물을 해드렸다.,4.0
인문학,9788901152257.0,이 세상이 유혹자로 가득 차기를! 사춘기 소년소녀부터 백세 노인까지 다 읽고 실험해야 할 책이다. 유혹의 대상을 찾아 유혹하고 유혹당하는 끝없는 쾌락을 누릴지어다. 이 책을 청소년 권장도서로 추천하는 사회는 자유로운 사회이다.,5.0
인문학,9788901152257.0,정말 흥미진진하게 읽은 책입니다~~한번은 꼭 읽을만 한 거 같아요~~,5.0
인문학,9788901152257.0,"방대한 자료를 찾아 헤맨 저자의 노고가 드러나는 책입니다. 다만 여기 저기서 끌어온 내용으로만 이야기를 끌고 나간다는 느낌이 많고, 표현만 바꾸어 같은 내용을 반복하고 있는 부분도 조금 있습니다. 그래도 나름 최대한으로 세세한 체계를 세워 유혹자의 특징과 사례를 든 것은 훌륭하다고 봅니다",4.0
인문학,9788901152257.0,"그래, 사실 중요한건 유혹이 아니었나 싶다. 결국은 사람이 중요한거고 사람은 유혹으로 얻어진다. 유혹의 정석이라 불릴만한 책이다",4.0
인문학,9788901152257.0,유혹하는 사람의 유형에 대해 나누고 설명해놓았는데 주위에서도 찾을수 있어 흥미롭고 재미났음,4.0
인문학,9788901152257.0,이 책의 포인트는 정확한 예시이다. 아무리 이론이 어려워도 적절한 예시로 이해하기 쉽게 설명하는 로버트 그린이 능력이 대단하다,5.0
인문학,9788901152257.0,내용이 심도있네요. ㅊㅊ,4.0
인문학,9788901152257.0,로버트그린은 책을 왜이리 두껍게 쓰는지 모르겟네요..책이 두꺼우면 책값이 비싸져서 그러는가? 심심풀이로 읽는책,1.0
인문학,9788901152257.0,seduction 세계로의 흥미진진한 여행. 다른저작들처럼 만족스럽게 읽을 수 있다.,5.0
인문학,9788901152257.0,유혹이라는 게임의 공격과 방어의 기술,5.0
인문학,9788901152257.0,"책은 그냥 목차만 읽어도 될 듯 해요....로버트 그린은 1페이지를 10페이지로 글 쓰는 법을책으로 내어야 할 것 같아요..사례, 가십, 이야기가 매우 많아요. 이런거 좋아하는 분은 재미있을 듯 해요.",1.0
인문학,9788901218151.0,난 유시민을 좋아하지 않았다. 그러나 그의 글은 좋아한다. 유시민은 역시 글쟁이다. 정말 한국인의 지식인이다. 이분의 글을 점점 읽고 싶다. 자꾸만 읽게 만드는 마력을 가진 분이다. 감사합니다^^,5.0
인문학,9788901218151.0,"기대했던것보다 더 좋았던것같아요유시민 작가님이 얘기해주는듯한 느낌의 문체가읽어내려가기 정말 매끄러웠고그 안에 생각해볼만한 것들도 적절히 제시된것 같아요한번 읽었던 책이라도 나의 상황과 어느때에 접하게됐는지에 따라 또다른 감흥을 받게 된다는 것을 ,,",5.0
인문학,9788901218151.0,내가 좋아하는 유시민 작가님~~!!! 청춘의 독서가 리커버 에디션이 나왔길래 당장 구매했습니다!!이 책을 보면 똑똑해지는 것 같고 세상을 더 넓게 볼 수 있는 시야를 가질 수 있는 것 같아요추천합니다 ^^,5.0
인문학,9788901218151.0,요즘 책읽는재미에 빠져서 ㅎㅎ알쓸신잡보면서 아 저건 무조건 읽어야하는책이라 생각되어 구매했습니다.,5.0
인문학,9788901218151.0,어려운 말을 쉽게 이해시키는 문장과 입담이 좋아 구입하였는데 역시 다양한 분야의 책을 소개시켜줘 기대 이상입니다. 다만 아쉬운 것은 인용문의 글이 작고 색깔이 연하여 노안이 진행된 저에게는 좀 피로감이 더해지네요.,5.0
인문학,9788901218151.0,이 자체로 좋은 책이다. 또한 좋은 책을 소개하는 좋은 독서 안내서다. 유시민 작가의 글은 읽기 쉽고 딱딱 떨어진다.,5.0
인문학,9788901218151.0,역시 유시민 작가! 라는 생각이 듦. 무거울수 있는 책들의 내용을 너무나 쉽게 글을 풀어 써주셨음. 작가의 의견을 참고하고 다시 책을 읽고 싶게 만드는 좋은 책이었네요.,5.0
인문학,9788901241739.0,1~5권을 모두 소장하고 있고 별 5개를 받을만한 책이라고 생각함. 특별 합본판이 나왔다고 해서 추가로 구매했는데 일대일로 비교하고 실망해버림. 풍부했던 도판자료와 해설이 반 이상 빠지거나 변경됨.. 이 시리즈의 가장 큰 장점이었는데 특별판은 그 중점은 없애고 텍스트 위주로만 살렸음.,2.0
인문학,9788901241739.0,"가장 편안하게, 쉽게, 잘 읽히는 그리스 신화가 아닌가 싶습니다. 총 5권의 방대한 분량을 그대로 담으면서도 보관이 편해진 장정도 맘에 드네요.",5.0
