구분,ISBN13,review_content,rating
자기계발,9788901074603,사랑의 느낌과 심리적인 많은 부분들에 대해서 완전하게 풀어낸 듯 합니다..,5.0
자기계발,9788901074603,"그와 나는 정말 다른 사람이니, 가끔 외로움을 느끼는 것은 당연하고 이렇게 다른 나를 이해하고 사랑해주니 항상 감사해야 한다. 우선 내 자아가 확실해야, 그에게 집착하지 않고 적절한 거리에서 관계를 지속할 수 있다. 예전에 이 사실을 알았다면...덜 힘들었으려나.",3.0
자기계발,9788901074603,김혜남씨의 책들은 다 좋은 거 같아요. 내용도 참 좋습니다,5.0
자기계발,9788901074603,"너무좋아요!
너무가슴에와닿고내가경험해보지못한것들을읽으면서 너무감동입니다",5.0
자기계발,9788901074603,사랑에 대한 명쾌한 정답은 없는 것 같다. 그렇지만 다른 이의 조언이 더 나은 삶의 계기가 되기를.,4.0
자기계발,9788901074603,"연애감정에대한 바이블이다. 예리한 지적으로 내게 실망을 주지만, 결국 용기도 준다.",5.0
자기계발,9788901074603,정말 내 사랑에 대해서 다시 한번 생각하게 만든 책이었다.,5.0
자기계발,9788901074603,많은 위로를 받은 책입니다  추천 합니다~,5.0
자기계발,9788901074603,"비슷한 스타일의 책이 많은 듯 해서 아쉬웠지만, 전문적인 작가의 글이라 만족.",4.0
자기계발,9788901074603,'포근하고 따뜻한 들려옴'이 있어 편안하게 읽었습니다.,5.0
자기계발,9788901074603,누군가에게서 나를 찾으려 하는 내모습 그안에 담긴 나자신의 내면속을 다시한번 돌아볼수 있었던 책,5.0
자기계발,9788901074603,"곁에 두고 사랑의 혼란이 찾아올 때, 다시 펴보면 좋을 듯.",5.0
자기계발,9788901074603,"나르시시스트에대한 정의 소름돋았습니다.
나를 돌아보게한 계기가된 책",4.0
자기계발,9788901074603,나는 왜 이런패턴을 가진 사람이 되었는가를 되돌아보게 하는 책이었습니다.,4.0
자기계발,9788901074603,"전에부터 한번 봐야지하고 맘먹었던책이 
할인을 우와~~`",5.0
자기계발,9788901074603,오랫동안 사랑을 못하고 있는 제게 친구와 같은 책이었습니다.,4.0
자기계발,9788901074603,사랑 등의 인간의 심리 즉 감성적 측면을 인간의 이성으로 풀어낸 책이다. 흥미롭다,4.0
자기계발,9788901074603,별 다섯개가 아깝지 않은 책. 사랑을 하다 지치고 힘들고 아파하고 있다면 강추!!,5.0
자기계발,9788901074603,사랑으로 고민하는 자를 위한 심리학의 친절한 조언.,4.0
자기계발,9788901074603,표지가 눈에 띠어서 구매한 책... 제목또한... 읽어보니 나름... 재미있습니다.,4.0
자기계발,9788901074603,"앞으로 만날 이성에 대한 울아이의 미래 사랑지침서!!!
조목조목 상세히 설명이 있어 좋습니다.사랑... 쉬울것 같지만 젤 어렵지요.....",5.0
자기계발,9788901074603,다시 너를 사랑하게 될 나를 위해... 조그만 힘을 내서 너를 찾아보기로 했다. ^^,3.0
자기계발,9788901074603,사랑에 서툰 이들에게 이만한 책이 또 있을까.,5.0
자기계발,9788901074603,읽고 있는 내내 공감되는 글이었습니다.,4.0
자기계발,9788901074603,지금 당신은 사랑하고 계십니까? 그럼 이 책을 추천드립니다.,4.0
자기계발,9788901074603,잔잔한 사랑관련책.,3.0
자기계발,9788901074603,읽으면 공감과 또한 의문이 함께 하는 책이였네요~그 누가 사랑을 무엇이라 딱 정의 하기에는 참 어렵군요~~,4.0
자기계발,9788901074603,"사랑에 실패해본 사람이라면, 읽고 후회할 수도 있겠다. 진작 읽었더라면..",5.0
자기계발,9788901074603,책의 목록부터가 정말 좋아요ㅠㅠ 내용도 짱! 정말 추천합니다~~,5.0
자기계발,9788901074603,아 책이 너무 너무 이뻐요 ㅠㅠ 좋아요!!,4.0
자기계발,9788901074603,"그동안 복잡하고 정의내리기 힘들었던
내생각을 한번에 정리해준 책",4.0
자기계발,9788901074603,흠... 확실히 혼란스런 30대 초반들이 읽으면 위로가 되는 책인듯 합니다.,4.0
자기계발,9788901074603,"심리학자가 직업인 작가가 쓴책이다 보니,, 좀 딱딱하긴하지만 내용이 좋아요^^",3.0
자기계발,9788901074603,방금받았어요~^^항상 마음 한구석에 있던말이라..왠지끌려 구입했습니다.,4.0
자기계발,9788901074603,"우중충한 마음으로
기분 풀겸 읽어 봤는데 
정말 화창해지는 느낌을 받았습니다",5.0
자기계발,9788901074603,"어떻게 해야  사랑하면서  행복할 수 있는지 감이 잡히지 않는다면, 이책을 권합니",5.0
자기계발,9788901074603,사랑하는 사람이라면 꼭 한번 읽어봐야할 책... 추천합니다,5.0
자기계발,9788901092942,인문학 서적을 탐독하는 형부는 생일 선물로 주저없이 이 책을 골랐다.,4.0
자기계발,9788901092942,권력 앞에서 인간은 왜 초라해 질까??,5.0
자기계발,9788901092942,마키아벨리적인 로버트 그린의 책은 언제나 흥미진진하다,5.0
자기계발,9788901092942,조직 생활에 몰라도 될 수도 있지만 안다면 더욱 활기찬 조직생활이,4.0
자기계발,9788901092942,현대의 팽팽한 경쟁사회 속에서 내가 서야 할 자리를 안내하는 지침서이다.,5.0
자기계발,9788901092942,"결국 물은 낮은 쪽으로 모이고
사람과 이익은 강한 힘 쪽으로 모인다",4.0
자기계발,9788901092942,무릎을 탁 치게 하는 책. 문제는 여기 나온데로 내가 할 수 있느냐ㅋㅋ,5.0
자기계발,9788901092942,직장인이라면 한 번쯤은 꼭 읽어봐야 할 필독서.,4.0
자기계발,9788901092942,전쟁의 기술 못지 않게 재미있습니다. 필독!,5.0
자기계발,9788901092942,마키아밸리는 이제 잊어라!,5.0
자기계발,9788901092942,이런 책은 어떤 분야에서든 출세를 하려는 사람들은 꼭 읽어야 할 듯..,5.0
자기계발,9788901092942,권력의 희생자나 패배자가 되었던 인물들의 사례를 통해 '권력의 본질'을 분석,4.0
자기계발,9788901092942,"로버트 그린의 해박한 지식은 어디까지인가, 전쟁의 기술에서도 놀랐지만 이책에서도 놀라움을  감출수없다",3.0
자기계발,9788901092942,나만 읽었으면 하는 책.,5.0
자기계발,9788901092942,"진정한 권력은 비정하기도 하다.아랫사람한테 잘해라.
물은 배를 띠우기도 가라앉게도한다.착한리더 착한권력자가되길 바란다.",5.0
자기계발,9788901092942,너무나 많은 사례로 복잡했던 책이다. 권력에 집착하는 인간. 그 인간들이 사는 사회를 다시 생각해 본 계기가 되었다,4.0
자기계발,9788901092942,전쟁의 기술 이후에 최고의 책이다..,5.0
자기계발,9788901092942,착하다는 것이 사실은 강한자들의 먹이라는 것... 사실이고 현실 입니다. 강추합,5.0
자기계발,9788901092942,"권력을 원하는가, 그렇다면 이 책을 절대 경쟁자가 볼 수 없게하라.",5.0
자기계발,9788901092942,책의 두께만큼이나 상세한 권력에 관한 모든것의 집대성,5.0
자기계발,9788901092942,공감을 많이 하면서 읽은 책입니다~~추천합니다~,5.0
자기계발,9788901092942,권력의 법칙 ㅋ 각오해라 너에게 내가 원하는 것이 많노라 ^^,5.0
자기계발,9788901092942,"권력의, 권력에 의한, 권력을 위한 책! 당장 집어들라! 아니면 뒤쳐질 자신을 보던가",5.0
자기계발,9788901092942,"이렇게 권력의 기원과 속성, 사용 범례를 .. 잘 알려주는 책이 있을까.",5.0
자기계발,9788901092942,"2년전에 읽은 책이지만 아직도 주요 내용은 내 머릿속에서 남아있고, 실생활의 처세에 많은 도움을 주고있다.",4.0
자기계발,9788901092942,착하게 사는게 좋다는 내 사고를 완전히 바꿔버린책! 누구에게도 권하고싶지 않은책!,5.0
자기계발,9788901092942,"트럼프의 책이나 협상 분야 또는, 동양 고전을 읽은 분에게는 추천 못하겠어요..어디에서 읽었던 것 같은 기시감이 너무 커요.(다른 책이 다뤄서 진부해진 얘기들..그러나 자기 언어로 풀어낸 것은 인정..)그렇다고 책이 익숙하지 않은 사람이 읽자니 분량이 많고.쫌.. 많이 애매한 책이에요.",1.0
자기계발,9788901092942,"명확한 주제, 삼단논법의 결론, 좌우의 주석같은 예시. 주제를 뒷받쳐주는 수많은 인용들을 보고나면 마치 여러권의 책을 읽은 것 같다.",5.0
