구분,ISBN13,review_content,rating
장르소설,9788901060019.0,공포와 환상이 멋지게 어우러진 일본 공포소설의 걸작... 간결한 문체로 이만큼의 묘한 분위기를 만들어 내기도 힘들듯...,5.0
장르소설,9788901060019.0,"에니메이션으로 나오면 정말 반응이 뜨거울 것 같습니다..
재미 있네요..",5.0
장르소설,9788901060019.0,여름이 되면 항상 펼쳐보는 책. 현실과 초현실의 경계에서 아이와 어른의 경계를 만나게 된다.,5.0
장르소설,9788901060019.0,"이야기가 만들어낸 세계에 빨려들어갈 뻔했다. 색다른 경험이었다. 글체도 단순하고 간단한데 오감이 자극되는 느낌이 있었다. 읽을 때는 잘 몰라도, 읽고난 후 곱씹어볼수록 무서운 소설이 '야시'와도 같을 것이다.",5.0
장르소설,9788901060019.0,"꿈속을 걷는듯 깊이 빠져들게 하며 어린시절의 묘한 향수까지 불러일으키는 소설. 
야시. 그곳은 누구나 내면에 간직한 유년의 상상의 공간 아닐까.",5.0
장르소설,9788901060019.0,몽환적이며 기묘한 이야기....동화같은 느낌도 있다고 할까...,5.0
장르소설,9788901060019.0,"공포라고 해야 할지, 신비 소설이라고 해야 할지... 약간 애매모호하긴 합니다만, 확실히 독특한 분위기가 있는 일본 소설입니다. 약간 고전적인 느낌도 들면서, 좋아요.",5.0
장르소설,9788901060019.0,몽환적인 분위기와 기묘한 느낌이 잘 어울어진 밤의 시장,5.0
장르소설,9788901060019.0,잔잔한 문체로 휘황찬란한 이미지를 선사해 주었다.,5.0
장르소설,9788901060019.0,재미있어요. 슬프기도 하고 무섭다기보다는 기이하다는 느낌을 받았습니다. 그리고 문장이 간결해서 잘 읽혔고 소설 속 배경을 상상하며 읽는 재미가 있었습니다!,5.0
장르소설,9788901060019.0,경상도 지방에선 지금도 귀신을 야시라고 합니다.,5.0
장르소설,9788901060019.0,인상적이다 만........,3.0
장르소설,9788901060019.0,조금은 밋밋했던 작품이었다고나 할까?,2.0
장르소설,9788901060019.0,"""백귀야행""을 읽어본 독자라면 이 책을 들고 손을 놓지 못할 것이다...",5.0
장르소설,9788901060019.0,독특한 내용이라 마음에 들었어요.,5.0
장르소설,9788901060019.0,일단 사봤어요 읽진 않아서 모르겠음,3.0
장르소설,9788901060019.0,"이게 왜 호러로 분류되는지 모르겠지만, 굉장히 재미있음. 갠적으로 두번째 것 강추",5.0
장르소설,9788901060019.0,술술 잘 읽히는 책. 묘한 분위기를 풍기고 반전도 있지만 특정 키워드를 본 순간 어떤 반전일지 딱 보인다. 작가가 의도했을 것 같지만 조금은 아쉬웠다. 무난한 책.,3.0
장르소설,9788901060019.0,읽으면서 허무하단 생각도 들었지만 작가의 상상력엔 감탄했어요,3.0
장르소설,9788901060019.0,공포물과 판타지의 결합?같네요 하도 유명해서 뒤늦게 사서 봤는데 몽환적인 느낌이 강했어요 제 스타일은 아닌데 신선하긴 했습니다,4.0
장르소설,9788901060019.0,최고다른말이 필요없다.반드시 소장할것,5.0
장르소설,9788901060019.0,무섭고도 아름다우며 신비하고 슬픈 이야기...,4.0
장르소설,9788901060019.0,"처음 책장 넘기면서 앉은 자리에서 그냥 훌러덩 다 읽어버린..
최고다~!라 말",5.0
장르소설,9788901060019.0,호러라고 보기에는 어려운듯... 플롯은 별로였으나 담담한 문체에서 풍기는 독특한 분위기가 모든걸 상쇄,4.0
장르소설,9788901060019.0,내용구성도 탄탄하고 쓰네카와고타로의 매력을 듬뿍 느낄 수 있었던 책,5.0
장르소설,9788901060019.0,흥미진진했던전개 상상의세계로,4.0
장르소설,9788901060019.0,여운이 많이 남는 책입니다. 마음속 한없이 투명한 청량감을 남기는 소설 이었습니다. 표지가 책을 전혀 표현못해서 아쉽습니다.,5.0
