구분,ISBN13,review_content,rating
종교/역학,9788903361336.0,리뷰없음,0.0
종교/역학,9788903361718.0,리뷰없음,0.0
종교/역학,9788903361725.0,리뷰없음,0.0
종교/역학,9788904020874.0,리뷰없음,0.0
종교/역학,9788904030880.0,책제목의 ｀강요｀는 ｀强要(강제로 요구함)｀가 아니라 ｀綱要(중요한 부분을 요점잡아 말함)｀이다 칼빈의 기독교강요 줄거리가 아니라 꼭 알아야할 부분을 집어서 만화로 그려낸 것인데 만화에서 은혜받기는 처음.. 저자가 정말 기독교강요를 충분히 읽고 요약해낸 느낌이 든다. 아이 어른 모두에게 강추~,5.0
종교/역학,9788904030880.0,어려운 칼빈의 기독교강요를 좀더 이해하기 쉽게 풀어준거 같습니다.,5.0
종교/역학,9788904030880.0,"모두들 좋아하는 만화로 기독교강요를 볼수 있어
남녀노소모두에게 강추입니다!!",5.0
종교/역학,9788904030880.0,이번 제자반 교재로 선정됐어요!,5.0
종교/역학,9788904030897.0,쉽고 이해하기 편합니다.,5.0
종교/역학,9788904030897.0,방학맞은 주일학교 아이들에게 만화를 통해 기독교강요를 보게하시니 이참에 어른들도,5.0
종교/역학,9788904090556.0,리뷰없음,0.0
종교/역학,9788904132232.0,리뷰없음,0.0
종교/역학,9788904132300.0,리뷰없음,0.0
종교/역학,9788904141456.0,리뷰없음,0.0
종교/역학,9788904141555.0,"이 책을 읽고 남편과의 충돌이 사라졌습니다. 
저희 부부가 사랑의 언어가 다름을 알게 되어, 서로의 사랑의 언어로 노력하고 배려하게 되었답니다. 
신혼부부~노부부, 연인까지 모두에게 필요한 책으로 강추합니다.",5.0
종교/역학,9788904141555.0,"결혼생활 지침서. 서로에게 내어주기 위해서는 서로가 무엇을 원하는지를 알아야 한다는데서 출발한다. 인정하기,봉사, 스킨십,함께하는 시간, 선물. 어느 신부님의 강의 때 추천해서 읽은 책인데, 나도 누군가에게 추천해주고 싶다. 강추",5.0
종교/역학,9788904141555.0,"2017-04-165가지 사랑의 언어가 있다는 것, 사람마다 주로 사용하는 사랑의 언어가 다르다는 것, 상대방의 사랑의 언어에 따라 표현해야 상대가 사랑한다는 기분을 느낄수 있다는 것.",2.0
종교/역학,9788904141555.0,읽으면서 아내 뿐만 아니라 가족에게도 사랑의 언어가 있다는 사실을 다시금 깨달으며.. 좀 더 가족의 관심에 귀를 기울이게 되는 좋은 계기가 되었습니다.,4.0
종교/역학,9788904141555.0,수녀님이 추천해 주셔서 구입하게 되었어요읽으면서...마음이 편안해 짐을 느끼네요좋은책입니다...추 천해요 ^^,5.0
종교/역학,9788904141555.0,"나에 대해서, 상대에 대해서, 마음을 주고받는 법과 사랑에 대해서. 서로에게 한 걸음 더 다가갈 수 있도록 이끌어 주는 팁. 연인이나 부부뿐 아니라 가까운 인간관계도 비춰 볼 수 있었다.",5.0
종교/역학,9788904141555.0,"서로간의 언어를 이해하면, 더 많은 소통이 가능해진다는 것이 이 책의 주장하는 바. 정말 그럴까? 궁금하다면 속는셈 치고 한번 읽어 보시라!",5.0
종교/역학,9788904141555.0,많은 생각을 가지고 느낄 수 있어서 참 좋았습니다.,5.0
종교/역학,9788904141555.0,좋아요.,5.0
종교/역학,9788904141555.0,"70의 황혼에 힘들어 하시는 부모님께 전하고 싶은 내용이다.
20세에 결혼하셔서
다정다감하게 사신것은 아니지만...
자녀를 양육해야하는 큰 책임과 의무로 
부부간에 의사소통하는 방법등 많은 부분이 
어려움을 ..",4.0
종교/역학,9788904141555.0,사랑도 알아야 면상한다.. 이해하게 된다면 관계개선에 도움이 되는 사랑 필독서,5.0
종교/역학,9788904141555.0,독서토론 모임에서 선정 된 사랑의 다섯가지 언어.중고서적에서 책을 두권 구입했다. 아들과 같이 읽고 있는 것에 마음이 쏠렸다. 같이 읽는 것의 중요함의 혜택을 보게 되는 순간이였다. 좋은 책을 읽기로 끝낸다면 독서의 의미는 소중하게 여겨지지 않을 것이다. 실천을 하고 있는 나를 칭찬 한다.,5.0
종교/역학,9788904141555.0,"이 세상의 모든 부부들이여.
이책을 꼭 한번씩 읽으시길...가정이 화목해집니다^^",5.0
종교/역학,9788904141555.0,잘 받았습니다 받으신 분이 너무 좋아하네요,4.0
종교/역학,9788904141555.0,"결혼한지 이제 3개월차인데, 지금처럼 나중에도 더 사랑하며 믿음의 가정을 이루기 위해 샀어요^^결혼전에 이 책을 샀다가 다른 분에게 선물을 드리고, 결혼 후 다시 재구매했네요^^*",5.0
종교/역학,9788904141555.0,"이 책을 읽고, 상대방을 제대로 이해하고, 서로 대화하는 부분에 있어 많은 것을 배울수있었다.",5.0
종교/역학,9788904141555.0,좋은책을 추천받아서 단숨에 읽었네요..^^,5.0
종교/역학,9788904141555.0,몇 년전까지 소장하고 있었는데 선물로 주어 없어서 다시 샀네요.살면서 옆에 있는 사람이 제일 소중한데 어떤 사람인지 가끔 잊고 나에게맞추길 바라곤 하죠.  그럴때 한나절이면 읽혀지지만 여운은 오래남는 5가지 사랑의 언어를읽습니다.  잊고 살다 늦은 공부를 하며 또 추천 받은 책!!다른 분들에게도 추천드리고 싶네요.,2.0
종교/역학,9788904156955.0,날마다 시간마다 감사 모든 상황에 감사 큰감사 작은 감사,5.0
종교/역학,9788904156955.0,감사의 소중함을 느끼게 해주는 도서 ^^,5.0
종교/역학,9788904156955.0,너무 좋습니다. 몇번을 읽어도 감동은 또 다시 오네요.,5.0
종교/역학,9788904156955.0,어떻게 평생감사를 할수 있을까? 우리는 주님으로인해감사할수밖에없음을!,5.0
종교/역학,9788904156955.0,전도사님께서 읽고 많은 은혜받으셨다기에 맘이 끌려서 읽게 되었어요. 하나님의 역사,5.0
종교/역학,9788904156955.0,"작은 것에 감사할 줄 아는 사람이
참된 행복을 느끼게 된다는 것을 깨우쳐 준 책",5.0
