구분,ISBN13,review_content,rating
청소년,9772466017007.0,리뷰없음,0.0
청소년,9772466017007.0,리뷰없음,0.0
청소년,9788901051802.0,이것은 증언이다. 아프리카에서 시작된 이 증언에 인류는 통곡할지어다.,5.0
청소년,9788901051802.0,"아프리카의 과거와 현재에 대한 비교적 객관적 진술
고통받는자들의 연대가 필요하",5.0
청소년,9788901051802.0,모두 아프리카를 사랑해 주었으면 한다....,4.0
청소년,9788901051802.0,세계사의 공백. 더 많이 쓰이고 읽혀야 할 우리 모두에 관한 이야기.,4.0
청소년,9788901051802.0,아들 세계사 공부 시키려고 구입 했어요. ^^,5.0
청소년,9788901051802.0,식민지배 역사가 너무나 친숙해서 조금만 들여다보면 지리적 거리에도 불구하고 일본이나 미국보다 콩고민주공화국이 우리에게 더 가깝게 느껴질 것.,5.0
청소년,9788901051802.0,"제목만 보고 했던 당초의 기대에 비하면 다소 컨텐츠가 부족했습니다. 객관적인 역사에 대한 서술 보다는, 정서적인 설득과 강요가 대부분이었고, 역사에 대한 서술에 있어서도 깊이감이 다소 부족하였습니다.",1.0
청소년,9788901051802.0,세계화된 경제체제 내에서 살아간다는 것만으로도 그들에게 부채감을 느낀다.,4.0
청소년,9788901051802.0,책 자체는 개략적인 통사에 가까워 디테일은 많이 부족한 편. 책 한권에 대륙 하나의 역사를 담으려니 어쩔 수 없었을 거라 생각한다. 중요하다 생각하는 부분에 좀 더 힘을 줘도 좋지 않았을까 하는 아쉬움 정도. 옆에서 선생님이 얘기해주는 듯 조근조근한 문투도 좋다.,4.0
청소년,9788901051802.0,편견을 걷어내고  시야를 넓힌다는 말의 의미는  이런 책을 읽고 의미를  생각해본다는 것일 것,5.0
청소년,9788901051802.0,"아프리카는 미지의 땅이 아니라, 누구든지 관심을 가져야 하는 필수의 지역입니다. 이북이 늘어나는 지금, 이북으로는 도저히 흉내낼 수 없는 놀라운 책입니다.아프리카의 역사와 그림이 잘 조화되어 편집되었습니다",5.0
청소년,9788901051802.0,"검은 대륙에 대한 이해를 원한다면 필수. 유럽을 위한 아픈 착취와 식민의 역사,그 후유증으로인한 내전의 아프리카,기아의 아프리카를 아프리카인의 입장에서 이해하자는 책. 맞는 말이다. 역지사지를 배울수있으리",5.0
청소년,9788901051802.0,"소수 경제적 이익을 위해 수백만 명의 가난한 사람들을 착취 무시하는 일에 대해, 북반구 정치가 대부분, 아프리카사람들 자신 책임이라고까지 않더라도, 어쩔 수 없는 일이라고 말한다. 어디서 많이 들어본 말 ㅠㅠ",5.0
청소년,9788901051802.0,"아프리카의 역사에 관하여 제대로 공부 해 본적없는 나에겐 정말 필 독서 였다.  많은걸 짧은시간에
알 수 있었다",5.0
청소년,9788901051802.0,아프리카 역사에 약간이나마 알수 있었다. 대략이지만 많은 도움을 얻은 것 같다.,5.0
청소년,9788901051802.0,"아프리카를 연상하면 가난,질병,검은 피부,노예 등 부정적인 용어를 떠올리지만, 인류의 발상지이자 모든 것이 최초로 시작된 곳이다.다양하고 위대한 문명이 만개했으나 오랫동안 유럽의 지배를 받으며 질곡의 세월을 보냈다. 왜곡된 시각을 걷어내면 고유의 역사와 문화가 흐르는 유서깊은 대륙이다.",5.0
청소년,9788901051802.0,"자로 죽죽 그어진 아프리카 지도를 보면 세상 어디에도 없는 비극 코메디를 보는 것 같다. 그 땅은 왜 그토록 처절해야 하는지 궁금해 했고 울분을 터트렸던 사람이라면, 세상에 관심이 많은 사람이라면 보고 싶은 책이다.",5.0
청소년,9788901051802.0,"기존의 아프리카 관련 책과는 참 다르다는 인상을 받습니다. 그런데, 참 깨닫는게 많게 되는 책입니다.",5.0
청소년,9788901051802.0,"오늘날 서구사회는 아프리카에 대한 원조에 관심이 많다. 그러나 이때 '원조'란 표현은 아주 많이 잘못된 것임을, 이 책을 읽고나서 느꼈다. '보상'이나 '빚을 갚는다' 라고 해야 할 것이다. 그 또한 충분치는 않다.",4.0
청소년,9788901051802.0,"학교에서 배우지도 못했고 사실 관심도 없었던 아프리카의 역사. 워낙 여러 나라의 이야기를 하다보니 약간 산만하기는 하지만 사건, 사실 외에도 관련된 인물들의 배경과 갈등관계도 설명하고 있어서 제법 재밌다.",4.0
청소년,9788901051802.0,"좋은 내용. 하지만 정말 어색하고 문맥에 맞지 않는 번역.번역 탓에 가독성이 너무 떨어지고,중간중간 맞지 않는 따옴표 와 같은 부호들이 잘못 들어간 것들도 너무 많다.",2.0
청소년,9788901051802.0,정말 흥미로우면서도 어딘가 아려오는 아프리카의 역사,5.0
청소년,9788901051802.0,"아프리카의 역사는 생각보다 복잡하고, 차곡차곡 하다.인류는 왜 문명을 이렇게 발전시켜왔는가에 대해안되는 머리로 열심히 생각하는 중이다.계속",3.0
청소년,9788901051802.0,온라인 서점에서 아프리카를 검색해보면.... 정말로 없다.  재미있던 없던 읽어 주어야만 더 좋은 책들이 계속 나올 수 있을 것이다.  뭐 이 책이 못하다는 얘긴 전혀 아니다.  아니 소중하다!!!,5.0
청소년,9788901051802.0,절망과 희망의 아프리카,4.0
청소년,9788901051802.0,아프리카에 관해서 전혀 모르다시피 했는데 이 책을 통해서 아프리카를 조금이나마 알게 되었습니다.,5.0
청소년,9788901051802.0,아프리카의 눈물.,5.0
청소년,9788901051802.0,처음읽는 아프리카 역사라지만 그냥 대충은 알고있는 역사를 적었네...딱 수박 겉햝기 정도...아프리카 역사에 대해 좀 더 알고싶고만...,2.0
청소년,9788901051802.0,아프리카는 동물의세계이기전에 아프리카인의 대륙인데 아는바가 없어 알고싶어 읽음,5.0
청소년,9788901051802.0,인류의 기원이 아프리카 대륙에서 시작됐다는 가설과 여러 부족들 간의 전쟁 역사와 유럽의 아프리카 식민지배 역사까지. 아프리카 관련 전공책보다 쉬운 개론서 정도로 보면 될 것 같습니다. 관련 지식 전무하신 분들한테 추천.,5.0
청소년,9788901051802.0,나같이 아프리카에 무지한 사람에게 강추. 아프리카 앞날을 응원한다.,5.0
청소년,9788901051802.0,재미있다. 사진 자료가 많으면 좋을텐데 전부 그림으로 그려져있어서 아쉬웠다.,5.0
청소년,9788901051802.0,시중에서 찾기 어려운 아프리카의 역사를 다뤘다는 점에서 읽을만하지만아프리카의 전체를 이야기하다보니 전체적인 깊이가 얕다는 것은 단점,4.0
청소년,9788901051802.0,생소한 내용이 가득하여 금방 재밌게 읽었다,4.0
청소년,9788901068381.0,용에 대한 판타지를 완벽하게 채워주는 역사판타지 소설.,5.0
청소년,9788901068381.0,"많이 기대한 것과는 달리 그다지 재미있지는.....
역시 소문난 잔치에 먹을게 없다.",2.0
청소년,9788901068381.0,용을 주제로한 최고의 역사 판타지 소설~!!,5.0
청소년,9788901068381.0,귀여운... 너무나 귀여운 용의 등장. 왜 이 글이 인기있는지 알겠다.,4.0
청소년,9788901068381.0,군대에서 선임이 추천해줘서 읽은 책인데 정말 재미있습니다 드래곤스토리물입니다,5.0
청소년,9788901068381.0,이거 완결 나왔다는!,5.0
청소년,9788901068381.0,거대한 용이 정말 귀엽게 나옵니다. 전쟁 부분에 대한 묘사도 좋은 것 같고요 ㅎㅎ,5.0
청소년,9788901068381.0,테메레르 커여워,5.0
청소년,9788901068381.0,내가 본 판타지중에 가장 흥미진진하고 재밌다.,5.0
청소년,9788901068381.0,용이 참 재밌네,4.0
청소년,9788901068381.0,권수가 늘어날수록 질질 끄는 느낌은 있지만 철저한 역사적 고증아래 자신만의 상상을 녹여낸 작가는 나오미 노빅이 최고라고 생각합니다 _ .... 드래곤스토리를 좋아하는 제취향은 더불어 추천이유..( ..),4.0
청소년,9788901068381.0,나폴레옹과 관련한 전쟁사를 용을 통해 그려낸 대 서사시로 생각되어 책을 추천합니다.,4.0
청소년,9788901068381.0,읽는순간 너무나 빠져들수밖에없는 최고의 소설이다! 최고라는말밖에 표현할수가없다.,5.0
청소년,9788901068381.0,용과 기타 인물의 등장만으로 얼기설기 이루어진 소설이 아닙니다.,5.0
청소년,9788901074979.0,다양한 사진과 그림 덕분에 더 쉽게 만날 수 있는 세계사.,5.0
청소년,9788901074979.0,한국사 편지에 이은 또 하나의 참 마음에 드는 역사 정리 교재,5.0
청소년,9788901074979.0,어른도 아이도 쉽게 세계사의 길로~~좋은책,5.0
청소년,9788901074979.0,세계사를 한눈에 알기쉽게..좋은책입니다,4.0
청소년,9788901074979.0,재밌게 읽어져요.,5.0
청소년,9788901074979.0,학생 선물용으로 적격,3.0
청소년,9788901074979.0,데카에서 새로 시작하는 세계사 프로젝트! 세계사 프로젝트의 주교재로 지정~,5.0
청소년,9788901074979.0,역시 왜 인기가 있는지 알 수 있는 세계사 책입니다. 우리 아이도 무척 좋아해요.,5.0
청소년,9788901074979.0,초등학생도 읽기에 적합한 구성,5.0
청소년,9788901074979.0,국사에서 이제 세계사에 도전 ...이러다 역사박사가 되는게 아닌지..,5.0
청소년,9788901074979.0,사진이 함께해서 초딩이 역사를 접근하기 정말 좋아요.,5.0
청소년,9788901074979.0,어른이 함께 읽어도 좋을 만한 책이예요,5.0
청소년,9788901074979.0,역사를 조금이라도 쉽게 접근하는데 도움이 되는 책입니다.,4.0
청소년,9788901074979.0,학원에서 교재로 사용하는데 애는 좋아하는 듯,5.0
청소년,9788901074979.0,5학년아들 처음 접하는 세계사 편하게 읽을 수있어서 강추!,5.0
청소년,9788901074979.0,"우리 아이가 초등 2학년인데 너무 너무 좋아하고 재미있게 
읽었답니다.",5.0
청소년,9788901074979.0,세계사수업교재라서 샀는데...너무오래되었네요~선생님은 바꿀생각이없대요,3.0
청소년,9788901074979.0,"한국사편지와 함께 읽으라고 구입했습니다. 
역시 만족합니다.",5.0
청소년,9788901074979.0,중고등학생공부하기에 딱좋은책인데 아직 발간이 안된 내용이 있어요,3.0
청소년,9788901074979.0,상품도 매우 만족 스러우며 특히 배송기간이 아주 만족 스럽습니다.,5.0
청소년,9788901074979.0,아이가 처음에는 좀 어렵다고는 하는데 꾸준히 읽더니 재미있다고 하네요...,4.0
청소년,9788901101163.0,"절대로 청소년이 읽을 수 없다. 읽을 수 있을지 모르나 많은 것을 포기한다는 느낌이 들 것이다. 수학과 과학적 지식이 풍부하고 과학적인 마인드를 잘 갖춘 고등학교 2학년 이상이라면 가능할지도 모르겠다. 하지만 이해할 수 있다면 과학적으로도, 철학적으로도 배울 점이 많은 책이라는 건 분명하다",4.0
청소년,9788901101163.0,쉽고 재미있게 읽어보자.,5.0
청소년,9788901101163.0,스티븐호킹의 시간의 역사를 쉽게 풀어서 쓴 청소년 과학도서.중학교과학 필독서,4.0
청소년,9788901101163.0,이 책 재밌어서 읽고 또 읽고 하고 있어요! ㅎㅎ,5.0
청소년,9788901140605.0,매력적인 그림과 감동적인 이야기.가슴 속 응어리를 풀어내기위해서는 진실을 인정해야한다.,4.0
청소년,9788901140605.0,아름답고 기묘한 몬스터,4.0
청소년,9788901140605.0,"최악의 상황을 마주쳤을때

스스로 극복하기란 얼마나 어려운 것인가.

결국 해답은 내안에 있지만 누군가 손을 내밀어준다면...

내용, 삽화, 북디자인 모두 100점.",5.0
청소년,9788901140605.0,아주 소중할 것과 혜어저 본적이 없기에 공감은 제로...몬스터는 주인공(코너)의 자기자신의 내면이 아닐었을까...,4.0
청소년,9788901140605.0,누구나 감춘둔 비밀 가장 감추고 싶은 비밀에 대해,5.0
청소년,9788901140605.0,감동적이고 사람을 울게 만든다. 하룻밤 사이에 다 읽을 수 있다.,4.0
청소년,9788901140605.0,오랜 만에 마지막 장면에서 뜨겁게 온도가 올라간 눈물이 쭈르륵 흘렀습니다. 예전에 가르쳤던 학생 중 아버지가 오랜 시간 암투병을 하다 돌아가신 학생이 있었습니다. 떠올랐습니다.,5.0
청소년,9788901140605.0,삶은 말로 쓰는 게 아니다 행동으로 쓰는 거지.,5.0
청소년,9788901163000.0,가르치지 않아도 흑백논리로 사고하는 경향이 누구에게나 존재하는 걸까? 백지와 같은 존재가 분별심을 가질 때 그 정도를 가르는 것은 아마도 기성세대의 고정된 사고방식 영향도 있겠지. 무엇이든 유연하게 바라볼 수 있는 지혜를 갖게하는 책.,5.0
청소년,9788901235622.0,우리나라의 수학교육에 대한 비판점을 이야기하지만 입시에 대한 이야기 말고는 공감하기 어렵다. 저자가 한국에서 고등학교를 다녔을 때와 지금은 정말 많이 변화했을 터인데...,3.0
청소년,9788901235622.0,"소개에 나와있는 게 전부. 오로지 증정 담요 때문에 구입했고, 혹시나 펼쳤으나 역시나 덮는 책. 7차교육과정 학생도 2x-4=6 에서 왜 오른쪽으로 넘기면 ➕4 되는지 배웠고, 사각형은 삼각형으로 쪼개서 내각이 360도인 거 배웠어요. 시대가 달라졌는데 너무 70년생의 예시... 담요는 참 예뻐요!",1.0
청소년,9788901235622.0,"수학이나 수학 공부에 대한 이야기인줄 알았는데, 개인의 에세이입니다. 가볍게 읽기에는 좋은데, ‘수학은 맥락을 이해하고 원리를 이해하는 것이 중요하고, 단순 암기나 계산기계로 공부하면 안된다‘라는 일반적인 이야기를 하고 있습니다. 덕분에 책은 빨리 읽히네요",2.0
청소년,9788901282855.0,리뷰없음,0.0
청소년,9788920051920.0,리뷰없음,0.0
청소년,9788925574844.0,재밌겠어요.한참 우주에 빠져있는 아이가 좋아할것 같아요.,5.0
청소년,9788925577883.0,미국과 러시아 중심으로 근현대사를 재미있게 풀어내는 책입니다. 중간중간 작가의 주관적 판단을 은근히 강요하는 듯 느껴지는 점은 아쉽습니다.,4.0
청소년,9788925577883.0,"기존의 역사 관련 책들과 비교해서 썬킴의 책은 내용이 딱딱하지가 않고 재밌다. 동일한 역사적 사실을 쉽게 풀어쓰는 것도 저자의 능력이 아닐까 싶다. 썬킴 책의 특징은, 역사적 사건의 원인과 결과, 그리고 상호연관성을 분명하고 알기쉽게 파헤쳐서 읽어나가는데 지루하지 않았다.",5.0
청소년,9788925577883.0,이렇게 세계사 책이 쉽게 읽히다니요. 단숨에 읽었어요.,5.0
청소년,9788931007633.0,리뷰없음,0.0
청소년,9788931023961.0,리뷰없음,0.0
청소년,9788931558555.0,리뷰없음,0.0
청소년,9788931558562.0,리뷰없음,0.0
청소년,9788931712209.0,리뷰없음,0.0
청소년,9788932020273.0,열권으로 읽은후 아들에게 권하려고 구입.재미있고 신나는 환타지의 세계로 오시길~~,5.0
청소년,9788932020273.0,초등 아들 1권을 다 읽고 2권도 무서운 속도로 읽었습니다^^.표지 그림이 1권은 손오공 2권은 저팔계인데 아주 실감나고 좋습니다.,4.0
청소년,9788932020280.0,"서유기 잘 읽었습니다. 요괴들을 처치하기 위해 사방팔방 돌아다니는 손오공의 모습이 인상적이었습니다. 특히 서유기 3권에는 가슴벅찬 결말을 감상할 수 있어 좋았습니다. 서유기 10권짜리도 있지만, 읽는 데 시간이 많이 걸리니까 3권짜리가 괜찮을 듯 합니다.",4.0
청소년,9788932020280.0,"드디어 부처의 반열에 오르는 삼장과 오공.팔계와 오정,백마도 공을 인정받는구나~",5.0
청소년,9788932020280.0,"비슷한 모험이 계속 이어지니 조금 식상한 감이 없지 않아 있는데 아이는 여진히 흥미진진입니다.
읽어나가고 있는 중인데 어떤 결말일지 궁금합니다.",4.0
청소년,9788932308470.0,책장을 버리고 단 한권의 책을 남긴다면 오직 이 한권을.. 나아가 이 한권마저도 버리는 내가 되기를..과거 현재를 지나 미래까지도 통용되는 한권의 책,5.0
청소년,9788932308470.0,번역이 원전을 많이 훼손하고 있으며 번역을 원전에서 한 것이 아니라 ‘원전->영문번역본->한글번역‘이라서 원래의 뜻과 멀어지는 경우가 많습니다.,1.0
청소년,9788932308470.0,사놓고 생각이 났다. 몇 년 전에 보다가 재미 없어 중고로 처분했던 책이었다는 걸.......그 때와 많은 것이 바뀌었으니 다시 한 번 도전하리.,3.0
청소년,9788932308470.0,도덕경의 말대로 풀이된 도덕경. 이곳저곳을 옮겨 다녀도 늘 따라붙는 책.,5.0
청소년,9788932308470.0,"장자를 먼저 읽고.. 오강남 교수의 달필에 반해.. 그리고...나를 위해... 지도자들이 읽어야 할 책.. 그러나, 머리와 눈으로 읽음이 아닌, 깨달음으로 읽어야 할 책. 좋다!",5.0
청소년,9788932308470.0,"어려운 책이지만, 꾸준히 한장한장 열심히 읽어보려구요",5.0
청소년,9788932308470.0,"어르신들을 위해 글자폭도 크게 키운 새판, 맘에 듭니다~ 번역도 매우 부드럽고 좋아요.",5.0
청소년,9788932308470.0,그지없이 부드러운것이~  펼친 첫페이지 글귀입니다  흥미진진 합니다,5.0
청소년,9788932308470.0,너무 좋다. 꼭 읽어 보세요.,5.0
청소년,9788932308470.0,도덕경 은 너무 번역이 많아서 고르기 어려운데 그중에서 그래도 제일 나은거 같다는 생각이 드네요. 2013년은 노자에게 길을 물어보려고 합니다.,5.0
청소년,9788932308470.0,침대 머리위 비치용,5.0
청소년,9788932308470.0,교양 교재,4.0
청소년,9788932308470.0,"평생을 옆에두고 읽어도될만한책이다
아직다읽지못하였는데 천천히읽어도될만한책",4.0
청소년,9788932308470.0,유쾌한 도서이다. 벌써 18권을 구입했다. 사랑하는 제자들에게 선물했다,3.0
청소년,9788932308470.0,"여러 종류의 도덕경을 읽고 있는데, 영문번역의 가독성이 나쁘지 않은 책이라 생각합니다.",4.0
청소년,9788932308470.0,도덕경을 처음 접하기엔 평이하고 쉽게 풀이되어 인문학을 처음배우는자들에게 강추,5.0
청소년,9788932308470.0,읽을수록 편안해지는 책..,5.0
