ISBN,review_content,rating
9791136794468.0,드디어 ~!~!~!~!~!,5
9791136794468.0,기다리던 22권 구매합니다ᐕ,5
9791136794468.0,내가 이거 사려고 얼마나 기다렸냐ㅠㅠ그래도 이쁘니까 봐준다ㅠ 빨리 와라♡,5
9791136794468.0,매번 특장판으로 내줘서 좋아요!,5
9791136794468.0,기다렸던 하나코~~트리플 특장판이라 행복합니다 특전 다 너무 예뻐요!,5
9791172888930.0,드디어 나왔다 곧 최애의아이도 완결이구나….,5
9791172888947.0,최애의 아이 15   일러스트 캘린더 2025 합본판 - PP 포토카드   일러스트 디자인 카드 15매 너무 풍성하네요. ^^,5
9791136795441.0,43세에 만화책 읽는 독신남이 선택한 만화 ~ 그래 아이큐점프 표지 장식 모델이었던 작품인데 단 1권만에 버려질 일은 없었지 암 .. 그렇구말구,5
9791136795441.0,기나긴 기다림 끝에 2권으로 부활!,5
9791136795441.0,구매,5
9791136795441.0,"현지발매 2개월 후 드디어,,,,오이오이 믿고 있었다구 젠장ㅠ",5
9791136795441.0,작가님 아프다고 들은거 같은데 2권 나온거보니까 회복하셨나봅니다,5
9791136795441.0,루리 드래곤 2 최고입니다.,5
9791136795441.0,재밌어요!!!,5
9791136795403.0,액션 로코 좋아요 ㅠ,5
9791172884925.0,수많은 재밌는 만화들이 나와도 돌고 돌아 찾게 되는 원피스. 최종장 이후 더 재밌어졌다.,5
9791172884925.0,눈물 없이 못보는 쿠마 이야기. 전투가 좀 뚝뚝 끊겨 좀 늘어지는 감도 있긴 하다.,5
9791172884925.0,어릴적부터 봐왔던 원피스가 점점 완결에 가까워지는것같아서 시원섭섭해요,5
9791172884925.0,신간알리미 덕에 원피스109권 나온거 알았네요.재밌습니다.,5
9791172884925.0,오다 정신차렸네... 너무 재밌네...,5
9791172884925.0,쿠마의 이야기가 인상 깊었어요.,5
9791172884925.0,재미있어요. 추천합니다.,5
9791172884925.0,재밌게 보고있어요,5
9791172884925.0,재미있게 잘 봤습니다~,5
9791172884925.0,다음권도 기대가 됩니다,5
