ISBN,review_content,rating
9791194330424.0,오탈자 검수를 제대로 안하신것 같습니다...ㅠ,3
9791194330424.0,출간 기다렸어요,5
9791194330424.0,출간 기다렸습니다,5
9791194330424.0,"AI 현장의 속도에 비해 느리고 느슨하다고 투덜대지는 말자. 정보네트워크에 대한 책이 아니라 역사책이라고 부제에 있다. AI의 조상뻘 시도들을 고대에까지 오가며 탐색하기엔 AI현장은 너무 바쁘다. AI가 인간의 뇌와 차별화가 아니라 닮기로 한 이상, 이 책이 통찰이나 혜안이 되기엔 버거워 보인다",4
9791194330424.0,전작들의 동어반복,3
9791194330424.0,좋아요~,5
9791194330424.0,Nexus 뜻(파파고 사전). 1.연계 2.연합. 3.문제의 핵심. 책의 내용에 잘 부합하는 제목인 것 같습니다.,4
9791198933201.0,장윤선의 취재편의점에서 봉지욱기자님 책소개 듣고 펀딩 참여합니다.,5
9791198933201.0,"기자, 검사, 판사..이중 한명이라도 똑바르다면 나라가 잘못된길로 가지 못 할것인데...안타까울뿐입니다. 하지만 당신들에게 기대를 가져봅니다..",5
9791198933201.0,잃어버린 2년동안 약탈댱한 민주주의 시스템을 되찾기 위한 대국민스터디. 이젠 누구도 약탈적 불법적 압수수색을 피할수없다. 이 책을 내주어 너무 고맙다. 뉴스타파 화이팅!,5
9791198933201.0,뉴스타파를 응원하는 마음으로 참여합니다,5
9791198933201.0,난생처음 우리는 요즘 안중근이되고 유관순이 됩니다 검찰의심장부에서를 읽으며 통곡을하였습니다 이나라를 지키기위해 나는 무엇을해야하는가 생각하게됩니다 기자님들의 고초를통해서 이나라를 드러내신다고 생각합니다 고생많으셨어요 진실을끌어안고 지키시느라 ~❤ 모두가 타협할때 외친,5
9791198933201.0,기대 하면서 책 기다리고 있습니다. 펀딩 목표 금액 몇 프로 달성도 표시해 주시면 좋겠습니다,5
9791198933201.0,기다려지는 책임니다검찰의 실상을  조금이라도 알게해줄것같네요당장현실은 아니지만요즘정상적인  나라가아니라응원합니다화이팅^~~,5
9791198933201.0,"김용진 대표와 한상진, 봉지욱 기자, 뉴스타파에 응원과 지지를 보냅니다!!!",5
9791198933201.0,뉴스타파 응원합니다. 용기 잃지 마시고 힘 내세요!!,5
9791198933201.0,장윤선의 뉴스 편의점의 봉지욱 기자 인터뷰 보고 구매합니다. 살아있는 정의가 무엇인지는 기록을 통해 남겨집니다. 항상 응원합니다,5
9791198933201.0,봉지욱기자님외뉴스타파관계자님들 힘내세요!!응원합니다,5
9791198933201.0,매불쇼에 봉지욱기자님나오신거 봤습니다.뉴스타파와 서울의 소리도 응원하겠습니다.책소개 잘 들었구요~저도 펀딩에 참여 해봅니다.다같이 함께해요~~^^,5
9791198933201.0,우리는 앞장서지 못하지만 이렇게라도 참여할수 있게 해 주셔서 감사합니다. 늘!!!! 응원합니다 !!!!,5
9791198933201.0,민주주의를 지키기 위해 온갖 위협과 불이익을 감수하며 용기있게 검찰에 맞서 싸우는 뉴스타파를 응원합니다,5
9791198933201.0,나라가 위기에 처할때마다 의로운 분들이 나서주셔서 지금까지 왔다고 생각합니다.  진실만을 보도하는 방송 뉴스타파 응원합니다.  정기후원과 책 구매로 돕겠습니다.,5
9791198933201.0,봉지욱기자님 기사 너무 잘 보고 있습니다.모든 사람들에게 진실을 알려주시기 바라며얖으로도 후퇴없는 전진 너무 기대하고 있습니다.,5
9791198933201.0,검찰독재의 권력이 평범한  시민에게 어떻게 집요하고 악랄하게 펼쳐지는지 국민들께 알려지고 기록되어 되풀이되지않길 간절히 바랍니다,5
9791198933201.0,매불쇼보고 펀딩했습니다~~ 봉지욱 기자님 응원합니다~^♡^,5
9791198933201.0,뉴스타파 초기부터 후원해오며 오로지 진실만을 위해 취재하고 기사를 작성하며 권력의 압박을 받고계신 뉴스타파 제작진 여러분 존경합니다. 항상 응원하겠습니다.,5
9791198933201.0,장윤선님 유투브 채널 보다가 북펀딩 들었습니다.저라면 이런 시도 자체도  못하고 있는듯 없는듯 있을건데 정말 멋있으시고 존경합니다. 정의는 살아있다는걸 늘 믿고 싶은 1인 입니다. 힘내세요^^,4
9791198933201.0,현재의 독립투사님들.무조건 펀딩참여합니다!,5
9791198933201.0,"매불쇼 듣고 바로 펀딩하러 왔습니다. 평소 존경하는 맘으로 응원하고 있던 터라, 이렇게 작게나마 펀딩으로 힘을 보탭니다. 힘내시길 바랍니다. 참기자님들!",5
9791198933201.0,정의로운 의지는 반드시 승리하리라 믿습니다.머지않아  가슴을 활짝 펴고 우뜩 설 수 있으리라 굳게 믿고 항상 응원합니다.,5
9791198933201.0,장윤선의 취재 편의점에서 봉지욱 기자님 인터뷰 보고 구매합니다.평소 뉴스타파를 즐겨 듣고 있습니다.고생많으셨어요! 정의로움에 감사드립니다!항상 응원합니다,5
9791198933201.0,압수수색. 너무나 많은 압수수색이 뉴스를 장식하는 요즘 과연 어디까지가 진실인지 궁금.,5
9791198933201.0,"뉴스타파만큼 정론보도, 한 길만 보고 우직하게 걸어간 언론이 있었던가? 실력까지 갖추고 말이다.",5
9791198933201.0,책 받을 날 기다리고 있습니다.오직 진실만을 알리기 위해고군분투하시는 기자님들 ! 응원합니다.,5
9791198933201.0,친일마름 개검독재 타도하고 민주공화국 회복하는 길입니다.,5
9791198933201.0,여러매체를 통해 기자님들을 존경해오다 장윤선의취재편의점을 보고 펀딩에  참여하게 되었습니다.작은 힘이라도 우리 아이가 살아가 세상에 한줄기 희망으로 귀결될 수 있다면 그 힘 기꺼이 보태고 싶습니다. 많은 어려움 있으시겠지만 힘내세요. 늘 응원하겠습니다. 그리고 책! 너무기대 됩니다.^^,5
9791198933201.0,응원합니다!!,4
9791198933201.0,매불쇼 보고 예약했습니다불법행위를 숨쉬듯 저지르는것들이 민간인 상대로 겁박하는 꼬라지 더이상 보고싶지 않습니다,5
9791198933201.0,매불쇼듣고 펀딩합니다. 책의 의도만으로도 5점민점이라 생각합니다. 책 나오길 고대합니다.,5
9791198933201.0,매불쇼에서 봉지욱기자님이 알라딘에서 펀딩한다는 얘기듣고 바로 달려왔습니다뉴스타파 항상 응원합니다!!!,5
9791198933201.0,뉴스타파 응원하기위해 펀딩합니다,5
9791198933201.0,봉지욱 기자님 응원합니다,5
9791198933201.0,"치열하고 진정한 언론으로서 꿋꿋하게 건재하길 바라며 응원하고 있습니다.각자의 일상을 제각기 영위하며 고요하게 속닥거리기만 하는 들풀같은 인생들 중에서 그래도 심상찮은 바람이 불때면 고개를 들어 한줌의 힘이되고자 하는 그런 들판이 펼쳐져 있으니, 짓밟혀도 끝내는 살아내고 살려내보아요",5
9791198933201.0,2023년  압수수색 뉴스를 보고 바로 뉴스타파 후원회원 가입하였습니다.미력하지만 힘이 되고 싶었습니다.항상 응원하겠습니다^^,5
9791198933201.0,이 도서는 정치적인 책이 아닙니다.‘압수수색‘ 누구라도 당할 수 있는 시대에 살고 있는 검사독재 정권 시대에 살고 있는 메뉴얼같은 필독서입니다.압수수색 당할 경우 대응 방법들도 있으니 정말 유익합니다.뉴스타파의 용기와 진짜 언론정신에 찬사를 보냅니다!,5
9791198933201.0,장윤선의 취재편의점 보고왔어요.북펀딩참여합니다.봉지욱지자님 응원합니다,5
9791198933201.0,권력의 힘이 어떻게 쓰이느냐에 따라 언론에 어떤 영향을 미치는지 그토록 길거리에서 외친 구호가 정치권에서 외면한 결과를 마주하게 되어 안타깝기만 합니다. 언론의 자유를 억누르는 권력에 맞선 뉴스타파의 이야기에 주목해야할 이유이기도 합니다.,5
9791198933201.0,아직도 진행중인 검찰의 억압에 꿎꿎이 버티어주셔서 고맙습니다. 이제 그 끝이 보이고 있습니다. 고맙습니다.,5
9791198933201.0,독재 정권에서의 필독서 !,5
9791198933201.0,사실과 마음 모두를 성실히 기록해주신 책입니다. 정독하며 저자들이 지금 한국 사회 누구나가 잠겨 있는 폭력을 일깨워준다고 느꼈습니다. 그래서 완고하고 단정적인 법문조차 어렵지 않게 잘 읽을 수 있었습니다. 꼭 사서 읽어주세요. 응원해주세요.,5
9791198933201.0,뉴스타파 응원합니다.,5
9791198933201.0,응원하고 또 응원합니다. 작은 힘이나마 보탭니다. 감사하고 미안하고 존경합니다.,5
9791198933201.0,"지금이 이런 책이 출간되고 읽어야하는 시대라니 씁쓸합니다. 나라가 바로 서길 바라며, 뉴스타파 열렬히 응원합니다!",5
9791198933201.0,세상에 이런 일이!지금은 2024년 입니다.뉴스타파 화이팅!,5
9791198933201.0,뉴스타파 응원합니다,5
9791198933201.0,봉지욱기자님 응원합니다,5
9791198933201.0,"기자다운 기자가 없는 시대에 살고있다고 생각했습니다. 봉지욱,한상진,김용진 세분의 압수수색 책을 보면서 진실을 알리고자 노력하는 사람들이 부당한 압수수색을 당하고 대처하는 방법을 알아야만 하는 현실이 안타깝습니다. 뉴스타파를 비롯한 탐사보도 기자분께 존경을 표합니다. 감사합니다",5
9791198933201.0,"‘검찰’이라 쓰였으나 조폭... 아니; 막무가내 ‘정치검찰’로 읽혀 무섭고 암담합니다. 정권 교체뿐 아니라 검찰 개혁해야 합니다. 고맙습니다, 뉴스타파. -11년차 (자랑스러운) 후원회원 올림.",5
9791198933201.0,"막연했던 검찰공화국, 검찰개혁이라는 단어가 선명해지는 느낌입니다. 뉴스타파 vs 윤석열의 대결에서 반드시 승리하여 대한민국의 민주주의를 보여주시기를 바랍니다. 응원합니다.",5
9791198933201.0,뉴스타파 응원합니다,5
9791198933201.0,뉴스타파를 후원하고 있다는 것이 자랑스럽습니다. 항상 응원합니다.,5
9791198933201.0,윤석열  정권의 무도함이 적나라하게 드러나있다,5
9791198933201.0,지금은 내가 아니더라도 내일은 내년엔 내가 직접 압수수색 당할수가 있겠지요. 그들이 가진것들 권력의 모든것들이 사라지고 부서지기 전까진 우리도 압수수색 당하는 이들의 고충을 이해하고 또 준비해야겠지요.,5
9791198933201.0,고고고,5
9791198933201.0,잘 받았아요! 입 다물게 했는데 역으로 더 유명해진 이야기 ㅋㅋ 고생하셨어요!!,5
9791198933201.0,구체적인 자료들과 함께 압수수색의 과정을 확인할 수 있어 기대됩니다.,5
9791198933201.0,이런 시대를 살아가려면 알아두어야할 내용. 그리고 왜 개혁이 필요하고 변화가 일어나야 하는지 체감하게 된다. 나는 이런일을 겪지 않을꺼야. 단정지을수 있을까?,5
9791198933201.0,"압수수색-   뉴스타파 후원회원으로 항상 고마움을 간직하고 있는 뉴스타파 가족들에게 감사드립니다.김용진, 한상진, 봉지욱 세 분의 노고에 농사꾼의 작은 마음을 담아 펀드에 참여 했고 참참이 읽고 있습니다. 훌륭한 기록입니다. 지역에서 기자생활을 하는 막둥이에게도 압수수색 한권을 선물했어",5
9791198933201.0,"진실에 가까운 쪽을 응원하고자북펀딩에 참여하게 되었고""압수수색"" 을 접하게 되어 더 진실을알게 되는것 같습니다.저만 그런건 아닐것 같은데..묵힌 때를 어찌 다 벗길수 있을까..이제라도 드러난게 다행인건가..소소한 참여지만도움이 되었음 합니다.",5
9791198933201.0,정치가 민주주의를 한순간에 흔들 수 있다는 생각을 최근들어 생각하게 됐는데 봉지욱 기자님이 압수수색 관련 책을 내셨다고 해서 구매해서 읽게 되었습니다. 검찰의 소장 및 압수수색영장을 실제로 보게 되어서 놀랍기도 하고 많은것을 알게 되었네요. 언론이 바로서야 할 시대 빨리 정상적으로...,5
9791198933201.0,"진실의 힘을 위해 일에서도 힘듦을 무릅쓰고 사명감을 갖고 앞장서 나가는 분들입니다.있어서는 안 될 수많은 사건 앞에서도 일상생활을 핑계로 눈과 귀를 닫고 외면하는 경우가 다수인 지금, 북펀딩으로나마 응원합니다. 현재 세대만이 아닌 미래세대를 위해 더 나은 사회를 지켜주어야지요.",5
9791198933201.0,현정권의 부조리한 고발과 이를 덮으려는 부도덕한 현 정권. 이에 대한 기자 3인의 지지리하고도 용감히 헤쳐나가는 서스펜스물.,5
9791198933201.0,살아있는 언론! 권력에 굴복하지않고 이 책을 내면서까지 맞서 싸우고있는 언론인들에게 존경과 격려를 보냅니다!! 책을 사는것밖에 못하는 소시민으로서 무한 감사를 보냅니다!!!,5
9791198933201.0,검찰의 무도한 영장발급.위헌적 요소가 많음에도 형평성 잃은 수사권남발등 참으로 어처구니없는 행태를 읽으면서 봉기자의 노력을 평가하고자 한다.,5
9791198933201.0,법은 산소와 같은 것인데 누구는 알고 누구는 모르는 상황으로  인해 나도 모르게 당할 수 있는 상황에 제대로 대처하지 못해 낭패를 당할 수도 있다는 생각을 해보았습니다.기자로서 제대로 법을 몰라 직접 겪은 고통을 사싷적으로 알려주는 생활필독서가 되었으면 좋겠습니다.,5
9791198933201.0,권력의 무도함과 그에 대항하는 저널리스트들의 치열함이 잘 나타나 있다압수수색이라는 낯선 단어가 선량한 시민들에게도 나에게도 닥칠 수 있다는 공포ㅠ,5
9791198933201.0,뉴스타파 봉지욱기자님 취재하느라 바쁘실텐데 책까지 쓰시고 정말 대단하십니다~ 서울에서도 북콘서트 해주세요^^,5
9791198933201.0,"평범한 匹夫들에게도 無道한 시대를 살아내는게 쉽지 않은 시절이다.'이 괴랄한 시대에 압색 한 번 안 당하면 그게 더 이상하지'(본문중에서)그게  더 이상한 세상을 꿈꾸며, 뉴스타파 응원합니다.",5
9791198933201.0,뉴스타파 기자분들이 말한 압수수색 책 페이지 122쪽에서 말하는“판사는 검사가 청구한 영장서류만 보고 영장을 기계적으로 발부하는 경향이 컸다”라고 말한 부분이 공정성의 부패가 연속되는 상황임을 알 수 있는 부분이 있었고 수사기관과 사법부가 이 책을 읽어보았으면 좋겠다. 정신차려라!,5
9791198933201.0,압수수색 자체에 대한 생생한 르포. 다들 엘리베이터에서 핸드폰 비밀번호 누르지 마시길.,5
9791198933201.0,진실을 위한 노력과 그에 수반되는 고통에도 타협하지도 굴하지도 않는 의지와 마음에 깊은 감사와 존경을 보냅니다.,5
9791198933201.0,"이해관계가 얽히지 않은, 권력이 주무를수 없는 시민언론을 만들어도 법적 제재를 통한 통치권력의 폭력과 겁박까지 겪지 않게 막을수는 없네요. 그 과정을 무력하게 지켜보며 빚진 기분을 이렇게나마 전합니다. 참언론인들에게 더 많은 연대와 격려가 따르기를. 세분과 뉴스타파를 응원합니다.",5
9791198933201.0,정의가 승리합니다,5
9791198933201.0,정의를 위한 행보를 응원합니다.,5
9791198933201.0,"꺼져라, 윤건희.뉴스타파, 홧팅.",5
9791198933201.0,빠르게 읽어볼게요,5
9791198933201.0,뉴스타파! 감사합니다.,5
9791198933201.0,"이제야 받아 보아서 다 읽어 보지는 못했지만, 언론사에서 이런 책을 펴냈다는 사실 자체만으로 의미가 있다고 생각합니다.",5
9791198933201.0,"한 단락만 읽어도 너무 억울하고 화가 나고 어이 없고 어쩔줄을 모르겠다. 어느 장을 봐도 다 똑같다.지금은1980년대? 1970년대?이게 지금 도대체 가능하고 말이 되는 현실인지, 정말 믿을 수 없을 정도의 너무나도 일방적인 탄압과 감시와 억제로 점철된 미친 짓거리들, 그로 인한 피해는 눈덩어리.",5
9791198933201.0,책 아직 읽지 못했지만 천천히 읽야할꺼 같아서 우선 구매 먼저 했습니다.,5
9791198933201.0,응원하는 마음으로 펀딩 참여하였습니다. 앞서 나가시면 뒤에 든든한 시민들이 있습니다.,5
9791198933201.0,뉴스타파 응원합니다!,5
9791198933201.0,북펀드에 참여해 책이 도착했습니다. 예정보다 시간이 조금 더 걸렸지만 기대감이 더 컸습니다. 뉴스타파 응원합니다.,5
9791198933201.0,응원합니다. 분명히 개선이 필요합니다.,5
9791198933201.0,척 중에서 사라져야 할 척은권한이 있는 척 같습니다.다른나라들 처럼 수사와 기소는 분리되어야 한다고 생각합니다.,5
9791198933201.0,작은 도움이라도 될까 싶어서 참여했던 펀딩인데 응원하는분들이 많아서 좋네요. 어려움이 많으시겠지만 기자님들 모두 힘내셨으면 합니다.평소에는 잘 모르던 분야라서 책장 넘기는 속도가 더디지만은 꼼꼼하게 잘 읽어보겠습니다~취재하시면서 책 쓰시느라 정말 고생 많으셨어요!!,5
9791198933201.0,이 엄혹한 시대에 등불이 되어주는 극소수의 언론인들.그저 묵묵히 응원하고 지지할 수밖에 없다.역사가 이들을 기억할 것.,5
9791198933201.0,"김용진 대표 한상진, 봉지욱 기자, 뉴스타파에 응원합니다",5
9791198933201.0,뉴스타패늘 응원드립니다고충이 담겨있는 압수수색 잘 읽겠습니다항상 감사드립니다,5
9791198933201.0,현 대한민국의 얼마 없는 진찐 기자들의 현실에 분노했습니다 이런 기자분들이 있어서대한민국 미래가 두렵지만은 않습니다 존경하고 응원합니다,5
9791198933201.0,뉴스타파 응원합니다!!! 진실이 이기는 세상이 되길...,5
9791198933201.0,뉴스타파 응원합니다,5
9791198933201.0,뉴스타파 응원합니다.잘읽을께요~,5
9791198933201.0,살면서 소장을 보고 법원을가고 변호사나 검사를 만나는 일들이 얼마나 될까. 하지만 이제는 근접한 느낌이 살벌하다.이 책은 나 같은 평법한 소시민에게 만약에 마약에 만약에 일어날수 있는 그 살절항 순간을 대처할수 있는 바이블 같다.,5
9791198933201.0,정권의 무도함을 상세하게 표현하고 있으며 특히 정치는 아무나해도 된다고 생각하는 자들은 무조건 읽고 세상을 바라보는 방식을 바꾸는데 도움이 될 책이라고 생각한다. 이 답답한 정권에서 힘내주신 몇 안 남은 기자분들의 노고에 감사드립니다. 펀딩한 가치가 있네요.,5
9791198933201.0,자신들이 직접 겪은 압수수색 과정을 상세히 기록했습니다.책에서는 압수수색 과정에 불법 행위와 인권 침해 가능성을 지적하고 있습니다. 권력이 언론을 탄압하는 이런일은 자유민주주의 국가에서 다시 발생하지 않았으면 합니다,5
9791198933201.0,세상에 억울하게 권력에 피해받는 사람이 없기를세상에 부당하게 권력을 악용하는 사람이 없기를,5
9791198933201.0,참을 수 없는 반도 사법체제 압수수색의 가벼움.기준도 근거도 놀리도 증거도 낯짝도 없는 무근본 사법 폭쳑 밖에는 할줄 모르니..뭐 좀 있으면 물난리 산불 가뭄도 압수수샥하자고 덤빌 것들..영장신청하는 님들이나 발부하는 님들 다 ㅉㅉ기소독점 폐지 사법계혁 합시다.,5
9791198933201.0,시대상을 반영하는 좋은 책을 출간해 주셔서감사드립니다. 그리고 용기를 내서 글과 자료를집필해 주신 기자들의 사명감이 헛되지 않기를바랍니다.,5
9791198933201.0,뉴스타파 응원합니다!!! 진실이 이기는 세상이 되길...,5
9791198933201.0,뉴스타파 응원합니다.잘읽을께요~,5
9791198933201.0,뉴스타파 응원합니다,5
9791198933201.0,버틴 자만이 남아 볼 수 있는 풍경이 있을 것이다.,5
9791198933201.0,후원회원입니다. 뉴스타파가 자랑스럽습니다.,5
9791198933201.0,묻지마 살인은 이상동기 범죄가 맞는 말이라고 한다. 기자라는 직업을 가진 사람이 해야할 일을 하는데 싸우자고 덤벼들면 어쩌라는건지ᆢ,5
9791198933201.0,다스뵈이다 시청후 구매합니다,5
9791198933201.0,예상 보다 늦게 도착했지만 열심히 읽겠습니다. 다만 책 마감 상태가 조금 아쉽네요.,4
9791198933201.0,기록의 중요성,5
9791198933201.0,80년대에 선배들이 번역해서 편집 .복사한 일본학생운동사중  전.공.투라는 복사된 책자가 있었는데 경찰에 연행되었을 때 행동요령을 또 읽는 기분이라서 아주 비참한 마음입니다 역사는 돌고돈다는 이론은 믿지 않습니다 매일 진보하다고 믿는 사람입니다  최소한 지금을 살아가는 사람들에게 필,5
9791198933201.0,어제 책을읽어보고 세상에 알려진 분들한테도 저렇듯 가혹하게 하는데 일반인들은 어떻했을지 짐작이 가고 특히 부사저축은행 불법대출 봐주기사건- 대장동사건- 윤석열 명예훼손 사건으로 이어지는 과정에서의 검찰의 무도함과 뻔뻔함에 기가차네요 ㅠ 뉴스타파 기자분들 힘내시고요 응원합니다!,5
9791198933201.0,장윤선의 취재편의점에서 봉기자님의 책소개를 듣고펀딩 참여했구요 책을 꼭 한 번 읽어보고 싶었습니다대한민국 검찰의 횡포를 확인하고 싶었어 펀딩해서 책을 받고 싶었습니다좋은책 구매 할 수 있었어 좋네요감사합니다,5
9791198933201.0,"옆자리에 앉아 조곤조곤 얘기를 듣는 느낌. 혈압 때문에 한꺼번에 읽을 수가 없어요 넘 열받아.뉴스타파 후원자로서의 자부심, 긍지, 뭔가 뿌듯.힘든 시기를 지나고 있으시지만 꼭 힘 얻으시길 바라고 응원합니다 그리고 더 많이 감사해요",5
9791198933201.0,무고함을 변론해야 하는 억울한 심정 가득한 상황에서 압수수색을 당하는 마음이 얼마나 황당하고 한스럽고 공포스러울 지 그 마음을 생각하면 이 책이 어떻게 집필되었을지 가슴이 먹먹합니다. 이 책을 쓰고 출판하기까지의 숭고한 시간에 가슴 깊은 박수를 우리는 모아한다는 책임감이 듭니다.,5
9791198933201.0,대통령 한 놈 속고 뽑은 업보로 나라가 꺼꾸로 가고 있습니다.하루 빨리 껄어 내리는  결단이 필요합니다.쿡민이 깨어나야 나라가 바로 섭니다.,5
9788901285894.0,부모나 교사들은 꼭 한번 읽어봐야 할 내용.교육적으로 새로운 내용은 별로 없다.하지만 여태껏 강한 저항에 부딪혀오던 지도 방향에좀 더 근거가 생겼다는 것뿐.스마트폰과 sns의 해악은 이루 말할수 없다. 특히 청소년들에게는.하루라도 빨리 법안이 발의되어 아이들을 지킬 수 있어야 한다,4
9788901285894.0,"심증이 물증이 되는 놀라운 순간이었습니다.막연히 스마트폰을 많이 하면 안 좋을 것이라고 생각했는데, 이 책을 보면서 왜 안 좋은지, 어디서부터 문제가 발생한 것이지 깊이 생각해보는 시간이 되었습니다. 아이들의 교육과 미래세대를 위해 고민하시는 분들은 반드시 읽었으면 좋겠습니다.",5
9788901285894.0,아이들과 소통하는 직업으로서 책임감을 가지고 구매합니자,5
9788901285894.0,다 같이 한번 생각해볼 문제 인 듯,5
9788901285894.0,Z세대가 어떤 점에서 이전 세대와 다른지 탁월하게 설명하는 책. 나중에는 이 책을 둘러싼 논쟁의 초점이 스마트폰의 위험성에서 Z세대의 기원으로 옮겨갈 것.,5
9791192092423.0,정신과 진료를  받은 후부터 계속 가지게 된 의문들이 이 책을 읽고 조금씩 풀리는 느낌이 들었습니다...세상에는 정말 믿고 도움을 청할 사람이 많다는 것도 느끼게 해줬습니다.,5
9788934972464.0,364쪽 미망인 단어 거슬림 이딴 말은 언제 사라지려나,5
9788934972464.0,"<사피엔스>1.미덕(1)읽어봤던 빅히스토리 관련서 중 가장 대중적으로 쉽게 쓰여진 책이다. 내용전개가 너무 나이브 하다는 이야기가 나올 수도 있지만 원래 빅히스토리라는게 많은 부분을 잘라낼 수 밖에 없는 주제이다 보니 무엇을 다룰지를 결정하는 것보다 무엇을 삭제할지를 결정하는 것이 어려울 수 밖에 없지 않은가?(2)일반적인 빅히스토리 서술이 무언가를 나열하는 식이라면 이 책은 정리하려 한다. 저자의 뚜렷한 주관이 있어서 자칫 길을 잃기 쉬운 주제를 규모있게 잘 잡아주고 첫장부터 마지막장까지의 논의를 통쾌하게 꿰뚫어 준다. 그래서 지루할 틈이 없다.2.비판(1)상당히 논쟁적인 주제들을 용감하게 다루다 보니 상당한 비판에 직면 할 수 밖에 없다. 사회진화론적 입장도 엿보이고, 과학주의에 경도된 측면도 크다. 아직 젊은 나이에 이런입장을 견지하고 또한 자연과학적 기반을 많이 갖추지 않은 배경에서는 이 책의 논의는 약장수의 속임수가 될 가능성도 커 보인다.(2)아무리 나이브하게 다룰 주제라고 해도 비약이 심한건 사실이다. 특히 이 책은 종교의 힘을 크게 다루는데 비해 종교가 등장하는 맥락을 너무 부실하게 다루고 있다.종교가 왜 등장했는지를 전혀 알수 없다.3.결론빅히스토리 모르는 사람이 읽고 ""난 그게 뭔지 다알아""라고 뻐기기 딱 좋은 책. 그래서 위험한 책.그래서 비추!",2
9788934972464.0,"초반이 정말 흥미롭고 관점이 독특해서 완독할 수 있었다. 인문, 역사, 과학 지식 향연에 유머러스한 글쓰기 솜씨가 버무려지니, 후반의 급 마무리 느낌은 애교로 넘길 수 있을 정도. 이만하면 구매할 가치가 충분하다. 잠시나마 만사 거시적으로 보이면서 약간 해탈하는 기분이 되는 효과는 덤.",5
