ISBN,review_content,rating
9791167734976.0,매년 잘 보고 있습니다. 올해도 새로 구매해요! 개정된 부분이 기대되고 문제가 더 많아졌다니 연습이 정말 잘 될 거 같습니다^^얼른 집에 배송되면 좋겠어요!!,5
9791167734976.0,올해 또 구입합니다!! 기본서로 손색없습니다 면접레시피 잘 활용하여 2차 고득점으로 최종합격하겠습니다 감사합니다!!,5
9791167734976.0,면접레시피는 면접 필수 도서입니다. 모든 합격자들의 추천이 말하는 효과적인 책인 만큼 저도 반드시 이번에 면접레시피로 합격하고 싶습니다!!,5
9791172622749.0,사이다책으로 1월에도 열심히 공부할 수 있었으면 좋겠다. 이제 나를 합격시켜줄때가 됐자나...사이다 한방 먹여줘라 경기도야! -경기의딸-,5
9791172622749.0,경기도 임용 준비중이라면 필수도서죠! 작년에도 잘 봤는데 올해도 구매하게 되었네요.!! 이만한 책이 없어서 또 구매합니다 ㅎ 합격하게 해주세요,5
9791172622749.0,기대됩니다! 사이다와 함께하는 2차 면접!,5
9791172622749.0,일주일 남았습니다….!정말 떨리고 마음이 힘들지만!문 턱에서 주저 앉으랴!조금 더 채찍질 하며 달려가고 있습니다.모든 수험생분들이 같은 마음이겠지요 :)다 함께사이다 교재로 즐겁게 2차준비할 수 있도록!!힘내보아요!!경기도 합격해보자!,5
9791172622749.0,뭐 이미 경기도 면접책으로 인정받고있는 서적이니 이미 보증된책 이라고 봅니다! 그리고 꾸준한 개정까지도 하고있구요! ㅎㅎ 이걸1월달까지 쓸 수 있으면 좋겠습니다.,5
9791172622749.0,기대됩니다. 경기도 2차준비,4
9791172622749.0,경기도 2차 면접서의 정석이라고 할 수 있죠. 올해는 1차 시험 전에 미리 사놓고 지수쌤과 함께 바로 공부하려고요! 새 교육과정 도입으로 새로워질 구성과 디자인 덕분에 벌써 기대되네요!! 사이다 면접으로 공부하고 최종합격까지 사이다처럼 시원하게 직진하겠습니다!,5
9791138919999.0,책 상태 완전 최상으로 새책이나 다름 없었어요~ 최신판 책을 저렴하게 살 수 있어서 좋네요. 열심히 공부해야겠어요~~ 역시 별별 최태성쌤 책이 최고에요~!!,5
9791138919999.0,"역시 한국사는 최태성,,,, 강의랑 함께 보고 시너지 효과 대박입니당!!한국사 1급 꼭 합격할게요!",5
9791167735034.0,면접레시피로 이번 2차 면접 알차게 준비해서 최합하고 싶어요!,5
9791167735034.0,구매완료! 기대중입니다!,5
9791138920001.0,기출문제집은 분철안해도 볼만했어요.분철선택이 된다면 좋기는했겠지만심화설명은 분철선택해서 편하게잘봤어요.유툽강의가 무료지만 알차고 귀에쏙쏙들어왔어요.강의에  대한 자부심이.듣는이로하여금 집중하게하네요.,5
9791138920001.0,잘 정리된 한국사 책에 유튭 강의에 넘 감사합니다...,5
9791138920001.0,"역시 한국사는 최태성,,,, 강의랑 함께 보고 시너지 효과 대박입니당!!",5
9791167735072.0,임용 면접은 어떻게 답하는 게 맞나. 실제로 어떻게 나오는지 감이 잡히지 않을 때 좋은 길잡이가 되는 책 같습니다. 역시 해당 교육청 기출이 제일 좋은 답이 되지 않나 싶습니다. 이렇게 간단명료하게 정리된 책이 없는 거 같아요. 제 입장에서 좋은 선택지인 도서입니다.,5
9791163612490.0,많은 사람들이 선택하는 책! 그래서 저도 구매했습니다. 책이 좀 작아서 불편하려나 했는데 가지고다니기 부담스럽지않아 좋네요. 부디 좋은결과가 있기를 바라고 있답니다.,5
9791163612490.0,좋다고 얘기는 들었지만 책 정말 괜찮네요 보기 쉽게 되어있고 한번 읽고 모의고사 하나 풀어보니 대부분 풀려요 핵심내용이 잘 담긴 듯,5
9791163612490.0,핵심 내용 위주로 요약되어 있어서 이거로 공부하고 있어요! 좋아요,5
9791163612490.0,생각보다 작아서 놀랐지만 내용 알차고 좋네요! 오히려 들고다니면서 틈틈히 볼수 있을 것 같아요,5
9791163612490.0,국시 공부에 많은 도움이 될 거 같아 구매했습니다,5
9791163612490.0,생각보다 책크기가 작아서 놀랬어요 오히려 더 좋은것같아요! 선배들도 국시요약집은 파이널 추천해줘서 바로 구매했습니다. 좋은결과가 있길.. 국가고시 합격기원,5
9791163612490.0,정리 잘되어 있어서 보기 편해요! 추천합니다!,5
9791163612490.0,국시 공부를 위해서 샀어요~ 설명이 넘 알차서 이해가 너무 잘 돼용 강추~~!,5
9791163612490.0,"책이 작다는 이야긴 들었는데, 손바닥 크기라 좀 놀랐네용 필기도 하려고 했는데 좀 아쉽ㅠ 내용정리 깔끔하고 딱 좋아요!",3
9791163612490.0,핵심 요약 간편하게 들고 다니기 좋습니다.,5
9791163612490.0,당연히 구매해야하는 홍지문 요약집 너무 유용합니다.,5
9791163612490.0,국가고시 준비하면서 기본서 보기에는 부담되어 많은 사람들이 추천한 책인 홍지문 핵심요약집을 구매하였는데 책 사이즈가 생각보다 작아서 들고 다니기 편하고 핵심 내용들로 구성되어 있어 공부하기 수월하네요ㅎㅎ,5
9791163612490.0,이번 2025년 간호사 국가고시 시험 준비하기 위해서 책주문했는데 요약정리가 너무 잘되어있어 한눈에 보기 너무 쉽습니다!열심히 공부하겠습니다!,5
9791163612490.0,다들 책 사더라고요 그래서 저도 이 책 구매했습니다 내용도 잘 정리되어 있고 꼭 국시 합격하겠습니다 다들 힘내세요~,5
9791194399018.0,작년 수공모로 정말 도움 많이 받았어요. 변화된 출제기조로 문제 경향 반영하셔서 충분이 교수님믿고 커리 따라가면 고득점 받을수 있을거 같아요. 실전감각키우는데 아주 좋아요!!!!,5
9791194399018.0,역시 국어는 권규호 쌤!!!👍🏻그 중에서도 수공모 명성을 이은 신공모가 최고라고 생각합니다!!현재 실력을 체크하고 부족한 부분 보완할 수 있을 것 같아요~~규호쌤 믿고 열심히 공부해서 꼭 국어 고득점 받고 합격할게요!!!🍀좋은 강의와 좋은 교재에 항상 감사합니다~,5
