ISBN,review_content,rating
9791192767116,도쿄 여행에 참고하기 좋은책 같습니다,5
9791192767116,쉽게 읽히고요. 내용도 충실하고 좋습니다,5
9791190073349,에이든 국내여행 가이드북 (2024-2025 개정증보2판) 너무나도 기대됩니다.,5
9791190073349,두껍긴 두껍네요~우선 우리지역부터 봤는데~식당이나~장소나~아!추천맛집인데요^^,5
9791190073349,"여행 내용은 좋은데 문장이 너무 어색합니다..교정을 안보는지 기본적인 호응, 주술구조, 문장기호도 틀려서 읽기가 힘들 정도네요 저자소개부터 한숨이 나올 정도. 개정판에는 나아졌으면 좋겠습니다.",3
9791190073349,여행 계획 세우려면 너무 스트레스였어요. 이 책자 한권으로 인터넷 검색 등은 별도로 더 하지 않아도 된다고 해서 지금 기대 만땅입니다!!!,5
9791190073349,진짜 책 두께처럼 여행지가 장난없어요!!!가보고 싶은곳도 많고 여행가서 사야할것도 잘 정리되어있고 진짜 이거 하나면 인터넷으로 갈 곳 찾는 수고로움은 덜할꺼같아뇨,5
9791190073349,두께만큼이나 알찬 내용으로 가득찬 국내여행 가이드북! 특히맛집이 지역별로 정리 잘되어 있어서 넘 좋아요~~ 늘 식도락여행이 테마인지라^^,5
9791190073349,국내여행 가이드북 중에 가장 상세하게 나온것 같아요!제가 좋아하는 지도가 있어서 만족합니다테마도 다양해서 골라가는 재미가 있어요~^^,5
9791190073349,책 전체적으로는 만족하는데 지도는 선명하지 않아서 보기엔 조금 불편합니다.,4
9791192169415,"너무 재미있어서 시간가는 줄 모를정도입니다.짧지만 핵심있는 내용, 사진도 많이 있어서 이해가 잘 됐어요",5
9791192169415,"그간 읽었던 일본 관련서 가운데 ‘역사‘를 개괄하는 책으로는 괄목할 만하다.오랜만에 다시 일본을 가봐도 좋겠다는 생각이 들기도 하는데, 묘하게도 여행을 할 경우, 꼭 손에 들고 가야할 필수품이 이 책이다. 저자의 필력과 잘 어우러진 자료들이 반갑다.",5
9791192169415,역사는 따분하다는 생각 이 책을 읽으면 버려야자기소개부터 빵빵 터진다 곳곳에 숨어있는 유머는 스토리텔링의 힘을 ㅎ,5
9791191114591,녹록지 않은 현실에서 여행을 하기 위한 나만의 이유를 내세울 때  더없이 좋은 에세이~~,4
9791191114591,작가의 말 보고 울었잖아여 ㅠㅠ,5
9791191114591,"‘작가의 말‘만으로도 명불허전이란 생각. 당장 예약구매했어요그런데 꾀돌이, 깐돌이... 개 이름이 너무 정답게 들려요",5
9791191114591,정말로 재미있게 읽었어요. 도대체 사람들은 왜들 그리 떠나지 못해 안달들일까. 이젠 지나다가 발에 채이는게 여행기이고 여행 후일담이 민폐가 되어버린 시대인데 말이죠. 마침 그 본질적 의문에 상당히 궁금했던터라 타이밍이 딱 맞은 것 같아요. 여행을 떠나는 이유.. 아주 흥미롭습니다.,5
9791191114591,재미가 없다. 다 읽지 못하고 덮음.,2
9791191114591,김영하 작가는 이야기꾼이다. 책을 읽는 동안 계속 엉덩이가 들썩거리고 마음이 가벼워진다. 여행가고 싶다,5
9791191114591,흐흐흐흐 넘나 기대되용,5
9791191114591,어떻게 베스트셀러가 되었을까..요넘 별로인듯~~~,1
9791191114591,재미있다. 문득 <동사서독>이 떠오른다. 여관 주인 구양봉은   여행객들을 보며 그들의 삶과 자신의 삶을 바라본다. 떠나는 이와 남은 이 모두 외롭기는 마찬가지일 터. 사람의 삶은 도대체 무엇이고 무엇을 위한 것일까.,4
9791191114591,기대하고 있습니다. 떠나고 싶어지는 글일 것 같네요!,5
9791191114591,역시 작가의 책이란 생각을 절로 했다. 이 정도의 깊이는 되어야 ‘여행‘에 대한 ‘이야기‘를 읽는 맛이 있다. 이젠 이런 저런 보통의 글로 개인의 여행을 다룬 책은 수준이 낮게 느껴질 것이다,5
9791191114591,앞으로 열흘....인내심이 필요할 둣많이 기대되네요,5
9791191114591,단숨에 읽히지만 두고두고 생각하게 만드는 힘! 김영하 산문이 좋은이유,5
9791191114591,"[‘김영하의 여행‘을 여행하다.]▷여행은 다양하고, 그 경험은 사람을 바꾼다. 좁은 의미로는 어딘가 먼 곳으로 가는 게 여행일 수도 있고, 넓게 보면 책을 읽는 것조차 하나의 여행이다. 작가 김영하의 모든 ‘여행의 경험‘들, 그리고 이런저런 사정들이나 생각들, 쌓여 지층이 된 것들이 문장이 되고 책이 되어 우리들을 또다른 여행으로, ‘여행의 이유‘라는 세계로 끌고 간다. 당신의 마음에게도 살며시 물어보자. 내 여행의 이유는? 내 마음은 아마 이렇게 답할 거다. ˝이 세상에 태어났잖아! 꼴리는데로 살고 죽어야지!˝ 정체되어 있는 사람은 늘어지고 타성에 젖는다. 내 꼴림을 찾으려면 민감하게 세상과 마주해야 한다. 그래서 추구하는 자는 여행을 하는 것이리라.",5
9791191114591,여행을 통해 실질적으로 얻어지는 것은 너무나 많다.나 자신을 객관화 시켜서 넓게 바라볼 수 있는 능력도 모두 여행을 통해서라고 할수있다. 여행이란 궂이 직접 뛰는 여행만이 진정한 여행일까? 누군가 그랬듯이 ˝독서는 앉아서 하는 여행이다.그리고 여행은 서서하는 독서이다.,4
9791191114591,"소설과 에세이, 두 가지 모두를 잘 쓰는 글쟁이. 거기다 말도 잘 하시고. 나중에라도 한국 국적의 작가가 노벨상을 받을 일이 온다면, 나는 그 일은 김영하 작가에게 일어날 것 같다.",5
9791191114591,김영하 작가님이 어떤 여행 이야기를 들려주실지 정말 기대됩니다 :),5
9791191114591,작가의 말 만으로도...사서 읽어야겠습니다.,5
9791191114591,유투브로 소개된거도 너무나 유익하고 재미나서 주문햇습니다김영하를 만날시간이네요 사랑합니다 작가님,5
9791191114591,믿고 보는 작가 / 그런데 예약 구매 사은품 / 여행 첫문장 노트 옆면 마감은 원래 이 상태인가요?? 사진을 올릴 수가 없어서 ;;;;,5
9791191114591,"유연하게 잘 읽히면서도 특정 지점에서 독자가 생각할 거리를 주는 에세이, 은근 찾기 힘들다 생각하는데 이 책은 그게 있다. 보통의 여행 관련 책이 당장 짐 싸서 떠나고 싶은 뽐뿌질 쪽에 초점이 있다면 이 책은 그렇지 않다는 점도 좋았고, 작가의말에 떠나 보낸 개고양이 얘기도 좋았다.",4
9791191114591,빨리 책 오길 기다리고 있어요,5
9791191114591,여행에세이가 재미있기는 처음!,5
9791191114591,아마도 여행의 즐거움이란게 여기에 명확히 나오네요.누가 해주는 밥먹고 새로 바꿔주는 깨끗한 침구에서의 잠등등 집안의 책임감에서 벗어날수 있는 그 모든것이 여행이 절 부르는 이유일듯합니다.공감되는 모든 글들이 즐거움입니다.,5
9791191114591,어제 받아 벌써 다 읽었다!,5
9791191114591,김영하가 글은 잘 쓰지. 다음엔 소설을 읽고 싶다.,4
9791191114591,"삶의 일부로서의 여행, 의 의미를 되새겨 본다",5
9791191114591,재미있어요!! 저도요~라고 덧글 달고 싶은 부분이 많았어요 ㅎㅎ 김영하님 에세이는 늘 옳아요!!,5
9791191114591,이 책을 읽으면서 글을 쓰고 싶어진듯.... ‘노바디의 여행‘ 너무 좋았다.,5
9791191114591,작가가 무슨 말을 하고 싶어하는지 마지막 작가의말을 다 읽은 후에도 모르겠다모든 이야기가 중구난방으로 섞여서 들어온다.,2
9791191114591,목적이 있는 여행이든..목적이 없는 여행이든..직접 간접적인 여행이든 삶을 바라보는 시각이 넓어진다..이래서 나는 언제든 여행을 꿈꾸고 가고 싶어하는지도 모르겠다..앞으로 남은 나의 인생 여정에서도 끊임없는 여행을 하고 싶다..오랜만에 책을 구입하고 이책을 읽는동안 아껴서 읽고 싶었다..,5
9791191114591,때로 정서적 귀속감을 갖지 못하는건 일상 때문인가 여행때문인가 아니면 그 사이의 어디쯤인가.. 여행으로 돌아가다/작가의말을 읽고 드디어 작가와의 거리감이 좁혀졌다,4
9791191114591,소설을 기대했지만 그래도 신간 소식에 반가울 따름이군요,5
9791191114591,힐링이됩니다 참트래블을 고대할 수...,4
9791191114591,"책을 받아드는 순간부터 실망스럽다. 책의 완성도, 표지, 어느 것 하나 공들인 흔적이 없다. 이렇게 소홀한 책을 작가의 명성만 믿고 독자 앞에 내놓은 출판사나 작가에게 적잖이 화가 난다.포장의 초라함을 내용의 성대함으로 만회할 수 있을지...",2
9791191114591,소설가 김영하의 산문은 어떨까하는 생각으로 예약구매했던 책입니다. 여행은 흔하게 인생의 메타포로 사용되지만 김영하 작가님 만의 경험이 녹아들어 풀어낸 문장들은 역시 일품입니다.,5
9791191114591,"내 머릿속에 있던 생각들을 어쩜 이리 잘 찝어내는지...탁월한 구성. 생각, 표현들",5
9791191114591,"오랜만에 집중해서 읽게되는 글을 만났다. 작가님의 TV에서 보는 박학다식한 모습 뿐 아니라 여러 가지 내면의 모습을 만나는 기쁨을 느낀다. 나는 2~30대에 나름 여행을 다니곤 했지만 어느 순간 내가 여행을, 특히 긴여행을 좋아하지 않는다는 것을 깨달았는데 그럼에도 너무도 공감하며 읽고 있다.",5
9791191114591,"아마도 모든 사람이 공감하며 고개를 끄덕거리게 될, 여행의 이유.",5
