ISBN,review_content,rating
9788967215491,종이 재질도 좋고 디자인도 예쁘고 다 좋은데요.. 피아노 커버 QR코드로 들어갔을 때 비공개 영상이라고 뜹니다…ㅠㅠ,4
9791197971990,잘 받았습니다. 독서가 기대되는 책이네요.,5
9791197971990,전쟁에 대한 책이 이리도 수없이 많은데 또 전쟁이라니.. 사람들은 학습능력이 없는건가,4
9791197971990,기대가 됩니다.,4
9791197971990,믿고보는 가망서사!!!,5
9791197971990,"수용소에 있던 기간을 다룬 1,2장은 검은 종이, 수용소 밖으로 나온 기간을 다룬 장은 흰종이에 적혀 있는 편집부터 예사롭지 않다.",5
9791197971990,기대하고 있습니다!! 얼른 제 손에 들어오길!,5
9791197971990,두근두근 잘 읽겠습니다!!,5
9791197971990,잊지 말아야 할 역사입니다.,5
9791197971990,섬세한 문장은 고통을 더욱 생생하게 느껴지도록 돕는다. 아름다운 문장인데도 전쟁이라는 끔찍함에 몸서리가 쳐진다. 펀딩의 보람이 느껴졌다. 다만 편집의 의도는 이해하지만 너무 보기 불편하고 거슬린다.,4
9791197971990,잊어서는 안 되는 역사죠. 기대하고 있습니다.,5
9791197971990,잘 받았습니다. 감사합니다.,4
9791130658704,정년이 광팬으로써.. 나오길만을 기다리고 있았습니다 ㅠㅠㅠ 바로 구매 갈겨!!,5
9791130658704,정년이가 릴스나쇼츠에 많이 뜨다보니 여기까지 왔네요진짜 문옥경때문에 하루하루 죽을거 같네요 저번주 일요일어 처음보기 시작했는데 월요일에 10화까지 다봤습니다솔직히 이건 안사면 안되잖아요? 그냥 바로 주문했습니다정년이 화이팅!!!,5
9791130658704,11월 초에 구매해서 열심히 기다립니다. 얼른 만나고 싶어요!!,5
9791130658704,정년이 광팬으로사 진짜 나오길만 기다렸습니다바로 구매 했습니다,5
9791130658704,좋아하는 대본집이 나와서 기뻤으나 받아보니 정말~~~~~가독성이 안좋음. 대본이아니라 굿즈인데… 대본집 기대한다면 실망하실듯,2
9791130658704,주문번호001-A754285738 입니다 포장 꼼꼼하게 부탁드립니다.,5
9791130648668,책 표지 손상 및 내부 구겨짐 등 하자가 많음..;; 하드제본인데 왜 내부 구겨짐이 있는건지 이해가 안됨..ㅜㅜ 표지 끄트머리도 잔뜩 눌려서 와서 인쇄된 부분이 쭉 눌려서 안쪽 흰부분이 보이는... 애니메이트가서 현물 살 걸 그랬다고 백번 후회함 너무속상하다 진짜,3
9791130648668,하자가 많아요.. 책커버 찍힘이랑 안쪽에 뭐가 묻어있어서 사진까지 보내고 교환 요청 드렸었는데 커버만 새로 보내준다고 해서 좀 어이가 없었어요.. 하자는 두군데 발견됐는데 왜 커버만 보내주시냐고 여쭤봤더니 납득할 수 없는 답변을 해주셔서 기분이 별로 안 좋았어요:( 아트북은 훌륭했습니다.,4
9791130648668,하드커버에 장수도 많아 매우 무거운만큼 행복도 컸는데 보다가 우측 상단에 작게 찢긴부분을 4개나 발견.. 먼지나 미세한 구김은 티가 안나서 넘어갔는데..ㅠ 그래도 일러스트부분이 찢기지않아서 다행이려나요.. 시간가는줄모르고 다 봄,4
9791130648668,살짝 찌그러짐이 있었지만 큰 하자는 아니여서 만족하고 봤습니다.. 진짜 보는내내 손이 떨렸어요 반? 정도 보고 덮었습니다 더 보면 내 정신력이 못버틸거 같아서.. 너무 만족했습니다 배송을 더 신경쓰면 좋을듯,5
9791130648668,하자 총 8개 6개는 책 속 찍어진거와와 2개는 책 표지 찍어진거 예쁘고 좋긴 한데 하자는 좀.. 신경 좀 많이 써주세요;;,3
9791130648668,와…진짜 세세하게 구성해놓으셔서 보는내내 소리지르면서 봤습니다,5
9788947549813,이 분이 전에 낸 다른 책도 무척 재미나게 읽었는데 새로 나와서 샀어요. 에곤 실레도 좋아하고요. 참고자료도 잘 써놓으시고 미술계 분들도 추천하셔서 항상 믿고 읽습니다.,5
9788947549813,"연재글 항상 잘 읽고 있구요, 너무 마음에 들어서 책으로 소장하고 싶어서 구매했습니다. 책이 알찬 느낌이구요. 한 번씩 본 글이지만 또 읽어도 좋네요. 새로운 이야기도 수록되어 있다고 해서 차차 읽어 볼 생각입니다. 간만에 마음에 드는 책을 샀어요.>_<",5
9791140714063,항상 이리저리 해보다가 보기에 괜찮아 보이는대로 그림을 배치하곤 했었는데 이 책을 보고나니 그런 시간을 단축 시킬 수 있어서 완전 유용했어요!! 그림은 좋아하지만 디자인을 잘 모르는 사람인 저에겐 꼭 필요한 책이에요!,5
9791140714063,"비전공자인데 요즘 디자인공부 중이라 구매했는데아직 내용을 제대로 보진 않았지만책 받고 일단, 바로 펼쳐보니종이질이 별루라 아쉽네요:;;같이 주문한 디른 디자인 관련책에 비해종이질이 떨어지는데다제가 50대이긴한데 글씨가 너무 작아서보기 너무 불편해서 바로 읽고 싶지 않아요:;",4
9791140714063,디자이너로 활동하고 있지만 주디자인 분야가 아닌 다른 분야 디자인에선 막막함이 있었기에 새로운 회사로 이직하는걸 주저했는데 책에서 공식으로 풀어주고 기초부터 차근차근 알려주니 쉽게 느껴집니다.,5
9791140714063,디자인 비전공자이지만 쉬운 그림과 정보로 기초를 다질 수 있어서 좋았습니다.,5
9791140714063,"추천받아서 구입했는데, 비전공자로서 디자인 지식을 배우기 좋은 책인 것 같습니다. 연습장이 있어서 연습할 수 있는 것도 좋아요!",5
9791140714063,너무 심하게 기본적이고 기초적인 내용이라서 조금 실망했습니다,3
