ISBN,review_content,rating
9788901289632.0,김대리의 책중 가장작게 출판된 책이더군요. 가방속에 넣고 다니며 도안을 보게하려는 배려같아서 참좋았습니다. 뜨개책은 무거우면 들고 다니기 버거운걸 아셔서 그런듯해요. 복잡하고 어려운것 좋아하는 분부터 초보 그리고 쉬운걸 좋아하는 분들에게 좋은책인것 같아요.,5
9788901289632.0,판형이 작아져서 더 좋아요,5
9788901289632.0,"이번 취향니트는 앞선 두 권과는 다르게 에세이가 들어가 있어서 너무 좋네요.뜨개인들이라면 200% 공감 가능한 글들을 읽는 것만으로도 위안이되고 즐거워요^^ 책에 실린 뜨개작품들도 매권마다 업그레이드 되는것을 보면서, 마치  함께 성장해 나아가는 동기같아 뿌듯하고 다음 책을 기대하게됩니다",5
9788901289632.0,도안을 위해서 샀는데 에세이도 술술 읽었어요. 재미도 있고 맨뒤에 기법 설명도 있어서 저같은 초보자들에게도 좋을 것 같아요. 책도안을 보면서 뜨는건 처음이라서 떨려요. 빨리 작품들 하나하나 떠보고싶습니다!,5
9788901289632.0,드디어 책 받았네요♥ 얼른 하나하나 떠보고싶어요,5
9791187033738.0,한국에 없는 식재료가 많아서 효용성이 떨어져요. 이런 책을 책임감 있게 가져오려면 한국에서 흔히 쓰는 식재료 중 대체할 만한 것을 각주로 달아야 한다고 생각합니다. 98페이지에는 한 단락이 통째로 잘못 되었네요. 소제목 면과 ‘삶기‘에 오일로 무치기가 들어가 있습니다.,2
9791187033738.0,채소 섭취를 늘리고 싶은데 차가운 음식을 싫어해서 샐러드 외에 요리법이 필요한 와중에 제목에 끌러서 구매했어요. 기대보다 더 알차게 활용할 요리들이 많아서 좋았어요.,5
9791187033738.0,"요리술 미림 구분한다고 검색 좀 했네요, 아보카도수프가 궁금해서 구매했습니다",5
9791187033738.0,"추운 연말에 건강도 챙길겸, 채소를 좋아하기도해서 구매해본 책이에요~ 화려하지는 않지만 매일 매일 챙겨먹기 좋은 레시피로 구성되어있어 좋아요~ 채소는 따뜻하게 먹으면 더 맛있는것 같아요 : )",5
9791187033738.0,채소를 따뜻하게 먹을 수 있는 방법이 여러가지 나와있어서 좋아요 ~,5
9791187033738.0,따뜻하게 먹는 채소는 어떤것인지 궁금해집니다,5
9791187033738.0,다양한 채소요리 레시피 기대가 됩니다.,4
9791186519912.0,제레미님은 누구보다 잘 알고 있기에 잘 설명을 하신다는 생각이 들어서 여태껏 들은 강의 셰프 중 가장 신뢰가 갔어요. 그리고 시연회에서 열정적인 모습에 인상이깊어 책까지 사게 되었어요. 내용도 알차고 자세해서 좋아요. 이론부분도 지루하지않아요. 오븐만 있다면 구워볼텐데ㅜㅜ 조만간!!!,5
9791172100773.0,작년 올해 한국작가들 책이 많이 쏟아져 나와서 뜨개인으로써 반갑지요. 그중 젤 비싼책이더군요. 받자마자 비싼이유가 뭘까했는데 책표지에 공을 들었더군요.(꼭 그래야만 했을까 저의 주관적 생각) 다 서술형에 가까워서 저는 뜰수 있는게 1~2개밖에 없네요.,3
9791194087588.0,이전의 책 2권을 재미있게 봤다. 실용적이라 레시피도 많이 만들어봤다. 평소 채식에 관심이 많은데 채소 중심의 고퀄 요리책을 또 내주셔서 너무 감사하다. 익숙한 재료를 색다르게 활용할 수 있어 좋다.,5
9791194087588.0,맛의 한끗을 올려 멋스럽게 만들어주는비결 발견. 먹고 싶은 요리 레시피 찾아보려다 책을 통째로 다 읽음. 요리와 재료를 소개하는 글도 재밌어요!,5
9791159001505.0,시골집 관심있는 독자들에게 너무 힐링되는 사진과 저자의 솔직 담백한 이야기가 가득하네요. 시골집 리모델링에 유익한 정보도 가득해서 자주 보며 힐링하고 공부할 수 있는 시골집 지침서로 최고입니다!!,5
9791159001505.0,2천만원으로 집한채 샀습니다 전작을 보고 기다리다 신작발간소식을 듣고 바로 구매! 작가님 지난 10년간의 공사내용이 사진들과 자세한 설명으로 건축과 인테리어에 무지한 사람에게도 알기쉽게 읽혀온다. 시골집을 고치고싶어하는 사람들에겐 필독서가 아닐까싶다.,5
9788931455625.0,"100자평 보고 조금 걱정했었는데, (의역이 좀 있지만) 큰 문제는 아니었네요. 오히려 도량형이나 용어의 현지화가 잘 되서 읽기 좋았습니다.",5
9788931455625.0,전문가가 아닌(?) 일반인 입장에서 보기엔 정말 고마운 도서입니다. 두고두고 볼 수 있는 유용한 정보가 많아서 책값이 아깝지 않을 정도네요. 좋았습니다.,5
