Keyword,Score
생각,2074.914954690384
내용,1677.3981680531836
작가,1628.134861068948
구매,1609.018737427273
이야기,1606.4528665592754
정말,1561.2480446075986
기대,1462.6286196822302
사람,1418.2298730357247
마음,1328.9258741000015
소설,1212.2364190519288
보고,1166.0963257716346
추천,1070.6098021788587
작품,1051.5289048689708
다시,1036.5601211534627
번역,1000.3234336555621
대한,996.6980644284371
느낌,889.0423617122161
이해,851.864262771564
그림,830.8091043964954
공부,815.3629574467074
우리,810.7252031403167
사랑,794.3301078223498
최고,791.820631806347
구입,775.0598986029248
역시,771.615141403847
도움,762.0129491003889
하나,753.0860555911044
시간,737.6970693915301
처음,725.6263607238584
진짜,722.9403540303364
대해,709.0840314581415
다른,707.969913122209
한번,694.8784743636104
설명,690.2520882643091
부분,684.9242223662417
이번,653.9475908134771
다음,650.2441393116786
시작,643.802977710958
영화,638.6764209436706
역사,632.55451641809
아이,624.5861113330817
문장,603.0954845056705
표지,597.7670841808743
선물,594.5000963016525
재미,590.3399350255427
바로,582.5246887869648
정도,581.057576265338
지금,577.1949636271687
인생,576.4395581281027
인간,572.486174233868
감동,561.6617471252895
가장,541.617284816972
조금,538.7842460718865
제목,480.75863891777647
저자,480.20577435758815
그냥,472.29838579852554
아주,469.0250882294778
세상,464.9999580356783
시리즈,463.9230946665505
소장,460.9115253826915
이제,450.62297261656727
모두,446.55013185874446
시대,436.96417257857337
자신,433.7528844138122
모든,431.93677133101903
계속,427.3171062988766
위해,426.8505886822989
문제,418.40409819726705
주문,414.91005552423786
무엇,405.1496315594278
통해,402.61696021852117
마지막,400.9646008288641
기분,400.77086341883506
공감,395.5180248592187
매력,394.86456659053454
배송,385.34768430340176
때문,385.1152098114915
관심,374.7848439387415
정리,372.57975112454045
고민,372.09240173871393
페이지,362.61281486724334
가슴,360.19332791337666
구성,359.04836437697605
만화,353.89087470094
가지,352.78595259710556
보기,352.5633551729403
사회,349.60940300951506
고전,345.69486370750286
스토리,343.1432706559694
이유,341.1341429819496
세계,337.28003117884754
표현,333.0509778978064
라면,332.9254312558948
선생님,331.3879243408901
사실,331.20582958129734
현실,331.1826233526662
의미,330.59194510292116
엄마,329.8789252437017
매우,327.64266098606385
펀딩,323.8402646251312
가치,322.97046435395623
기억,322.7285159125832
개인,320.79653985910045
별로,317.5527022031607
모습,309.21367914153586
친구,309.1192942432472
술술,308.26219314774147
사진,305.4578487406462
누구,302.59761847426125
한국,300.07144848015304
여행,298.97940262052634
주인공,295.98796416600186
요즘,295.61863139863306
과학,294.3345681676246
방법,292.95406636085636
독자,285.73031734042246
얼마나,285.14027529800825
깊이,282.60313887665933
강의,278.6223696017349
항상,277.55642660258684
완전,275.1191478904693
영어,273.85981290476803
위로,272.8931293522851
눈물,272.63158912299747
자체,272.5477911701761
감정,271.80650968621126
순간,271.3774982540558
철학,270.7592602236226
이상,270.39570714342847
언제,269.85149219364496
제대로,265.8846035117106
내내,265.84377469682363
더욱,263.9327901631661
독서,262.16233805326965
중간,259.6625052914388
이름,258.71086526094956
선택,257.2978733514144
에세이,256.8460763098329
단편,256.82550536135795
존재,254.54435446358437
가격,254.09241644532673
일단,253.5151049084857
단어,247.1192640390944
도서,246.55109317451323
지식,246.07883818071886
하루키,244.88380361929939
전개,242.53022162614207
자기,242.4659201164273
경험,241.93422573096134
캐릭터,241.14408978186685
얼른,239.73442516385532
종이,239.41930111276974
인물,238.48275442776895
오늘,238.09743569447326
강추,237.48977349883668
기본,236.18680885175516
요리,234.9942915071975
일상,234.60082072743924
뭔가,232.1503089909841
디자인,231.76937543035046
얘기,231.32660159534325
관련,230.93916372879505
입문,229.26140869579896
문학,229.22906436158783
몰입,229.04169293026348
올해,225.4135088012662
해설,224.44502267858692
하루,222.83449295765476
동안,222.48545719496283
흥미진진,221.57927031845995
여러,221.45934962846806
먼저,220.54360417642192
그것,220.189094238054
기도,219.24278735477478
현재,217.61997553553303
실망,215.6036465936859
유튜브,215.58975873256654
머리,214.47197188144148
묘사,213.59904892306722
글쓰기,211.036435026501
교재,210.48536318356147
사서,210.27826273697914
응원,209.08660970465152
작화,206.79219134449184
소개,205.75607149794024
인상,205.27213453733603
감사,204.42820104388093
결말,204.24526599996858
제일,203.77217062225975
덕분,202.82029183655862
어른,202.05202744088237
그대로,201.73675389763383
서로,201.68251338741365
약간,200.4194574897275
일본,198.84718540183925
이후,197.0830154365659
혼자,196.5416455916584
반전,196.05220333899007
흥미,195.8682161243419
시선,195.17783474075173
출판사,194.997563023014
편집,193.3371818047426
교수,192.76617290412653
소재,192.74073314696918
신간,192.6757398559964
집중,192.5557584722669
다만,192.3419132354525
책장,190.70174820662382
주제,189.64335143969106
명작,188.62054219785978
사건,188.4915129715211
과정,188.38898627615114
죽음,187.5721040321161
여운,186.93608517859167
정보,185.80314254604681
상황,185.12812041110612
이건,184.89036291861018
사고,184.53868756568866
통찰,184.3637657723055
나이,182.94371229911792
어디,181.90204994779705
추리소설,181.88051144225125
후회,181.80878765881553
분위기,181.21624282498166
준비,180.92754877373835
알라딘,180.19490347137534
관점,179.75815793870638
상태,177.06607038533204
발견,175.681960752364
레시피,175.3836448739278
리뷰,175.37904516309024
기회,174.56344494478392
드라마,172.3940179938396
거리,172.31062847028812
예전,171.94354660876456
전쟁,171.889998410718
벌써,171.61567198225345
완결,171.26429521137402
당신,170.50158524581835
과거,170.3173115586421
반복,170.2099087637886
노력,170.1479160218904
참여,170.01493342477428
만큼,169.8819325016205
일러스트,168.19705070116646
필요,168.09776214929465
주변,168.0341838188815
주의,167.96601254306788
투자,167.35372447074118
미래,167.15540239699106
거의,166.50763959362263
상상,166.3975428684857
취향,166.3085564551051
생활,165.8610487130589
무척,165.56780900671518
가족,165.06034464664765
도서관,164.91508416093396
시절,164.33202420416333
시인,164.31935151421902
수준,163.57567982002897
필독,163.21486900865855
점점,163.1948684134444
문체,162.83146703114585
도전,162.75282702126816
로서,162.55987887925667
수가,162.38407049996022
용기,162.38049794551634
실천,161.79410688003858
또한,161.71337789350244
서적,161.67783620974734
관계,161.3774651145236
남자,161.20030409196008
무조건,160.80524331638742
유시민,160.2516511056825
매일,160.052723586792
여성,159.99518144910525
아들,158.61183474452756
최근,158.22851487840438
시집,157.964048992518
도착,157.58019517083525
해석,156.2038073146889
실제,155.11805239807373
나름,155.11282942430074
전체,154.9764655838531
감성,154.9330912172972
듭니,154.90484868741592
정발,154.39453878543765
정신,154.04679759176318
기초,153.92679312764216
방식,153.56180395202261
가독성,153.26597698417905
전자책,152.0112638818872
고양이,151.7337401870919
전혀,151.6573810496746
단숨,150.96074675948518
행복,150.95116898485136
참고,150.37463099523353
언어,149.33991634428568
스스로,149.24710475462132
시각,148.92788977852635
출판,147.99096655673821
힐링,147.8505732143092
평소,147.74159153968338
감탄,147.23859621797962
사용,147.05070175797752
상상력,146.91499270314125
편이,146.79645609460448
진심,146.24247247331522
초반,145.50030424621073
여자,144.43503595157185
무슨,143.79842674359827
직접,143.74351020744453
비교,143.684138987274
여기,143.62035379763654
기록,142.86116662075295
변화,142.2978146354767
배경,141.92655848097695
분량,141.62477578421908
예약,141.55983936742595
수도,138.957550896095
상세,138.7832406170249
지도,137.7904815973687
개념,135.75409372996742
흐름,135.68891894062975
그녀,135.1018578091299
연습,134.6155014386345
보지,134.40245068069171
만족,134.29143052778326
누군가,134.23569191826036
갈수록,133.8429222432885
주식,133.63916178794173
접근,133.2206551299321
영상,133.1096766302502
두고두고,133.09067566015852
수록,132.97540636487483
대중,132.2240426646953
문화,132.21167413551126
이론,132.18028339335592
자료,132.17712900463192
과연,131.25228174243554
경제,131.21125961507477
초보자,131.07496027573544
아쉬움,130.7249157024731
자주,130.46041146581314
장면,130.2639610663236
걱정,130.01325546472276
여름,129.47230578874468
행동,129.4633585058167
