Keyword,Score
작가,1741.1069758021895
이야기,1684.6396782982133
기대,1541.1322435736158
최고,837.4755751821931
우리,836.5713549301623
사랑,829.8415106122123
구입,816.5903905983478
도움,815.9917368493569
역시,803.5279111234147
하나,787.0443299720957
시간,773.1761290266151
처음,771.4116089766468
다른,755.1914253725278
대해,751.2055104128787
한번,747.9166824619421
설명,730.2937035178219
부분,724.7534947084172
이번,685.1785993956236
영화,679.4097585864605
다음,678.4603854416619
시작,673.882495207572
역사,657.6849743771212
아이,653.368580226296
문장,638.0192723718731
표지,636.2234386815873
바로,625.3704911570856
선물,620.5383143043833
재미,619.8769122005701
정도,612.4657815026318
지금,603.192742839969
인생,602.5902539353905
인간,595.2398148113467
감동,591.4307758601533
조금,568.6468694666179
가장,567.9078560689451
제목,512.0625139204564
저자,499.71927406065436
그냥,498.4336034311665
아주,492.61597083866434
세상,486.31112906387614
소장,483.4319645276712
시리즈,481.77412475336376
이제,468.7811301264984
모두,465.63939592319264
시대,453.4054455308599
모든,451.1675475706915
자신,450.6542837688105
계속,446.75839773592145
위해,445.3785160279533
문제,438.82175685389893
주문,429.2217693389345
무엇,425.12966352595254
기분,420.99702301015157
통해,418.16003948330376
마지막,416.47838486731234
공감,415.2215147198136
매력,413.3947777787337
때문,406.43244229027647
배송,396.684232807268
관심,394.3146554495107
고민,393.4399086758857
정리,393.2124337549697
페이지,378.76550913872376
구성,377.4638173676023
가슴,373.8430404589424
보기,370.9685902628577
만화,369.8391848066053
가지,368.1958954684855
사회,362.16535486148837
고전,359.5849950696149
스토리,358.7329249273751
이유,355.84875476211266
라면,351.15924508924644
표현,348.55119463644115
세계,347.83369588480366
선생님,347.4990102628041
사실,346.68404814969887
의미,344.88351281621885
매우,343.01165827168484
엄마,342.4443462667299
현실,342.43302850781396
기억,337.42664227694104
별로,337.23439317993734
개인,336.82920158893273
펀딩,335.81593761935926
가치,334.79765476131683
친구,325.0191581749521
술술,323.08630722675287
모습,319.31765667072165
사진,317.8891520913986
누구,315.3956741988308
한국,311.5211695096932
요즘,310.2381727857433
주인공,309.8525692643399
여행,308.2617996096489
방법,306.34545465809316
과학,304.03571135177634
독자,300.178884918982
깊이,299.4996374784969
얼마나,297.07676306205906
영어,296.741483960511
강의,293.15145443022413
항상,288.1385797791697
완전,287.0310338096962
자체,286.2576277147456
위로,284.4832037836672
이상,283.81931300996536
눈물,283.20429759710674
감정,283.1559968683241
철학,282.4903270410375
순간,280.5824384516775
제대로,279.65800912702537
내내,279.6014287965455
언제,277.58655793544705
더욱,273.437087652365
독서,273.06407978098514
중간,270.1752088783485
에세이,269.2918411378862
이름,268.9070421589853
선택,268.0267202610613
단편,267.9356747983065
일단,267.8266407132833
가격,265.3567920931908
존재,262.5723550991479
도서,259.90273128374633
단어,258.9097052869966
지식,256.95950767263497
하루키,254.75219794454483
경험,252.824993171483
전개,252.36726689347608
캐릭터,252.28036121589076
자기,251.42512394074657
얼른,250.68011056213527
종이,248.93114616200788
강추,248.63457950401084
기본,248.0041483211584
인물,247.33906788241453
뭔가,246.0742748502345
오늘,244.8758597670717
디자인,243.33013500516458
일상,242.10018846567402
얘기,241.7371638693681
요리,241.7259633715895
관련,241.5149659904261
몰입,239.95515903332208
입문,239.78668346148726
문학,238.1610150184147
해설,237.13082059414995
올해,235.27320167545722
여러,233.36189606467815
하루,232.28426475811722
동안,231.7964993790188
먼저,231.6747763118013
흥미진진,230.01496373564532
유튜브,229.5269363703365
기도,229.40556786706225
그것,228.30733617138412
실망,226.02908442811633
머리,225.39235634468184
현재,224.95642209424997
묘사,220.62668933691631
사서,219.88958845454476
교재,219.5041670983106
글쓰기,218.13677383974084
소개,215.13729301322374
응원,215.035870306875
작화,215.03073194997006
인상,214.1981577484915
결말,213.6354945224935
감사,212.55353802743682
제일,212.0649002975347
약간,211.31948191366914
덕분,211.23138983860156
어른,210.6252686255999
서로,209.975712962839
그대로,209.71433488389823
일본,207.93881102092635
혼자,205.98445016019355
이후,205.50944392483828
흥미,205.34205177158952
출판사,205.19356387546776
반전,204.11854004610746
편집,203.19992439689526
집중,202.70353770644377
시선,202.6067631963549
교수,202.02779569646628
다만,201.79435122659723
소재,199.61556878662074
신간,198.30438055985707
주제,197.04762654764016
명작,196.95656175302142
책장,196.749414107145
여운,196.34692932238815
죽음,195.14689665007378
과정,194.09999413549335
이건,194.03508761885521
사건,193.63964926244034
정보,192.8333526974599
통찰,192.25106051046683
나이,192.15406316470734
상황,191.82309476643735
분위기,191.75117497567456
사고,191.18935118146595
후회,190.92711048118008
추리소설,189.34244702100096
준비,188.4826374376612
관점,187.82695932321184
어디,187.74630575099008
리뷰,187.4340008688738
알라딘,186.36460831508003
상태,184.48608557813398
예전,183.85835814046254
발견,182.36280964214313
거리,181.837160528393
기회,180.59729607251646
레시피,179.9235220829798
드라마,179.81018425389215
주변,179.24530641943946
반복,178.34308091287042
일러스트,177.47906069899898
노력,177.20672180215536
만큼,176.97723292989588
벌써,176.9090467667274
전쟁,176.37114155524168
참여,176.342619263268
당신,176.13085616283084
도서관,175.97219553477996
취향,175.95928237162659
완결,175.83397008531801
과거,175.49585498859338
거의,174.42165484978003
